screen_id,survivors_top10,top10_boundary_tied,r2_size_alone
1524,9,True,0.1174
153,8,False,0.269
154,9,False,0.2181
155,8,True,0.2659
156,9,True,0.2521
1561,8,True,0.0168
1568,5,True,0.0072
157,8,False,0.247
1571,3,False,0.8203
1573,5,True,0.6169
158,8,True,0.2791
1581,4,True,0.5016
1584,5,True,0.5017
159,8,False,0.2584
1591,9,True,0.1279
1592,8,True,0.0683
1593,9,True,0.0988
16,9,False,0.2618
1621,8,True,0.0186
1622,8,True,0.003
1623,7,False,0.3522
1624,8,True,0.2018
1625,7,True,0.128
1626,6,True,0.3426
1627,7,True,0.2289
1628,7,True,0.2663
1633,1,False,0.8842
1636,6,False,0.7268
1639,2,True,0.8775
1640,1,True,0.846
1641,2,True,0.8968
1642,1,True,0.8991
1643,3,False,0.5782
1644,5,False,0.6805
1645,5,True,0.6388
1646,3,True,0.7272
1647,7,True,0.1165
1648,4,False,0.3951
1649,7,True,0.2259
1650,7,True,0.1147
1651,6,False,0.32
1652,4,True,0.1864
1653,9,False,0.145
1654,5,False,0.2648
1656,2,True,0.7831
1657,1,True,0.6889
1658,6,True,0.758
1669,5,True,0.7246
1670,6,False,0.5546
17,9,False,0.2488
1704,9,True,0.0691
1705,1,True,0.9596
1706,8,True,0.1064
1708,7,True,0.1842
1710,8,True,0.073
172,7,True,0.0605
1725,9,True,0.1554
173,9,True,0.0148
1733,8,False,0.2804
1735,9,True,0.1884
1736,7,False,0.2866
1737,7,True,0.3298
1738,8,False,0.2142
1739,10,True,0.0624
174,7,True,0.167
1742,9,True,0.1918
1749,9,True,0.1047
175,6,False,0.3011
1751,7,True,0.0672
176,8,True,0.268
1768,8,True,0.1087
1769,7,True,0.1092
177,9,True,0.1036
178,7,False,0.1878
1787,9,False,0.2926
1788,8,False,0.331
1789,9,False,0.2228
179,9,False,0.2248
1790,8,False,0.2462
1791,8,False,0.2739
1792,8,False,0.2568
1793,8,False,0.238
1794,9,False,0.3016
1795,8,False,0.2565
1796,8,False,0.2404
1797,8,True,0.281
1798,9,False,0.2649
18,8,False,0.4868
180,9,False,0.2502
1803,7,True,0.0216
1804,5,True,0.4738
1805,6,False,0.5847
1806,5,True,0.0259
181,9,False,0.2206
1811,9,False,0.2435
1812,9,False,0.2596
1813,9,False,0.183
1814,9,False,0.2491
1815,5,True,0.4587
1816,1,True,0.5787
1817,5,True,0.6336
1818,5,True,0.4077
182,8,True,0.0593
1821,6,True,0.0323
1822,9,True,0.003
1823,8,True,0.0683
1824,7,True,0.0109
1826,10,False,0.0001
1827,7,True,0.0319
1828,8,True,0.0222
1829,10,False,0.1345
183,8,True,0.026
1830,9,True,0.1244
184,9,False,0.2182
1843,6,True,0.3561
1845,9,False,0.2794
1846,9,True,0.2111
1847,9,False,0.2811
1848,9,False,0.2625
1849,9,False,0.2414
185,9,True,0.2085
1850,10,False,0.2691
1851,10,False,0.2423
1852,9,False,0.2716
1853,8,True,0.2974
1854,9,False,0.3052
1855,9,False,0.2874
1856,10,False,0.2365
1857,9,True,0.2698
1858,9,True,0.2773
1859,10,False,0.2691
186,9,False,0.2483
1860,10,False,0.2938
1861,9,True,0.3101
1862,7,True,0.121
1863,7,True,0.196
1864,6,True,0.5708
187,9,False,0.2352
1879,7,True,0.1543
188,9,True,0.2354
1880,9,True,0.0345
1885,5,True,0.3146
189,8,True,0.2121
190,9,False,0.2211
1900,6,True,0.6013
1901,3,True,0.7052
1902,3,True,0.7448
1903,2,True,0.6158
1904,4,True,0.6284
1905,4,True,0.4562
1909,4,True,0.688
191,9,False,0.2441
192,9,False,0.2166
193,9,False,0.2351
1932,5,True,0.3264
1933,9,True,0.0633
1934,5,True,0.072
1935,8,True,0.0924
1938,5,True,0.7324
1939,4,False,0.7655
194,9,False,0.2561
1947,8,True,0.1117
195,9,False,0.2366
1953,6,False,0.3152
1954,5,True,0.3681
1955,8,True,0.0526
196,9,False,0.2314
1966,9,True,0.0869
1967,7,True,0.0505
1969,6,True,0.5539
197,9,False,0.2593
1970,6,True,0.3979
1971,6,True,0.3362
1972,7,True,0.3237
1973,5,True,0.6823
1974,5,True,0.2341
1975,6,True,0.4892
1976,7,True,0.6457
1977,7,False,0.4942
1978,7,False,0.5155
1979,8,True,0.1972
198,9,False,0.2193
1980,8,True,0.4864
1981,6,True,0.066
1982,5,True,0.0163
1983,8,True,0.0808
1985,8,True,0.1276
1986,7,True,0.1398
1987,7,False,0.2943
1988,7,False,0.2916
1989,8,True,0.1604
199,9,False,0.2737
1990,8,True,0.2627
1991,8,True,0.1274
1993,4,False,0.5449
1995,8,True,0.0954
1996,6,True,0.4219
1997,7,True,0.0286
1999,4,False,0.8123
200,9,False,0.1737
2003,6,True,0.0199
201,8,False,0.1956
2012,9,False,0.2875
2016,4,False,0.5684
2017,5,True,0.5554
202,9,False,0.2339
203,9,False,0.1987
204,9,False,0.2182
2048,6,True,0.2585
205,9,False,0.2217
2050,7,True,0.4452
2051,5,False,0.8088
2052,6,False,0.5687
2053,8,False,0.4672
2054,3,True,0.7769
2055,2,False,0.7001
206,9,False,0.2512
2060,7,True,0.0919
2061,8,False,0.3569
2062,9,False,0.3283
2063,9,False,0.1989
2064,7,False,0.3152
207,9,False,0.2209
2071,5,True,0.0514
2074,9,True,0.0198
2075,8,True,0.0675
2076,6,True,0.303
2077,8,True,0.1287
2078,8,True,0.1041
2079,8,True,0.1122
208,9,False,0.2304
2080,8,True,0.0543
2081,8,True,0.0543
2082,4,True,0.6158
2083,6,False,0.6868
2084,10,True,0.0526
2085,6,True,0.0868
2086,7,True,0.2503
2087,9,True,0.2703
2088,8,True,0.0298
2089,6,True,0.0331
209,9,False,0.2159
2090,10,False,0.0389
2091,8,True,0.0083
210,9,False,0.2244
2104,6,False,0.473
211,9,False,0.2948
2113,8,False,0.1627
2114,9,False,0.1723
2115,9,False,0.2194
2116,8,True,0.166
2117,8,False,0.1856
2118,8,False,0.226
2119,8,False,0.2207
212,9,False,0.2634
2120,9,False,0.1725
2121,9,False,0.2344
2122,10,True,0.1134
2123,8,True,0.2073
2124,8,False,0.1112
213,9,False,0.2408
2134,6,True,0.0345
2136,4,True,0.7901
2139,7,True,0.3655
214,8,False,0.2433
2140,8,False,0.3802
215,9,True,0.1979
216,8,False,0.2673
217,9,False,0.205
218,9,True,0.1856
219,8,False,0.2876
220,9,False,0.2366
2208,8,False,0.3123
221,9,False,0.2628
2212,4,True,0.5508
2213,5,False,0.443
2214,5,False,0.557
2215,3,True,0.5564
2217,4,True,0.2894
2218,7,True,0.2634
2219,6,True,0.1187
222,9,True,0.2389
2220,3,True,0.8587
2221,1,False,0.7581
2222,8,True,0.1908
2223,8,True,0.1541
223,9,False,0.2455
224,9,False,0.252
225,9,False,0.254
226,9,True,0.2007
227,9,False,0.271
228,9,False,0.2219
229,9,False,0.2265
230,9,False,0.2481
2309,4,False,0.6705
2310,4,True,0.5556
2311,8,True,0.0672
2312,7,True,0.0316
2313,8,True,0.0627
2314,7,True,0.1061
2315,7,True,0.0727
2316,6,True,0.0695
2317,9,False,0.2503
2318,7,False,0.2854
2319,7,True,0.0583
232,9,True,0.2097
2320,7,True,0.0404
2321,6,True,0.1217
2322,9,True,0.0204
233,9,False,0.2008
234,9,False,0.2226
2345,6,False,0.3039
2346,8,True,0.3625
2347,6,False,0.3979
2348,7,False,0.3959
235,9,False,0.1974
2350,8,False,0.4445
2351,8,False,0.4713
2352,9,True,0.3572
2353,7,False,0.4807
2354,4,True,0.6559
2355,6,False,0.6211
2356,5,False,0.612
2357,5,True,0.6884
2358,6,True,0.443
236,9,False,0.2131
2360,5,True,0.5268
2361,6,True,0.4643
237,9,False,0.2549
2374,8,False,0.192
238,9,False,0.2407
239,9,False,0.2229
24,7,True,0.3116
240,9,True,0.22
2402,2,False,0.7469
2404,8,True,0.1201
2405,5,True,0.3781
241,8,False,0.2074
2419,5,False,0.8111
242,9,False,0.2218
2420,4,True,0.7435
2421,8,False,0.3017
2422,6,True,0.5061
2423,8,True,0.1555
2424,7,True,0.2138
2425,7,False,0.2229
2426,6,True,0.2777
2427,7,False,0.4835
2428,7,True,0.0387
243,9,True,0.2328
2430,7,True,0.0011
2431,9,True,0.0823
2432,8,True,0.1542
2433,7,True,0.0198
2435,7,False,0.2854
2436,8,True,0.1556
2437,8,True,0.2751
2438,7,True,0.0812
2439,9,True,0.0745
244,9,False,0.2197
2440,4,True,0.7797
2441,6,True,0.4086
2442,7,True,0.3074
2445,5,True,0.0
2449,5,True,0.0705
245,9,False,0.2138
2455,8,True,0.0685
2456,7,True,0.3239
2459,8,True,0.0676
246,9,False,0.2302
2460,7,True,0.2136
2462,9,True,0.334
2465,6,True,0.0023
2466,6,True,0.1244
2467,7,True,0.0137
2468,6,True,0.0047
247,10,False,0.1789
2478,5,False,0.6877
248,9,False,0.2643
249,9,False,0.2459
250,8,False,0.2535
251,9,False,0.2518
252,9,False,0.2666
253,8,False,0.2337
254,9,False,0.2642
255,9,False,0.2599
256,9,False,0.2104
257,8,True,0.2549
258,8,True,0.2521
259,9,False,0.2434
260,9,True,0.2034
261,9,False,0.2276
262,9,False,0.2084
263,9,True,0.2155
264,9,False,0.2434
265,8,False,0.2502
266,9,True,0.2407
267,9,True,0.2817
268,9,False,0.2325
269,9,False,0.2054
27,7,True,0.3187
270,9,False,0.2252
271,9,False,0.2024
272,8,True,0.2427
273,9,False,0.2497
274,9,True,0.2063
275,9,False,0.2511
276,9,False,0.2117
277,9,False,0.2433
278,9,True,0.2162
279,8,False,0.2454
28,9,False,0.2245
280,9,False,0.1641
281,9,False,0.24
282,9,False,0.2295
283,9,False,0.2424
284,9,False,0.2169
285,8,False,0.2724
286,8,False,0.2203
287,9,False,0.2308
288,9,False,0.2378
289,9,False,0.1734
29,9,False,0.2256
290,9,False,0.2476
291,9,False,0.1759
292,9,False,0.2666
293,9,False,0.2326
294,9,False,0.2644
295,9,False,0.2679
296,9,False,0.2191
297,9,False,0.2331
298,9,False,0.256
299,9,False,0.2517
300,8,False,0.1954
301,9,False,0.2405
302,9,False,0.2652
303,9,False,0.2327
304,9,False,0.2666
305,9,False,0.2912
306,9,True,0.2056
307,9,True,0.2595
308,9,False,0.2187
309,8,False,0.2616
310,9,True,0.2327
311,9,True,0.2087
312,8,False,0.2231
313,9,True,0.2686
314,9,False,0.2426
315,9,False,0.2446
316,9,False,0.2309
317,9,False,0.2313
318,8,False,0.2132
319,9,False,0.2579
320,9,False,0.2244
321,8,False,0.2479
322,8,False,0.2221
323,9,False,0.1864
324,9,False,0.2565
325,9,False,0.2353
326,9,False,0.2464
327,9,False,0.2608
328,9,False,0.2197
329,9,False,0.2354
330,9,False,0.2425
331,9,False,0.1886
332,9,False,0.2391
333,9,False,0.2769
334,9,False,0.2315
335,9,False,0.1855
336,9,False,0.2277
337,9,False,0.2187
338,8,False,0.2162
339,9,True,0.2141
340,9,False,0.2002
341,9,False,0.1867
342,9,True,0.2312
343,8,False,0.1981
346,9,False,0.2175
347,9,False,0.2222
348,9,False,0.1965
349,9,False,0.2052
350,9,False,0.2051
351,9,False,0.2361
352,9,False,0.2546
353,9,True,0.2011
354,9,True,0.2109
355,9,False,0.2913
356,8,True,0.2304
357,9,True,0.2228
358,9,False,0.2553
359,9,False,0.2501
360,9,False,0.2276
361,9,False,0.2476
362,9,False,0.2489
363,9,False,0.2166
364,9,False,0.2145
365,9,False,0.2631
366,9,True,0.2109
367,9,False,0.2058
368,9,True,0.2712
369,9,False,0.2497
370,9,False,0.266
371,10,False,0.2313
372,9,False,0.2594
373,8,False,0.3167
