gene,log2FC,t,p,q
PDLIM4,1.8355503553380421,7.680086620949947,1.0621138861262684e-09,1.9046736589347212e-07
PMEPA1,1.7897785608267078,7.824169389742149,1.1897930837353946e-09,2.103587687342311e-07
SERPIND1,3.028806082260773,7.6308458941393935,1.2504491130516284e-09,2.1801232939079293e-07
CDH3,1.3123092170914377,7.424165600032158,1.3889717330592953e-09,2.3880609721109224e-07
TCIM,2.31521470279663,7.4704694613493245,1.4077631796081277e-09,2.3880609721109224e-07
FHL2,1.7694362860096184,7.828601780218092,1.6309848248213236e-09,2.729833667464277e-07
TRADD,0.8927256625985782,7.467277083043445,1.7081382177274935e-09,2.8101341190337783e-07
RASGRF1,1.5680386141390683,7.10232203912369,1.723733985227443e-09,2.8101341190337783e-07
PTP4A3,1.8635154937951688,7.1594551474711565,2.1620856478355113e-09,3.4795719406768173e-07
TNS4,1.5170036633390152,7.362712272618022,2.3313378592028087e-09,3.685632616255439e-07
MBD4,1.0351427214124316,7.364833825578505,2.348845768345695e-09,3.685632616255439e-07
CCND1,1.0120637060819355,7.217722763166293,2.715585651113531e-09,4.178585566235316e-07
ZDHHC9,1.1342091301063055,7.129885704088216,2.729578717687373e-09,4.178585566235316e-07
CD63,0.689575584693225,7.0558375303343945,2.8274349379975935e-09,4.276239852612505e-07
EREG,2.763419324387945,7.019748619079383,3.0012303424567163e-09,4.4850529153403765e-07
PTK7,0.9929795616801522,7.163339000149987,3.099228883031862e-09,4.577014137493996e-07
MTMR11,1.1529715122466335,7.01743816483385,3.617573499460595e-09,5.280395364968471e-07
NKX2-8,1.7735349667577622,7.1272765003115754,3.73713205330564e-09,5.368734815073978e-07
MEIS2,1.6128707272648122,7.577383639916338,3.7636315122003505e-09,5.368734815073978e-07
PLEC,1.0591149862960378,7.022404138493876,3.938357663559428e-09,5.55485435400691e-07
ECE1,1.088901949541274,7.264964834844727,4.334511186290455e-09,6.045679880167121e-07
IFNAR2,1.1129982720584453,7.236466229432402,4.590338970595803e-09,6.33214561515265e-07
PON2,0.7660885974565144,7.012919154672642,4.893612568519682e-09,6.677121583981257e-07
