gene,log2FC,t,p,q
CASS4,2.6070713336143765,5.228473037127164,4.728391867328129e-06,0.0007861783942789939
FDFT1,-0.7837670532725758,-5.210034118567978,5.131604408343293e-06,0.0008298997401141183
CCL13,2.8093046527973016,5.231452695879597,5.131950955385908e-06,0.0008298997401141183
BEX3,0.5036878361233992,5.171880375620328,5.5448220826807825e-06,0.0008837457002295745
CCL2,2.7643047069138538,5.43962083771955,5.61464866727811e-06,0.0008837457002295745
COL15A1,2.145861834169814,5.347148508711143,5.854516042841065e-06,0.0009093758142860363
ARSI,2.3330626092542035,5.141853135715258,6.089411070742916e-06,0.0009335778920794821
COL6A3,1.148067616674716,5.163123879250641,7.138119331129137e-06,0.0010803269064612751
TALDO1,-0.6205903768061667,-5.092737283431475,7.238851352698542e-06,0.0010817043065646365
HSD11B2,2.549340283841296,5.089223369419175,7.446313852870467e-06,0.0010987966879141982
CIMAP1C,1.98566706203882,5.095817536054729,7.593421307639499e-06,0.0011006805186899399
FAM184A,2.271565352364627,5.115216241099631,7.645557181920802e-06,0.0011006805186899399
FBF1,1.6837689495533013,5.0432553237284266,8.628795204878016e-06,0.0012165401359527522
SERINC5,2.146109979684346,5.425295427974721,8.656448235496076e-06,0.0012165401359527522
PCK2,-1.7609277962013445,-5.143680635460944,9.912016227895715e-06,0.001374429599162656
TKT,-0.7665465266681872,-4.986611053320751,1.0103003024174743e-05,0.001374429599162656
LRRC4C,1.9465813671133827,5.094479687766091,1.0129214326738761e-05,0.001374429599162656
STS,2.16307732360487,4.964289767506271,1.0949595791170959e-05,0.0014688633899406043
CFH,0.9795551109878957,5.072558726160973,1.1416669014198175e-05,0.0015062850227964785
TNFRSF4,1.718297102287265,4.950507241893622,1.1514706557021788e-05,0.0015062850227964785
MOXD1,1.2471501233399973,4.976666736049185,1.1698840059138575e-05,0.0015062850227964785
VMP1,0.992138068534417,5.029391801179783,1.1776642480636333e-05,0.0015062850227964785
LMO4,0.6958723574689039,4.942811236351224,1.1866540205004025e-05,0.0015062850227964785
PCDH7,2.118626661703863,5.272479861669049,1.2848628773239589e-05,0.0015987833879842948
CALM1,0.6580363264517874,4.912524871648239,1.2866109433164592e-05,0.0015987833879842948
LTBP2,1.1101729720805338,4.882157095677968,1.4528280362876624e-05,0.0017787171168240276
TNFSF18,1.8394867932327894,4.8965008008994495,1.4615464661747623e-05,0.0017787171168240276
PDGFC,2.138152365976932,5.049062676707845,1.5462805582671797e-05,0.001853851140740519
ADAM12,1.8958834769493604,4.9088236795805384,1.557380084139044e-05,0.001853851140740519
ASPN,1.3587482469585561,4.851347533002147,1.577818494318043e-05,0.001853851140740519
CSRNP3,2.116789195774087,4.872453910506784,1.586098815881342e-05,0.001853851140740519
COL24A1,2.04626232846073,4.857923212029228,1.6043319367083162e-05,0.0018567782855727132
HTATIP2,-0.8698244080997553,-4.862289758270576,1.654049732861211e-05,0.0018957336986821938
COL10A1,2.494905988496994,4.840409242918448,1.804775239045689e-05,0.002048593432397534
LDLRAD4,1.9748743410387086,5.24413386646939,1.8307279145996072e-05,0.0020582612411284154
FN1,1.157656331066768,4.936650709765719,1.8910971493175745e-05,0.0021060756460088647
NREP,2.6831086707875738,5.144421376584979,1.9843078362967004e-05,0.002189229346493696
GSTA1,2.179209742226353,4.827238975934086,2.0344013009832104e-05,0.0022144819322242235
ITGA8,2.693773725880173,5.123195749906288,2.0778997023777486e-05,0.0022144819322242235
ANTXR1,1.0690195833380187,5.041332299026178,2.0902879506035987e-05,0.0022144819322242235
PODNL1,2.185494540969637,4.8104821449470565,2.1008351005279993e-05,0.0022144819322242235
NICOL1,1.0755589737225089,4.857698370061038,2.1009909056256928e-05,0.0022144819322242235
LBH,1.6623336469396177,4.986180509837671,2.131284827390952e-05,0.0022196182125577136
OSBPL8,0.6666183810982513,4.819092646269476,2.143468667781274e-05,0.0022196182125577136
SSC5D,0.9985600222711462,4.812137834434267,2.1912183228168077e-05,0.0022493332435523836
CORIN,2.0974323469889953,4.730046151519576,2.344429143524048e-05,0.002385860865457016
PPIG,0.6112422409468845,4.901598668665939,2.4734536214472947e-05,0.002478816975971685
FREM1,2.1242411222392903,4.789663516273657,2.504399921097406e-05,0.002478816975971685
MRC2,1.3373018953889524,5.202935820728954,2.5303128121279917e-05,0.002478816975971685
HMGB1,0.48063469686388416,4.7528558978441104,2.537312570817056e-05,0.002478816975971685
PDE4D,2.3839280605505326,5.211496413273511,2.5559308081406686e-05,0.002478816975971685
SFTPC,-3.349632930213888,-4.801593560003853,2.561759178894922e-05,0.002478816975971685
CDC42BPA,0.6918022888387458,4.840051741433227,2.636830351265172e-05,0.00251075263220906
F5,2.0093682814935026,4.733470395672367,2.6373005200671196e-05,0.00251075263220906
RYBP,2.095828487076783,4.9732228076329745,2.7127802053695343e-05,0.002561949625950988
TGFB3,1.9645129939614612,5.074985726537845,2.74166666986779e-05,0.002568680558554703
ADGRL1,1.8952845574785613,4.800442338282128,2.8365081449188276e-05,0.0026366124921863594
VIT,-2.445512758629205,-4.699939933236517,2.947618824692898e-05,0.0027184875176171613
MFAP2,1.0342969440829348,4.729107088847515,3.0205045859918737e-05,0.002764112917646052
MFAP4,0.7875368678160477,4.642626483476829,3.112554914753463e-05,0.002792885194797449
C4B,1.7676200310443075,4.646603487438059,3.120885907421226e-05,0.002792885194797449
MDFI,2.2026556140426727,4.970507723658098,3.122921183509219e-05,0.002792885194797449
ACYP1,-1.7430680235460834,-4.6392692185523785,3.214983711794436e-05,0.0028536002043408506
BDKRB2,2.176732438046499,4.722280453962663,3.256509090778829e-05,0.0028688872997495586
LITAF,0.7595286306596387,4.692934002431063,3.4074154072363496e-05,0.002974636856115012
SRGN,1.8940379538792484,4.872556381327264,3.426942926146901e-05,0.002974636856115012
ALDH1A3,2.0565584359889426,4.840685787826835,3.585819414232772e-05,0.003089824685037801
SOX4,1.037808815240246,4.619731112975561,3.6501036634479137e-05,0.0031224256338407697
FLYWCH2,0.6036932881636652,4.800552473128904,3.7372647898065155e-05,0.0031739863916306417
LEF1,1.8026480782007748,4.57476409093357,3.931845305299473e-05,0.0033153881306471626
PLAGL1,1.0284862153345191,4.556476303643638,4.157143593378652e-05,0.0034681435480935696
PLCB4,2.0113794586115725,4.591051912408703,4.171760981188368e-05,0.0034681435480935696
GLT8D2,0.7726732341118634,4.684987383719516,4.3018683447240513e-05,0.003551297609053666
CNKSR3,1.7505852771716042,4.533508751432186,4.447055012641893e-05,0.003645658640572052
NFATC2,1.9566048685037405,4.657338211474447,4.577100978086476e-05,0.003711627249660566
ENC1,1.637736333314873,4.612442914547453,4.590407271922428e-05,0.003711627249660566
TSPAN13,2.357171651521819,4.567146184348087,4.731938078293228e-05,0.003800035987364051
TSPAN5,1.8928575509401075,4.5141324197466925,4.904662828878499e-05,0.0039121313983047756
LIMS1,0.98937713678432,4.549376487880958,5.252928615553194e-05,0.004161800154805735
RUNX1,1.9581429241513408,4.6383753509162675,5.587025191306247e-05,0.004396988825558016
PSMB1,-0.38281417386221683,-4.452224652557662,5.928349854405426e-05,0.00463471324710305
ATRX,0.4835492556019956,4.441407545519077,6.115862358534303e-05,0.004749559246427376
VCAM1,2.6331931328058187,4.5601969784054255,6.192869154420112e-05,0.004749559246427376
