screen_id,gate_r2_logsize,n_sets_used,has_scores,before_rho2,before_r2_linear,source_id,C1_hypergeom_rho2,C1_hypergeom_top10,C1_hypergeom_r2_linear,C2_perm_z_rho2,C2_perm_z_top10,C2_perm_z_r2_linear,C3_camera_rho0_rho2,C3_camera_rho0_top10,C3_camera_rho0_r2_linear,C4_vif_rho01_rho2,C4_vif_rho01_top10,C4_vif_rho01_r2_linear,C4_vif_rho05_rho2,C4_vif_rho05_top10,C4_vif_rho05_r2_linear,C5_residual_rho2,C5_residual_top10,C5_residual_r2_linear
1146,0.0882,50,True,0.039,0.0781,32259488,0.0171,9,0.0095,0.0132,8,0.004,0.0048,4,0.0,0.0487,3,0.0317,0.1085,3,0.0958,0.0132,8,0.0
1147,0.2758,50,True,0.1607,0.2678,32542389,0.0042,9,0.0357,0.0048,9,0.0163,0.0522,9,0.0494,0.0071,9,0.0166,0.0006,8,0.0027,0.0145,9,0.0
1153,0.601,50,True,0.35,0.5364,27018887,0.0013,7,0.025,0.0035,7,0.0042,0.0165,6,0.0163,0.0002,6,0.0003,0.0092,5,0.0045,0.0081,6,0.0
1155,0.028,50,True,0.0684,0.0253,31452512,0.0581,8,0.0067,0.1456,8,0.0003,0.0339,2,0.0048,0.0949,2,0.0117,0.1603,1,0.0585,0.1347,8,0.0
1159,0.5715,50,True,0.3384,0.5287,31761535,0.0116,7,0.0159,0.0145,7,0.0009,0.0384,7,0.0451,0.0021,7,0.0147,0.001,6,0.0022,0.008,6,0.0
1160,0.0814,50,True,0.1583,0.0849,31452512,0.1266,8,0.0211,0.0157,8,0.0145,0.0828,3,0.0763,0.0191,2,0.0155,0.0065,2,0.0001,0.0117,8,0.0
1161,0.2898,50,True,0.2857,0.2765,25307932,0.0043,8,0.0342,0.0038,7,0.0064,0.1954,6,0.145,0.1223,6,0.0742,0.064,5,0.0292,0.0001,7,-0.0
1162,0.1907,50,True,0.1806,0.2057,25307932,0.0293,8,0.0184,0.0016,7,0.0024,0.0,3,0.001,0.0185,3,0.0338,0.0686,3,0.1092,0.0002,8,0.0
1163,0.0251,50,True,0.0106,0.0163,31801065,0.0073,10,0.0004,0.4675,8,0.0007,0.0057,2,0.0001,0.0034,2,0.0129,0.0213,2,0.0384,0.4675,8,-0.0
1164,0.0118,50,True,0.0022,0.002,31801065,0.0003,10,0.0002,0.4035,10,0.0184,0.0217,1,0.0027,0.0658,2,0.0441,0.1185,2,0.0985,0.4035,10,-0.0
1168,0.0301,50,True,0.0001,0.0191,27383987,0.0,10,0.013,0.6226,7,0.0008,0.1547,2,0.0985,0.0636,2,0.0409,0.0346,2,0.0128,0.6226,7,0.0
1169,0.0545,50,True,0.0233,0.0461,27383987,0.0098,9,0.0241,0.3084,9,0.0016,0.103,3,0.0741,0.0248,3,0.0228,0.0025,2,0.0025,0.3084,9,-0.0
1170,0.5782,50,True,0.5073,0.5839,31527793,0.0024,7,0.0108,0.0001,7,0.0193,0.0326,3,0.0501,0.0024,2,0.0012,0.0035,1,0.013,0.0119,6,0.0
1171,0.7396,50,True,0.6427,0.7411,31527793,0.0292,6,0.0171,0.0165,6,0.0147,0.036,2,0.025,0.1299,1,0.1366,0.1951,1,0.2478,0.0008,4,-0.0
1172,0.1025,50,True,0.0621,0.0962,31019072,0.018,8,0.0262,0.0123,8,0.0017,0.005,3,0.0543,0.0006,3,0.0179,0.0071,3,0.0026,0.0111,8,0.0
1176,0.2202,50,True,0.2234,0.2084,28985505,0.0145,9,0.0474,0.0022,9,0.0306,0.0647,8,0.035,0.0325,8,0.0147,0.0168,8,0.0045,0.0011,8,0.0
1177,0.5533,50,True,0.4905,0.55,28985505,0.1967,9,0.1865,0.1617,9,0.1683,0.0051,2,0.0129,0.0585,2,0.101,0.133,2,0.1989,0.0001,6,0.0
1187,0.0262,50,True,0.0199,0.0131,32728216,0.0136,9,0.0023,0.2577,9,0.0095,0.0144,3,0.0023,0.0001,2,0.0132,0.0044,2,0.0256,0.2577,9,0.0
1188,0.0085,50,True,0.009,0.0065,29211708,0.0031,10,0.0001,0.4473,8,0.0146,0.0234,3,0.0383,0.0022,3,0.0024,0.0012,3,0.0039,0.4473,8,0.0
