rule,program,n_present,n_finite,hits
R2,HALLMARK_PI3K_AKT_MTOR_SIGNALING,76,9837,971
R2,HALLMARK_PROTEIN_SECRETION,84,9837,1332
R2,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,41,9837,1080
R2,HALLMARK_SPERMATOGENESIS,56,9837,1153
R2,HALLMARK_TGF_BETA_SIGNALING,36,9837,1141
R2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,78,9837,3448
R2,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,94,9837,1934
R2,HALLMARK_UV_RESPONSE_DN,68,9837,1063
R2,HALLMARK_UV_RESPONSE_UP,104,9837,866
R2,HALLMARK_WNT_BETA_CATENIN_SIGNALING,20,9837,531
R2,HALLMARK_XENOBIOTIC_METABOLISM,85,9837,904
R3,HALLMARK_ADIPOGENESIS,147,9837,24
R3,HALLMARK_ALLOGRAFT_REJECTION,59,9837,3
R3,HALLMARK_ANDROGEN_RESPONSE,64,9837,5
R3,HALLMARK_ANGIOGENESIS,11,9837,0
R3,HALLMARK_APICAL_JUNCTION,82,9837,5
R3,HALLMARK_APICAL_SURFACE,12,9837,0
R3,HALLMARK_APOPTOSIS,85,9837,43
R3,HALLMARK_BILE_ACID_METABOLISM,42,9837,0
R3,HALLMARK_CHOLESTEROL_HOMEOSTASIS,52,9837,158
R3,HALLMARK_COAGULATION,34,9837,7
R3,HALLMARK_COMPLEMENT,80,9837,36
R3,HALLMARK_DNA_REPAIR,131,9837,8
R3,HALLMARK_E2F_TARGETS,190,9837,2047
R3,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,45,9837,93
R3,HALLMARK_ESTROGEN_RESPONSE_EARLY,76,9837,2
R3,HALLMARK_ESTROGEN_RESPONSE_LATE,76,9837,14
R3,HALLMARK_FATTY_ACID_METABOLISM,105,9837,9
R3,HALLMARK_G2M_CHECKPOINT,182,9837,1571
R3,HALLMARK_GLYCOLYSIS,117,9837,30
R3,HALLMARK_HEDGEHOG_SIGNALING,10,9837,0
R3,HALLMARK_HEME_METABOLISM,133,9837,514
R3,HALLMARK_HYPOXIA,88,9837,11
R3,HALLMARK_IL2_STAT5_SIGNALING,89,9837,3
R3,HALLMARK_IL6_JAK_STAT3_SIGNALING,32,9837,5
R3,HALLMARK_INFLAMMATORY_RESPONSE,51,9837,58
R3,HALLMARK_INTERFERON_ALPHA_RESPONSE,40,9837,13
R3,HALLMARK_INTERFERON_GAMMA_RESPONSE,74,9837,41
R3,HALLMARK_KRAS_SIGNALING_DN,26,9837,1
R3,HALLMARK_KRAS_SIGNALING_UP,52,9837,4
R3,HALLMARK_MITOTIC_SPINDLE,158,9837,115
R3,HALLMARK_MTORC1_SIGNALING,176,9837,419
R3,HALLMARK_MYC_TARGETS_V1,194,9837,2376
R3,HALLMARK_MYC_TARGETS_V2,55,9837,1014
R3,HALLMARK_MYOGENESIS,54,9837,0
R3,HALLMARK_NOTCH_SIGNALING,14,9837,0
R3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,193,9837,911
R3,HALLMARK_P53_PATHWAY,119,9837,10
R3,HALLMARK_PEROXISOME,66,9837,0
R3,HALLMARK_PI3K_AKT_MTOR_SIGNALING,76,9837,4
R3,HALLMARK_PROTEIN_SECRETION,84,9837,41
R3,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,41,9837,3
R3,HALLMARK_SPERMATOGENESIS,56,9837,0
R3,HALLMARK_TGF_BETA_SIGNALING,36,9837,7
R3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,78,9837,415
R3,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,94,9837,42
R3,HALLMARK_UV_RESPONSE_DN,68,9837,4
R3,HALLMARK_UV_RESPONSE_UP,104,9837,2
R3,HALLMARK_WNT_BETA_CATENIN_SIGNALING,20,9837,0
R3,HALLMARK_XENOBIOTIC_METABOLISM,85,9837,0
R4,HALLMARK_ADIPOGENESIS,147,9837,1173
R4,HALLMARK_ALLOGRAFT_REJECTION,59,9837,1011
R4,HALLMARK_ANDROGEN_RESPONSE,64,9837,973
R4,HALLMARK_ANGIOGENESIS,11,9837,727
R4,HALLMARK_APICAL_JUNCTION,82,9837,1280
R4,HALLMARK_APICAL_SURFACE,12,9837,482
R4,HALLMARK_APOPTOSIS,85,9837,1618
R4,HALLMARK_BILE_ACID_METABOLISM,42,9837,765
R4,HALLMARK_CHOLESTEROL_HOMEOSTASIS,52,9837,1915
R4,HALLMARK_COAGULATION,34,9837,1144
R4,HALLMARK_COMPLEMENT,80,9837,1417
R4,HALLMARK_DNA_REPAIR,131,9837,1197
R4,HALLMARK_E2F_TARGETS,190,9837,5554
R4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,45,9837,2099
R4,HALLMARK_ESTROGEN_RESPONSE_EARLY,76,9837,879
R4,HALLMARK_ESTROGEN_RESPONSE_LATE,76,9837,978
R4,HALLMARK_FATTY_ACID_METABOLISM,105,9837,1144
R4,HALLMARK_G2M_CHECKPOINT,182,9837,5214
R4,HALLMARK_GLYCOLYSIS,117,9837,1419
R4,HALLMARK_HEDGEHOG_SIGNALING,10,9837,516
R4,HALLMARK_HEME_METABOLISM,133,9837,3190
R4,HALLMARK_HYPOXIA,88,9837,1303
R4,HALLMARK_IL2_STAT5_SIGNALING,89,9837,923
R4,HALLMARK_IL6_JAK_STAT3_SIGNALING,32,9837,993
R4,HALLMARK_INFLAMMATORY_RESPONSE,51,9837,1544
R4,HALLMARK_INTERFERON_ALPHA_RESPONSE,40,9837,1159
R4,HALLMARK_INTERFERON_GAMMA_RESPONSE,74,9837,1390
R4,HALLMARK_KRAS_SIGNALING_DN,26,9837,833
R4,HALLMARK_KRAS_SIGNALING_UP,52,9837,949
R4,HALLMARK_MITOTIC_SPINDLE,158,9837,2941
R4,HALLMARK_MTORC1_SIGNALING,176,9837,2667
R4,HALLMARK_MYC_TARGETS_V1,194,9837,5576
R4,HALLMARK_MYC_TARGETS_V2,55,9837,3767
R4,HALLMARK_MYOGENESIS,54,9837,841
R4,HALLMARK_NOTCH_SIGNALING,14,9837,402
R4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,193,9837,3957
R4,HALLMARK_P53_PATHWAY,119,9837,1408
R4,HALLMARK_PEROXISOME,66,9837,773
R4,HALLMARK_PI3K_AKT_MTOR_SIGNALING,76,9837,909
R4,HALLMARK_PROTEIN_SECRETION,84,9837,1257
R4,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,41,9837,1018
