perturbation,target,u_z,cosine,delta,rank_u_z,rank_cosine,rank_delta,avg_rank
182_AGBL5_P1_ENSG00000084693,AGBL5,-3.0105612474194396,-0.0321799861714761,-0.07355726369648433,10826.0,10331.0,11010.0,10722.333333333334
6151_PDCD10_P1P2_ENSG00000114209,PDCD10,-3.27597905737532,-0.043092211314939864,-0.03517594340006051,10906.0,10867.0,10395.0,10722.666666666666
6639_PPM1D_P1P2_ENSG00000170836,PPM1D,-2.8383288671090865,-0.03451904173181323,-0.06245136147576141,10756.0,10494.0,10919.0,10723.0
4270_KANSL1_P1P2_ENSG00000120071,KANSL1,-3.294849837171875,-0.030431947149290643,-0.08452160062751543,10913.0,10181.0,11079.0,10724.333333333334
1844_CPSF6_P1P2_ENSG00000111605,CPSF6,-2.3292763667439247,-0.03999443828869298,-0.07294185646729612,10396.0,10775.0,11004.0,10725.0
9039_TMEM208_P1P2_ENSG00000168701,TMEM208,-2.815894255833925,-0.03688171090180889,-0.05085529547726853,10745.0,10643.0,10789.0,10725.666666666666
5447_NADSYN1_P1P2_ENSG00000172890,NADSYN1,-2.1159226993555182,-0.03956478486218773,-0.17816246734220936,10207.0,10752.0,11220.0,10726.333333333334
2079_DCTPP1_P1P2_ENSG00000179958,DCTPP1,-3.881120376582021,-0.04699940450503567,-0.03018147034191054,11056.0,10962.0,10164.0,10727.333333333334
9458_TXNL4B_P1P2_ENSG00000140830,TXNL4B,-2.961719229122474,-0.049782168363985066,-0.03427326545290112,10806.0,11019.0,10359.0,10728.0
2841_FAM120A_P1P2_ENSG00000048828,FAM120A,-3.918345075527401,-0.033413340999727405,-0.04695882675747949,11060.0,10412.0,10713.0,10728.333333333334
9408_TUBA1B_P1P2_ENSG00000123416,TUBA1B,-2.840899499651032,-0.038257019374374916,-0.04818051118767752,10758.0,10690.0,10744.0,10730.666666666666
435_ARCN1_P1P2_ENSG00000095139,ARCN1,-3.0426941541937595,-0.044554619301357394,-0.036882171753231725,10836.0,10908.0,10453.0,10732.333333333334
8224_SNRPA_P1P2_ENSG00000077312,SNRPA,-2.6897579908780047,-0.039474583907313586,-0.048953500990615316,10687.0,10749.0,10761.0,10732.333333333334
5969_ORC5_P1P2_ENSG00000164815,ORC5,-3.036204614576008,-0.032501075054389685,-0.07317693249735653,10834.0,10357.0,11008.0,10733.0
2804_EZR_P2_ENSG00000092820,EZR,-2.976383519304936,-0.04381565508027746,-0.038604315432391484,10810.0,10883.0,10507.0,10733.333333333334
5992_OSTM1_P1P2_ENSG00000081087,OSTM1,-2.855670923974323,-0.043326075836959174,-0.04045249462274611,10768.0,10876.0,10565.0,10736.333333333334
4033_IER3IP1_P1P2_ENSG00000134049,IER3IP1,-2.736029376633025,-0.035216692603692354,-0.06613601015079791,10709.0,10543.0,10962.0,10738.0
3756_HIST1H2AL_ENST00000357320.2_ENSG00000276903,HIST1H2AL,-3.5408126326625764,-0.035731745613822814,-0.044611643344225994,10969.0,10577.0,10670.0,10738.666666666666
6029_PACS2_P1P2_ENSG00000179364,PACS2,-3.071037905800264,-0.04500774638037274,-0.036794858880623726,10849.0,10918.0,10450.0,10739.0
6503_POC1A_P1P2_ENSG00000164087,POC1A,-3.7348427466604313,-0.042309669579578914,-0.03395233120165493,11029.0,10849.0,10347.0,10741.666666666666
867_BOD1L1_P1_ENSG00000038219,BOD1L1,-3.503421613870641,-0.03410876951059153,-0.05232229140121186,10954.0,10468.0,10803.0,10741.666666666666
8424_SRRM1_P1P2_ENSG00000133226,SRRM1,-2.6382572373876605,-0.038577316234931304,-0.057337855953041514,10651.0,10710.0,10867.0,10742.666666666666
3736_HIPK1_P1P2_ENSG00000163349,HIPK1,-2.480309862176303,-0.04427318118545925,-0.0519574722132975,10536.0,10893.0,10800.0,10743.0
2437_E2F1_P1P2_ENSG00000101412,E2F1,-3.2549466093048562,-0.043655902382567315,-0.03686213370338689,10902.0,10878.0,10452.0,10744.0
3082_FH_P1P2_ENSG00000091483,FH,-2.6921533530193633,-0.03896259405828655,-0.053551544405003336,10688.0,10729.0,10818.0,10745.0
4901_MCM4_P1P2_ENSG00000104738,MCM4,-3.221995773994463,-0.03474636112095934,-0.05480071530076599,10898.0,10510.0,10832.0,10746.666666666666
1772_COPB2_P1P2_ENSG00000184432,COPB2,-2.709680393078083,-0.04521887152387535,-0.0427191607104561,10694.0,10921.0,10631.0,10748.666666666666
10060_ZEB1_P1_ENSG00000148516,ZEB1,-3.807924723157466,-0.04063971259725662,-0.035715844122029446,11044.0,10796.0,10409.0,10749.666666666666
7559_RRN3_P1P2_ENSG00000085721,RRN3,-2.4567067815638937,-0.04273646832625268,-0.058329676659411606,10515.0,10858.0,10881.0,10751.333333333334
6695_PPP3R1_P1P2_ENSG00000221823,PPP3R1,-2.4694677462738603,-0.049252637354473244,-0.04697665567459709,10531.0,11008.0,10715.0,10751.333333333334
1773_COPE_P1P2_ENSG00000105669,COPE,-3.0295488741497194,-0.039633225542074116,-0.04440838306561877,10830.0,10758.0,10668.0,10752.0
7324_RMND1_P1P2_ENSG00000155906,RMND1,-3.2909354648920943,-0.03717548800758379,-0.046498708076043026,10912.0,10653.0,10698.0,10754.333333333334
8216_SNRNP200_P1P2_ENSG00000144028,SNRNP200,-2.684383031926664,-0.04634047227627365,-0.04316200113090991,10681.0,10950.0,10638.0,10756.333333333334
11295_non-targeting_non-targeting_non-targeting,,-3.54601232121333,-0.03571432199219642,-0.04779134964724081,10970.0,10576.0,10735.0,10760.333333333334
2604_ELP2_P1P2_ENSG00000134759,ELP2,-4.001929277153982,-0.040431388275996225,-0.035948646813885286,11074.0,10790.0,10418.0,10760.666666666666
9444_TWSG1_P1P2_ENSG00000128791,TWSG1,-2.8026321288561604,-0.04316354973576876,-0.045155852077058176,10734.0,10870.0,10680.0,10761.333333333334
8720_TBC1D4_P1P2_ENSG00000136111,TBC1D4,-2.7059997146657517,-0.04218073237153994,-0.04919672970874879,10692.0,10838.0,10768.0,10766.0
502_ARL15_P1P2_ENSG00000185305,ARL15,-3.2778967213016115,-0.04854426554312053,-0.03574144641448482,10907.0,10989.0,10410.0,10768.666666666666
2989_FBRSL1_P1P2_ENSG00000112787,FBRSL1,-3.067173586809105,-0.03383776460796699,-0.07588007072644432,10844.0,10443.0,11032.0,10773.0
51_ABHD6_P1P2_ENSG00000163686,ABHD6,-3.5945037987091215,-0.04909933976919585,-0.03375211100487536,10979.0,11002.0,10339.0,10773.333333333334
9463_TYMP_P1P2_ENSG00000025708,TYMP,-2.894184594204727,-0.04400162665558732,-0.0439215541325748,10780.0,10886.0,10656.0,10774.0
1788_COPZ1_P1_ENSG00000111481,COPZ1,-2.4251581094581978,-0.04717725298056355,-0.05760019297467836,10489.0,10965.0,10871.0,10775.0
979_ERG28_P1P2_ENSG00000133935,ERG28,-3.4249664738375953,-0.044889840701736815,-0.03756629200692174,10938.0,10916.0,10472.0,10775.333333333334
2074_DCTN2_P1P2_ENSG00000175203,DCTN2,-2.9943195236316926,-0.038478136296216096,-0.05449113201580656,10819.0,10704.0,10828.0,10783.666666666666
3283_GAPVD1_P1P2_ENSG00000165219,GAPVD1,-2.779788553312962,-0.0437259611321011,-0.04828661429826385,10725.0,10879.0,10749.0,10784.333333333334
11086_non-targeting_non-targeting_non-targeting,,-2.977435141708459,-0.047426925956144436,-0.040872040410274355,10811.0,10968.0,10575.0,10784.666666666666
552_ARRDC4_P1P2_ENSG00000140450,ARRDC4,-3.6117387214335293,-0.04271154591549018,-0.03900114753127891,10985.0,10857.0,10515.0,10785.666666666666
386_AP4M1_P1P2_ENSG00000221838,AP4M1,-3.612439803035878,-0.03675816951279076,-0.047960098719621265,10987.0,10634.0,10739.0,10786.666666666666
6234_PEX6_P1P2_ENSG00000124587,PEX6,-3.320322468723881,-0.042218894708583775,-0.042010226514916635,10917.0,10841.0,10609.0,10789.0
8910_TIGD5_P1P2_ENSG00000179886,TIGD5,-3.1931345813644376,-0.035628917070880894,-0.061506519024585725,10889.0,10572.0,10910.0,10790.333333333334
6148_PCYT2_P1P2_ENSG00000185813,PCYT2,-3.871372608170032,-0.03731215566940603,-0.04409660128549177,11051.0,10658.0,10663.0,10790.666666666666
8862_TGFBRAP1_P1P2_ENSG00000135966,TGFBRAP1,-3.8772149548562718,-0.046062428888410833,-0.03463640827367639,11054.0,10944.0,10375.0,10791.0
5603_NENF_P1P2_ENSG00000117691,NENF,-4.353424633251689,-0.05770143356790685,-0.030088942286936947,11131.0,11084.0,10161.0,10792.0
2803_EZH2_P1P2_ENSG00000106462,EZH2,-3.1113417277570785,-0.04255974630398996,-0.04420629307663673,10860.0,10853.0,10666.0,10793.0
4377_KIF15_P1P2_ENSG00000163808,KIF15,-3.447860896884499,-0.042063923913136216,-0.04188900173539256,10944.0,10835.0,10602.0,10793.666666666666
11263_non-targeting_non-targeting_non-targeting,,-3.6642029946759638,-0.042216198577005454,-0.03999741808281863,11004.0,10840.0,10545.0,10796.333333333334
6322_PIAS3_P1P2_ENSG00000131788,PIAS3,-3.4621283183401323,-0.045962836471323626,-0.03857520735101699,10945.0,10941.0,10506.0,10797.333333333334
3710_HEXIM1_P1P2_ENSG00000186834,HEXIM1,-2.9081449100096535,-0.043995377964324796,-0.04722375867111496,10787.0,10885.0,10721.0,10797.666666666666
8410_SRI_P1_ENSG00000075142,SRI,-2.934786010898908,-0.044684607463358644,-0.04557238182347324,10797.0,10912.0,10686.0,10798.333333333334
9343_TSHZ2_P1P2_ENSG00000182463,TSHZ2,-3.0700336544307465,-0.051267330660719396,-0.039025308838722406,10847.0,11032.0,10518.0,10799.0
1516_CEP85_P1P2_ENSG00000130695,CEP85,-3.6778740859217653,-0.051130933083804175,-0.034336935855290046,11009.0,11030.0,10362.0,10800.333333333334
9922_YBX2_P1P2_ENSG00000006047,YBX2,-3.4084250567523795,-0.05150454703603884,-0.03644057334655949,10933.0,11034.0,10439.0,10802.0
7037_RAB5C_P2_ENSG00000108774,RAB5C,-2.672896080656474,-0.04541286538492411,-0.053810254241420497,10670.0,10928.0,10822.0,10806.666666666666
10528_ZNF653_P1P2_ENSG00000161914,ZNF653,-2.9351949751669446,-0.044646911035640086,-0.046970395287298475,10798.0,10910.0,10714.0,10807.333333333334
11124_non-targeting_non-targeting_non-targeting,,-2.8702280800159565,-0.03847512460423805,-0.06486622338855326,10773.0,10703.0,10948.0,10808.0
5813_NRIP1_P1P2_ENSG00000180530,NRIP1,-3.79242638676159,-0.046476208011458915,-0.03626718163539371,11040.0,10953.0,10431.0,10808.0
3474_GOPC_P1P2_ENSG00000047932,GOPC,-3.256465619443279,-0.039943960224024515,-0.04837720248745946,10903.0,10773.0,10751.0,10809.0
7548_RRAGA_P1P2_ENSG00000155876,RRAGA,-3.441142198195323,-0.03640330451422581,-0.05733177357014543,10942.0,10623.0,10866.0,10810.333333333334
9737_VPS11_P1P2_ENSG00000160695,VPS11,-3.053502495563303,-0.03794193047867066,-0.06228635114566946,10839.0,10677.0,10917.0,10811.0
8996_TMEM129_P1P2_ENSG00000168936,TMEM129,-2.8038590216602706,-0.03718237758130283,-0.07726006312144727,10735.0,10654.0,11045.0,10811.333333333334
8335_SPCS3_P1_ENSG00000129128,SPCS3,-3.1620481447208295,-0.035880941287440515,-0.06733771937585555,10876.0,10588.0,10970.0,10811.333333333334
4898_MCM2_P1P2_ENSG00000073111,MCM2,-3.684826478478391,-0.03279688428765355,-0.0771610735973879,11011.0,10379.0,11044.0,10811.333333333334
4128_INO80D_P1P2_ENSG00000114933,INO80D,-3.712051814036269,-0.04568583048844363,-0.037778000735394925,11020.0,10933.0,10482.0,10811.666666666666
3910_HOXC10_P1P2_ENSG00000180818,HOXC10,-3.3112940111189118,-0.04325500662272617,-0.04355711812499512,10915.0,10874.0,10649.0,10812.666666666666
3988_HSPH1_P1P2_ENSG00000120694,HSPH1,-4.531849901049457,-0.03063960052278927,-0.0942438303272698,11142.0,10198.0,11102.0,10814.0
9586_ULK3_P1P2_ENSG00000140474,ULK3,-3.800855483667116,-0.03876414625606453,-0.04502686262577211,11043.0,10721.0,10678.0,10814.0
2779_EXOC2_P1P2_ENSG00000112685,EXOC2,-2.996247498038152,-0.04892315166766592,-0.04264873032876059,10821.0,10996.0,10629.0,10815.333333333334
6120_PCGF1_P1P2_ENSG00000115289,PCGF1,-3.3507012154056386,-0.05101480751934767,-0.03841358212351258,10922.0,11028.0,10501.0,10817.0
790_BCKDHA_P2_ENSG00000248098,BCKDHA,-3.51742246314616,-0.043107540342628675,-0.04226730391172803,10964.0,10869.0,10619.0,10817.333333333334
2300_DNAJC4_P1P2_ENSG00000110011,DNAJC4,-3.4834407882037004,-0.03480776874098954,-0.07097028061184331,10951.0,10514.0,10989.0,10818.0
8078_SLC39A7_P1P2_ENSG00000112473,SLC39A7,-3.536685729637675,-0.04648782273620517,-0.03977292815064089,10967.0,10954.0,10540.0,10820.333333333334
938_BUD31_P1P2_ENSG00000106245,BUD31,-3.7294651716527194,-0.03356700620521328,-0.07409704321759386,11026.0,10422.0,11014.0,10820.666666666666
8820_TERF2_P1P2_ENSG00000132604,TERF2,-2.4966100094309125,-0.040957243128480376,-0.09812862773797276,10545.0,10807.0,11116.0,10822.666666666666
