target,u_z,cosine,delta,avg_rank,rpe1_u_z,rpe1_rank,rpe1_covered,depmap_chronos,depmap_n_lines,essential,depmap_covered,tier
TSPAN32,2.4328169461641176,0.021649229470105,0.0223872335890558,1075.3333333333333,,,False,0.010670722675963874,1178.0,False,True,T1_reversal_not_explained_by_fitness
IWS1,1.67817885112168,0.035016704750026,0.0269557078547183,1076.3333333333333,2.7105739304813583,467.0,True,-0.21874647384540863,1178.0,False,True,T1_reversal_not_explained_by_fitness
NLK,2.2117666232080313,0.0267091467484388,0.0213802577942203,1077.0,,,False,0.14226790833084485,1178.0,False,True,T1_reversal_not_explained_by_fitness
AGA,1.7589924792422045,0.0281414474713298,0.0292851779745174,1077.6666666666667,,,False,0.060474308984063814,1178.0,False,True,T1_reversal_not_explained_by_fitness
STAM,2.8461644952786913,0.0250353162640913,0.0170146337143252,1078.0,,,False,0.007844273290579474,1178.0,False,True,T1_reversal_not_explained_by_fitness
NDUFAF1,2.2571713566284344,0.0265775218005383,0.0207151617457176,1080.0,,,False,-0.5304106264755964,1178.0,True,True,T2_reversal_confounded_by_essentiality
WDR92,2.663320938824869,0.0151308839346876,0.0304319368659504,1080.6666666666667,2.213303889878383,715.0,True,,,False,False,T3_no_fitness_data
FASTKD5,2.738209686393161,0.0227532818199758,0.0187005424219989,1081.6666666666667,1.1570152433537129,1335.0,True,-0.2363752800924781,1178.0,False,True,T1_reversal_not_explained_by_fitness
PARP6,2.725967837605092,0.0191627707337804,0.0215759627823948,1082.3333333333333,,,False,-0.13454053896100418,1178.0,False,True,T1_reversal_not_explained_by_fitness
NDUFB9,1.924017828741151,0.0328043142794372,0.0225615131448073,1084.6666666666667,,,False,-0.5743362891289372,1178.0,True,True,T2_reversal_confounded_by_essentiality
ATOH7,2.2784215294206467,0.023123814190122,0.0226912533012786,1084.6666666666667,,,False,-0.012159719099586873,1178.0,False,True,T1_reversal_not_explained_by_fitness
MRPL55,2.1973029442128755,0.0398064488603196,0.0176101567796,1085.0,0.32463017619276835,1760.0,True,-0.5087338056544792,1178.0,True,True,T2_reversal_confounded_by_essentiality
FOXR1,3.160313860441549,0.0187478004443726,0.019205841784245,1086.6666666666667,,,False,0.011001155675752532,1178.0,False,True,T1_reversal_not_explained_by_fitness
RNASEH1,1.6255955362206165,0.044335388234344,0.0257031154910139,1086.6666666666667,,,False,-0.0535630867375621,1178.0,False,True,T1_reversal_not_explained_by_fitness
ATP6AP2,2.6943829964259116,0.025882841897398,0.0173662027173264,1087.0,4.942726539909395,11.0,True,-0.7155211800925976,1178.0,True,True,T2_reversal_confounded_by_essentiality
HCRTR1,2.746487093047015,0.0281135564052892,0.0161039772801724,1091.0,0.49564591096402644,1691.0,True,-0.1381905479899313,1178.0,False,True,T1_reversal_not_explained_by_fitness
PTPRC,1.9713733078608329,0.0219010068094172,0.0298291299153043,1091.6666666666667,,,False,-0.11599531092378752,349.0,False,True,T1_reversal_not_explained_by_fitness
DCAF7,2.2190420280037872,0.023056078771555,0.0232549280417588,1092.6666666666667,,,False,,,False,False,T3_no_fitness_data
TECR,2.579370609235516,0.0221520697108337,0.0199488118355542,1093.3333333333333,,,False,-0.18995563801906004,1178.0,False,True,T1_reversal_not_explained_by_fitness
HSCB,2.4163492634527652,0.0163865874944824,0.0310241157090057,1094.6666666666667,2.41195578763737,607.0,True,-0.6269042930672677,1178.0,True,True,T2_reversal_confounded_by_essentiality
RCOR3,2.09688493191217,0.0242728689725512,0.023824965116433,1095.3333333333333,,,False,0.04982368605419114,1178.0,False,True,T1_reversal_not_explained_by_fitness
PSMG1,2.324644310787696,0.0231222596559028,0.0217976024814781,1097.3333333333333,1.7018272772156888,1015.0,True,-0.5287048031818883,1178.0,True,True,T2_reversal_confounded_by_essentiality
PPP1R18,2.928677170028165,0.0213349784252367,0.0179000739408767,1098.3333333333333,,,False,-0.004497552033737641,1178.0,False,True,T1_reversal_not_explained_by_fitness
CEP152,2.638227327074237,0.0195950001430964,0.021326277810024,1099.3333333333333,1.9423385394097887,875.0,True,-0.14212650606317978,1178.0,False,True,T1_reversal_not_explained_by_fitness
