perturbation,target,u_z,cosine,delta,rank_u_z,rank_cosine,rank_delta,avg_rank
2085_DDA1_P1P2_ENSG00000130311,DDA1,-0.8134076822848028,-0.012791133312539235,-0.003353033449462954,8779.0,7904.0,7573.0,8085.333333333333
5181_MPZ_P2_ENSG00000158887,MPZ,-0.9790429459582439,-0.0024006241621796114,-0.012841320331447066,9116.0,5278.0,9863.0,8085.666666666667
2464_ECHDC1_P1P2_ENSG00000093144,ECHDC1,-0.6279937732384677,-0.007915349071703288,-0.009417146379879025,8296.0,6750.0,9217.0,8087.666666666667
522_ARMC5_P1P2_ENSG00000140691,ARMC5,-0.43386680455649673,-0.018912600722938544,-0.0027781502327001717,7742.0,9144.0,7379.0,8088.333333333333
142_ADA_P1P2_ENSG00000196839,ADA,-0.7806465780548112,-0.011768151497502046,-0.004364285997548385,8680.0,7688.0,7902.0,8090.0
1127_C8orf76_P1P2_ENSG00000189376,C8orf76,-0.7772484847969131,-0.008267629610896525,-0.007403515988441951,8673.0,6849.0,8749.0,8090.333333333333
10937_non-targeting_non-targeting_non-targeting,,-0.5827729937295167,-0.011170465686807959,-0.0065733857059107744,8172.0,7553.0,8547.0,8090.666666666667
4479_KRT8_P2_ENSG00000170421,KRT8,-0.6276252019416556,-0.014124358264281994,-0.004007599712960634,8294.0,8193.0,7787.0,8091.333333333333
5095_MKNK1_P2_ENSG00000079277,MKNK1,-0.5136348655207447,-0.016985348657686448,-0.0031672676374200496,7972.0,8787.0,7515.0,8091.333333333333
9261_TRIM11_P1P2_ENSG00000154370,TRIM11,-0.7827377123673639,-0.007554117511911537,-0.008165250897213426,8688.0,6648.0,8943.0,8093.0
5816_NRL_P1_ENSG00000129535,NRL,-0.24518549814679824,-0.018702489257819605,-0.004753331033545909,7162.0,9104.0,8017.0,8094.333333333333
2713_ERLIN1_P1P2_ENSG00000107566,ERLIN1,-1.000939317765417,-0.007596176089999861,-0.006265677175256234,9167.0,6665.0,8451.0,8094.333333333333
4665_LRRC42_P1P2_ENSG00000116212,LRRC42,-0.4053549776614617,-0.016345309960502107,-0.004522270141436676,7670.0,8659.0,7955.0,8094.666666666667
8368_SPPL2B_P1P2_ENSG00000005206,SPPL2B,-0.4371777672180384,-0.013168821767596194,-0.006566576558354316,7754.0,7997.0,8542.0,8097.666666666667
2398_DUS4L_P1P2_ENSG00000105865,DUS4L,-1.113485456136108,-0.004743866225218775,-0.008527313564130194,9400.0,5883.0,9019.0,8100.666666666667
667_ATP5PO_P1P2_ENSG00000241837,ATP5PO,-0.3299535691987766,-0.008270878512168988,-0.01389619775332312,7438.0,6850.0,10017.0,8101.666666666667
3162_FOXI2_P1P2_ENSG00000186766,FOXI2,-0.45826337153627766,-0.015464337142105478,-0.004766258102085835,7804.0,8482.0,8020.0,8102.0
6028_PACS1_P1P2_ENSG00000175115,PACS1,-0.3395871824744258,-0.01814537498615553,-0.004111781888321729,7474.0,9012.0,7821.0,8102.333333333333
9276_TRIM39_P1P2_ENSG00000204599,TRIM39,-0.3354527959719876,-0.015948172491238317,-0.005679321227101891,7458.0,8572.0,8279.0,8103.0
8202_SNAP29_P1P2_ENSG00000099940,SNAP29,-0.7616521080491246,-0.012174389707885017,-0.0044219047366989075,8625.0,7763.0,7924.0,8104.0
280_ALKBH7_P1P2_ENSG00000125652,ALKBH7,-1.0114119625046318,-0.008522776692814305,-0.005372178483568017,9184.0,6919.0,8215.0,8106.0
2258_DMRT3_P1P2_ENSG00000064218,DMRT3,-0.6118310476143629,-0.01524915967424206,-0.0035102875414891824,8249.0,8448.0,7623.0,8106.666666666667
4343_DELE1_P1P2_ENSG00000081791,DELE1,-0.6830167448375094,-0.011071191927797938,-0.005928982840552225,8445.0,7529.0,8350.0,8108.0
548_ARRDC1_P1P2_ENSG00000197070,ARRDC1,-0.16611448195340114,-0.02283096864982308,-0.0034644597537538385,6951.0,9767.0,7607.0,8108.333333333333
