target,u_z,cosine,delta,avg_rank,rpe1_u_z,rpe1_rank,rpe1_covered,depmap_chronos,depmap_n_lines,essential,depmap_covered,tier
SREBF2,7.056912138842358,0.1658448508334535,0.1608925029681531,2.6666666666666665,,,False,-0.02418851733525929,1178.0,False,True,T1_reversal_not_explained_by_fitness
SPATA5L1,5.4426133259674,0.0534213819408169,0.1178701740547115,27.0,0.872939716704552,433.0,True,,,False,False,T3_no_fitness_data
SCAP,4.821162908952059,0.1320403917624086,0.1239383061451046,27.0,1.3912958580961712,197.0,True,-1.0042523766596065,1178.0,True,True,T2_reversal_confounded_by_essentiality
TTC4,5.644057439708954,0.0394232161603661,0.1102938102645074,41.0,2.4121485245274723,22.0,True,-0.5494383542004999,1178.0,True,True,T2_reversal_confounded_by_essentiality
NOLC1,5.900752670480025,0.0548783725348515,0.090254334035072,43.666666666666664,1.6472524442204937,118.0,True,-0.48801567264953055,1178.0,False,True,T1_reversal_not_explained_by_fitness
EIF3M,4.906578017504886,0.0517129255798319,0.0990178883260304,44.333333333333336,0.9619848543472003,387.0,True,-1.1372098545291192,1178.0,True,True,T2_reversal_confounded_by_essentiality
MBTPS2,3.736472823184752,0.1093337558576871,0.1528299044973525,49.333333333333336,-0.42297158962072945,1483.0,True,-0.4921760431913202,1178.0,False,True,T1_reversal_not_explained_by_fitness
EMC2,4.827472643373198,0.0706075141827972,0.0905585784468081,50.666666666666664,,,False,-0.2555393794767031,1178.0,False,True,T1_reversal_not_explained_by_fitness
CINP,4.706148920885297,0.0352596151112674,0.1305710801692039,52.666666666666664,0.8940858718404685,426.0,True,-0.9583334078310254,1178.0,True,True,T2_reversal_confounded_by_essentiality
RPF2,4.718396030741098,0.0340385485078098,0.140434050830005,54.333333333333336,1.1799444429616728,282.0,True,-1.2927857288616549,1178.0,True,True,T2_reversal_confounded_by_essentiality
