gene,pmid,year,cited_by,hits,title
ALDH18A1,27492215,2016,1452,215,From Krebs to clinic: glutamine metabolism to cancer therapy.
ARFGAP1,17220896,2007,484,121,A general amphipathic alpha-helical motif for sensing membrane curvature.
ASNS,26771115,2016,4497,1076,The Emerging Hallmarks of Cancer Metabolism.
ATF3,29608179,2018,11270,3613,Integrating single-cell transcriptomic data across different conditions; technologies; and species.
ATF4,29608179,2018,11270,17266,Integrating single-cell transcriptomic data across different conditions; technologies; and species.
ATF6,22251901,2012,3315,17718,The unfolded protein response: controlling cell fate decisions under ER stress and beyond.
ATP6V0D1,24448649,2014,571,169,The nutrient-responsive transcription factor TFE3 promotes autophagy; lysosomal biogenesis; and clearance of cellular de
BAG3,26799652,2016,4317,1517,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
BANF1,33512317,2021,319,116,DNA damage-how and why we age?
CALR,29362479,2018,5207,1954,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.
CCL2,25792098,2015,4770,6521,Neuroinflammation in Alzheimer's disease.
CEBPB,26799652,2016,4317,1089,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
CEBPG,22553043,2012,2005,276,Genomic analysis of reactive astrogliosis.
CHAC1,33268902,2021,3413,846,Ferroptosis: molecular mechanisms and health implications.
CKS1B,31474370,2019,763,147,Single-Cell Analysis of Crohn's Disease Lesions Identifies a Pathogenic Cellular Module Associated with Resistance to An
CNOT2,19396146,2009,320,60,Discovery of insect and human dengue virus host factors.
CNOT4,32475992,2020,184,88,PROteolysis TArgeting Chimeras (PROTACs) as emerging anticancer therapeutics.
CNOT6,31292544,2019,602,198,m&lt;sup&gt;6&lt;/sup&gt;A enhances the phase separation potential of mRNA.
CXXC1,31237565,2019,123,37,Unified single-cell analysis of testis gene regulation and pathology in five mouse strains.
DCP1A,24598541,2014,783,186,C9orf72 nucleotide repeat structures initiate molecular cascades of disease.
DCP2,26799652,2016,4317,310,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
DCTN1,33634751,2021,2271,416,Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)&lt;sup&gt;1&lt;/sup&gt;.
DDIT4,26799652,2016,4317,854,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
DDX10,29125603,2018,507,59,Cell cycle arrest through indirect transcriptional repression by p53: I have a DREAM.
DKC1,31953710,2020,764,313,Human Inborn Errors of Immunity: 2019 Update on the Classification from the International Union of Immunological Societi
DNAJA4,16952052,2006,647,269,The diversity of the DnaJ/Hsp40 family; the crucial partners for Hsp70 chaperones.
DNAJB9,32457508,2020,2205,685,Mechanisms; regulation and functions of the unfolded protein response.
DNAJC3,14559994,2003,1727,790,XBP-1 regulates a subset of endoplasmic reticulum resident chaperone genes in the unfolded protein response.
EDC4,31292544,2019,602,96,m&lt;sup&gt;6&lt;/sup&gt;A enhances the phase separation potential of mRNA.
EDEM1,22722607,2012,1329,1052,Vertebrate protein glycosylation: diversity; synthesis and function.
