gene,pmid,year,cited_by,hits,title,class,u_z,q,rank
LSM1,23629963,2013,803,181,Stress granules as crucibles of ALS pathogenesis.,DISAGREES,-0.3394608034043802,0.9043133769489317,5833.333333333333
LSM4,23629963,2013,803,120,Stress granules as crucibles of ALS pathogenesis.,DISAGREES,0.7255364758594133,0.760346345890216,3446.6666666666665
MTHFD2,26771115,2016,4497,588,The Emerging Hallmarks of Cancer Metabolism.,AGREES,3.799765307100878,0.009212045161103733,341.3333333333333
MTREX,25064072,2014,173,20,The SKIV2L RNA exosome limits activation of the RIG-I-like receptors.,DISAGREES,1.4972086024895193,0.4409295403250539,2877.6666666666665
NABP1,19381306,2009,536,32,Retinoid-related orphan receptors (RORs): critical roles in development; immunity; circadian rhythm; and cellular metabo,DISAGREES,1.6594457729050625,0.38394330374310803,1895.3333333333333
NFYA,30567491,2018,1402,174,iDEP: an integrated web application for differential expression and pathway analysis of RNA-Seq data.,DISAGREES,0.697916076814447,0.7732204844355959,3850.3333333333335
NFYB,10958673,2000,764,208,ATF6 activated by proteolysis binds in the presence of NF-Y (CBF) directly to the cis-acting element responsible for the,DISAGREES,2.9596085317346725,0.058701777546404516,535.3333333333334
NHP2,22553043,2012,2005,199,Genomic analysis of reactive astrogliosis.,AGREES,3.428676097219139,0.022913917902001955,2082.0
NOLC1,29373831,2018,795,119,Context-Dependent and Disease-Specific Diversity in Protein Interactions within Stress Granules.,DISAGREES,0.8686304892668483,0.7063524048229988,3281.3333333333335
NOP14,20448178,2010,2514,48,A draft sequence of the Neandertal genome.,DISAGREES,0.622504545668017,0.8038358263960073,5361.333333333333
NOP56,18959479,2008,519,209,Diverse RNA-binding proteins interact with functionally related sets of RNAs; suggesting an extensive regulatory system.,DISAGREES,0.3638573703841611,0.8968875662474722,4948.0
NPM1,32408336,2020,882,1130,Proteomics of SARS-CoV-2-infected host cells reveals therapy targets.,DISAGREES,2.593616461739781,0.11093827211150828,450.6666666666667
PAIP1,33599151,2021,662,78,Regulation and metabolic functions of mTORC1 and mTORC2.,DISAGREES,1.1362701070832963,0.5853393174072735,2277.6666666666665
PARN,31953710,2020,764,253,Human Inborn Errors of Immunity: 2019 Update on the Classification from the International Union of Immunological Societi,DISAGREES,2.5488749005107896,0.11817163199461592,1633.6666666666667
PDIA5,32457508,2020,2205,267,Mechanisms; regulation and functions of the unfolded protein response.,DISAGREES,0.4854637463550249,0.8535836276226423,4197.333333333333
PDIA6,32457508,2020,2205,982,Mechanisms; regulation and functions of the unfolded protein response.,DISAGREES,-0.1728235378728409,0.9548342946819197,9136.0
POP4,31036962,2019,3851,52,The NLRP3 inflammasome: molecular activation and regulation to therapeutics.,DISAGREES,1.4610494050016298,0.45574382399472807,4538.333333333333
PREB,33634751,2021,2271,153,Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)&lt;sup&gt;1&lt;/sup&gt;.,DISAGREES,-1.361284872173597,0.4976560009049768,9903.333333333334
PSAT1,33268902,2021,3413,620,Ferroptosis: molecular mechanisms and health implications.,DISAGREES,-0.4017156145009997,0.8847096712501935,8000.333333333333
RPS14,33174596,2021,1713,402,MitoCarta3.0: an updated mitochondrial proteome now with sub-organelle localization and pathway annotations.,DISAGREES,0.7458531588970896,0.7524420647543238,4866.333333333333
