screen_id,r2_size_alone,r2_size_raw,n_hits,n_measured,n_sets_used,source_id,cell_line,phenotype,library
1033,0.3675,0.3126,1536,11632,50,31316073,K-562,cell proliferation,Human Activity-optimized genome-wide library
1034,0.4338,0.3331,1614,11632,50,31316073,K-562,cell proliferation,GECKO v2
1045,0.1919,0.2185,110,18776,50,31294695,LK-2,response to chemicals,CRISPRi-v2 (inhibition)
1048,0.3484,0.3746,811,18519,50,29987050,T-47D,cell proliferation,GECKO v2
1050,0.5196,0.4886,1036,18519,50,29987050,T-47D,cell proliferation,GECKO v2
1052,0.4695,0.4369,968,18519,50,29987050,MCF-7,cell proliferation,GECKO v2
1053,0.5009,0.4866,1061,18519,50,29987050,MCF-7,cell proliferation,GECKO v2
1062,0.2138,0.2265,173,16931,50,30995489,G432NS-Cas9,response to chemicals,TKO (Toronto Knockout) v1
1063,0.28,0.2715,199,16931,50,30995489,G472NS-Cas9,response to chemicals,TKO (Toronto Knockout) v1
1064,0.1657,0.1659,157,16930,50,30995489,G361NS-Cas9,response to chemicals,TKO (Toronto Knockout) v1
1065,0.3331,0.3326,281,16931,50,30995489,G523NS-Cas9,response to chemicals,TKO (Toronto Knockout) v1
1066,0.3687,0.3631,285,16931,50,30995489,G510NS-Cas9,response to chemicals,TKO (Toronto Knockout) v1
1067,0.3878,0.4355,417,16931,50,30995489,G583NS-Cas9,response to chemicals,Toronto Knockout version 3 (TKOv3)
1075,0.204,0.1998,177,18134,50,28700943,HCT 116,cell proliferation,"CRISPRn (Martin, 2017)"
1076,0.0456,0.0702,62,17862,50,28700943,LS513,cell proliferation,"CRISPRn (Martin, 2017)"
1081,0.8913,0.8292,5792,20617,50,31921143,K-562,cell proliferation,GECKO v2
1082,0.9622,0.9329,5822,20617,50,31921143,K-562,cell proliferation,GECKO v2
1083,0.9258,0.8674,6349,20617,50,31921143,K-562,cell proliferation,GECKO v2
1092,0.1228,0.0966,186,20522,50,31540829,U-937,response to bacteria,Bassik Human CRISPR Knockout Library
1104,0.771,0.7298,1021,18661,50,31353312,HeLa,protein/peptide accumulation,GECKO v2
1107,0.7138,0.646,3787,19100,50,30449619,CD8+ T s (primary-derived),protein/peptide accumulation,Brunello (human)
1109,0.4516,0.4577,559,19100,50,30449619,CD8+ T s (primary-derived),protein/peptide accumulation,Brunello (human)
1110,0.4946,0.4412,618,19106,50,30449619,CD8+ T s (primary-derived),protein/peptide accumulation,Brunello (human)
1111,0.1316,0.1131,747,20401,50,30581143,K-562,protein/peptide accumulation,Bassik Human CRISPR Knockout Library
