gene_symbol,rank,average_rank,reversal_score_wilcoxon,reversal_score_cosine,reversal_effect_size,q_value,rpe1_rank,rpe1_covered,depmap_gene_effect,depmap_n_cell_lines,is_essential,tier,tier_label
ANXA5,1971,2230.6666666666665,0.7090215743863627,0.0112643576413039,0.0160107335988686,0.7587468277991963,,False,0.0779505128656751,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
CSTF2,1972,2230.6666666666665,0.6948501179904367,0.0148209816996619,0.0134083529181361,0.7635363778247966,,False,-0.1788672800916756,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
PCNP,1973,2231.3333333333335,1.632667074040707,0.0041147370653305,0.0128782562037221,0.37058891383818143,,False,-0.2499693393420039,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
NCOA6,1974,2232.0,1.210915197280782,0.0100057790114456,0.0104753299680406,0.5407371737389315,,False,-0.2281847222788513,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
POU6F1,1975,2232.6666666666665,0.990511457185119,0.0076299619926394,0.0156083670647316,0.6381797063791309,,False,-0.0940011648705239,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
FBXW2,1976,2234.0,1.5353687091438557,0.0052392437056539,0.0124824384266426,0.41058701569099443,,False,0.0313213279300884,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
PPCDC,1977,2234.0,1.5001393586258287,0.0053888231155728,0.0125191404923558,0.012094824082957183,,False,-0.1260333116676533,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
NOTUM,1978,2234.3333333333335,1.300214255022698,0.0084000238333968,0.0109908229780053,0.5021444261855665,,False,-0.1040660899841691,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
KRIT1,1979,2235.3333333333335,0.996236956937634,0.0101563798352894,0.0126990331321316,0.636122898658677,,False,-0.0107859092046595,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
GTF2F1,1980,2235.6666666666665,1.3127168769312516,0.0019740389850834,0.020952354342883,0.4962496210151433,1376.0,True,-0.5851046575241193,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
CNN1,1981,2236.0,1.0887797284476748,0.0126203262485046,0.0097243891991906,0.5949192227657187,,False,0.0442579209649535,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
UBXN6,1982,2237.0,0.9819232075563462,0.0109733923345548,0.0122756012628365,0.6410595693465249,,False,-0.0839379943238983,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SCAMP2,1983,2238.3333333333335,0.8605192434162804,0.0145733858603532,0.0112111297320403,0.6262321785542726,,False,0.021270862201572,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
