gene_symbol,rank,average_rank,reversal_score_wilcoxon,reversal_score_cosine,reversal_effect_size,q_value,rpe1_rank,rpe1_covered,depmap_gene_effect,depmap_n_cell_lines,is_essential,tier,tier_label
SREBF2,1,2.6666666666666665,7.056912138842358,0.1658448508334535,0.1608925029681531,1.3973247301352364e-09,,False,-0.0241885173352592,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SPATA5L1,2,27.0,5.4426133259674,0.0534213819408169,0.1178701740547115,6.873210139547295e-06,433.0,True,,,False,T3_no_fitness_data,No fitness data available for this gene
SCAP,3,27.0,4.821162908952059,0.1320403917624086,0.1239383061451046,0.00012172604894448949,197.0,True,-1.0042523766596063,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
TTC4,4,41.0,5.644057439708954,0.0394232161603661,0.1102938102645074,2.6711795711524147e-06,22.0,True,-0.5494383542004999,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
NOLC1,5,43.666666666666664,5.900752670480025,0.0548783725348515,0.090254334035072,7.406679163768578e-07,118.0,True,-0.4880156726495305,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
EIF3M,6,44.333333333333336,4.906578017504886,0.0517129255798319,0.0990178883260304,8.622989123678006e-05,387.0,True,-1.1372098545291192,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
MBTPS2,7,49.333333333333336,3.736472823184752,0.1093337558576871,0.1528299044973525,0.0058850519611415245,1483.0,True,-0.4921760431913202,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
EMC2,8,50.666666666666664,4.827472643373198,0.0706075141827972,0.0905585784468081,0.00011883349789638878,,False,-0.2555393794767031,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
CINP,9,52.666666666666664,4.706148920885297,0.0352596151112674,0.1305710801692039,0.0002001388097564378,426.0,True,-0.9583334078310254,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
RPF2,10,54.333333333333336,4.718396030741098,0.0340385485078098,0.140434050830005,0.0001911539247377612,282.0,True,-1.2927857288616549,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
MBTPS1,11,56.666666666666664,4.001773786206908,0.0921560531867859,0.1116380391700249,0.0024921958204112593,63.0,True,-0.5774590008324582,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
MYLIP,12,57.0,4.721550897951667,0.0638388244017685,0.0856256275520672,0.0001895661255123102,,False,0.0545825932261326,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
TEX10,13,58.666666666666664,4.83775517354098,0.032735547587495,0.1434341286424708,0.00011520693757522166,1222.0,True,-0.7891037815972182,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
COX20,14,70.33333333333333,5.045100587669888,0.0939745224735208,0.0716873848185501,4.6391438403857633e-05,,False,-0.4836638366277417,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
PREB,15,71.0,4.656876120134991,0.0561592558773699,0.0759811499243488,0.00024257097863984652,934.0,True,-1.1940324828986386,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
NOL9,16,71.66666666666667,4.277532549797432,0.0327765786372095,0.1414030186994357,0.001040256065263124,620.0,True,-1.0837036604446213,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
NUDC,17,75.33333333333333,4.189663655636384,0.0326333782981532,0.1464343226463497,0.0013674467855988132,670.0,True,-0.7478075680911416,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
LAS1L,18,75.33333333333333,4.427155048432037,0.034939228734053,0.1024399798540644,0.0005939005455316197,640.0,True,-1.0494599869173846,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
EIF3J,19,78.0,4.239790990204322,0.0578741699143648,0.0787165738547264,0.0011660786330245862,316.0,True,-0.5819011721543028,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
EIF4A1,20,82.0,4.033672999113778,0.0431292146680157,0.0894256895582566,0.002264454724352272,62.0,True,-1.245994647314526,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
SPOUT1,21,86.33333333333333,4.643847687024676,0.0295823993570024,0.1366516977165323,0.0002516344882385913,788.0,True,-1.3577038860079365,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
BMS1,22,86.33333333333333,5.7333284970747,0.027467459789585,0.2142591439009747,1.7056500219315422e-06,1603.0,True,-0.982993300101007,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
SEC23B,23,93.66666666666669,5.2855712136084865,0.0672707223728851,0.0582325860191817,1.4850263125591575e-05,,False,0.1068872227084116,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
OSBP,24,103.0,4.232254362979073,0.061274969344737,0.0633965799488545,0.0011947967471213038,1720.0,True,-0.4417770843735645,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
EIF3I,25,105.0,4.918379557811091,0.0286228353041816,0.1054150970864716,8.25557495364878e-05,306.0,True,-1.6939836584446015,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
HERC1,26,107.33333333333331,3.834215283245546,0.0429141170618634,0.0735447005440524,0.00433676692960006,820.0,True,-0.0060401449892967,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SYNCRIP,27,107.66666666666669,4.564041231290639,0.0297137339407925,0.0983161218673631,0.0003362537923316936,,False,-0.3071776424761893,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
NIP7,28,111.33333333333331,5.154877751670083,0.0273294323669512,0.1155704630309669,2.7740198017670625e-05,1067.0,True,-1.973719745091552,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
RAC3,29,118.0,4.184931354820529,0.0540587685233364,0.05859103859151,0.0013782705031822687,989.0,True,-0.1736330211667747,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
CTCF,30,124.66666666666669,3.758381623258152,0.0378776648524825,0.0690767080887311,0.005485177064647846,1778.0,True,-1.6275089113246963,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
MRPS30,31,128.66666666666666,3.806405713019044,0.0500806553920973,0.0601931452761968,0.0047669350979227774,1118.0,True,-0.3846271434776145,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
DPH5,32,128.66666666666666,3.971218313037872,0.037597568908365,0.0635991516044369,0.0027752075723774527,,False,-0.1312994614255813,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
FGF13,33,138.0,4.220598881340024,0.0443783702490537,0.0513085053675196,0.0012300710460175788,,False,0.0629131821212778,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
EIF5B,34,140.0,3.73886818532611,0.0316222950956217,0.0786076759991771,0.005845641053521643,,False,-0.6116593385809687,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
TCF4,35,141.0,4.132817622379269,0.0479951182833271,0.0504992437205745,0.0016399293531755938,,False,0.0856941788085511,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
MSL1,36,143.33333333333334,4.238192821845047,0.0548724549779927,0.0473541938526954,0.0011689965299421737,1468.0,True,-0.3905154270149326,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
IFI27L1,37,143.66666666666666,3.959884160466567,0.0315042193954472,0.071867606207276,0.002871407585795941,,False,0.0348075414084518,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
DPH1,38,147.0,4.597809995137106,0.0355039669010122,0.0504321518805394,0.00030168209853798355,828.0,True,-0.2025047095521306,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
BTF3,39,148.66666666666666,3.274624609207049,0.0313928661282287,0.0983828318153269,0.02119437998284774,1774.0,True,-0.8251663928691375,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
DDX55,40,149.66666666666666,4.069545007767291,0.0296496672219888,0.0729858680270908,0.0019714071924703935,1346.0,True,-1.0059462261351322,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
XRCC5,41,153.0,4.504566142024716,0.0251721654106563,0.1125046030536855,0.00043031881175876953,86.0,True,-1.225612944918548,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
EIF3D,42,153.33333333333334,2.856664485418165,0.0397594316364299,0.0991526222061167,0.058764518603318903,526.0,True,-1.7117792974189054,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
BCCIP,43,158.33333333333334,3.4619993758651995,0.0280102871314433,0.1043507891240389,0.012601871423566512,,False,-0.5736868970020291,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
DNAJC2,44,159.0,3.550101963893698,0.0299143547540393,0.0777410159702059,0.009966098473091949,,False,-0.1083721606923292,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SURF6,45,161.33333333333334,4.618869316406462,0.0262686293201999,0.0821211788432319,0.0002802419466637495,1772.0,True,-0.5913307814320062,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
PRRC2C,46,161.33333333333334,3.5023699914671176,0.0330172150436722,0.0658685984960856,0.01123701356685821,,False,-0.2466194520940372,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SPAG7,47,166.33333333333334,4.473243632150553,0.0242272749068996,0.1117126455247149,0.0004900213858086098,109.0,True,-0.0148714888900316,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
KLHL17,48,169.33333333333334,3.215686039573324,0.0361812152950289,0.0643878642947418,0.025034383999164935,1183.0,True,0.0755122668094333,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
ZBTB24,49,173.33333333333334,4.897113415873178,0.0326642787698354,0.0454513887992644,8.901573509854199e-05,,False,-0.0874735932414659,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
HNRNPL,50,176.33333333333334,3.1258307475389535,0.0314185860192044,0.0827958568354488,0.031080311783002662,596.0,True,-1.2785475957781227,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
ZNF557,51,178.0,3.546888673216266,0.0430212673255284,0.0465550608082176,0.010061642343342694,,False,0.039448589682613,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
NOL12,52,178.66666666666666,3.698871462964552,0.0269998113145933,0.083888485457911,0.006440809353676452,927.0,True,-0.7080475660480068,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
TMEM115,53,181.66666666666663,3.7656845566159514,0.0358270824251581,0.0472078360396288,0.0053732163768518346,,False,-0.0428738358188976,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
CARF,54,189.0,3.9842467461481874,0.0232070863720907,0.1318019641937405,0.0026461970699703462,1540.0,True,-0.0441429238556205,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
DDX3X,55,192.33333333333337,3.2921623576962045,0.0331402938506437,0.058000517250728,0.020412711347185617,739.0,True,-0.8703806905143341,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
GLIS1,56,198.33333333333337,4.56795560357042,0.0221677413567401,0.1141299922092597,0.00033401286480131033,,False,0.012068364067534,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
STK24,57,199.66666666666663,4.8367035511374565,0.0209457008978402,0.1529037567498853,0.00011520693757522166,,False,0.0169263284510441,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
HBE1,58,200.33333333333337,2.6850841135290127,0.0342715227688341,0.0946631502570461,0.08312984574619316,,False,0.1197924407591331,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
FERMT2,59,202.66666666666663,3.5284268576877476,0.0291084277453657,0.0579040800679207,0.010575877921785031,,False,-0.6143621461195153,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
RAB20,60,205.0,3.4637520798710715,0.0279244556210565,0.0643996788242362,0.012572547804900868,,False,0.1224521878959121,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
GPKOW,61,210.0,3.0298409914840314,0.0354938161672465,0.0575506867447199,0.03889000239384335,359.0,True,-1.0155370414940512,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
NVL,62,213.0,4.076906364591953,0.0225231955143526,0.1015967580600646,0.0019267712076246296,2011.0,True,-1.2943530971343242,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
UBE2D3,63,213.33333333333337,4.13941947413472,0.0358248541889414,0.0390041573889164,0.0016003224295514074,1715.0,True,-0.7190125432995829,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
MRPL50,64,213.66666666666663,3.045576762587638,0.0479445128286002,0.0467805091011778,0.03772721311354817,1389.0,True,-0.3819227779613834,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
ZNF787,65,213.66666666666663,3.2817045571278354,0.0335421531810739,0.047965891486186,0.02093007302057957,1314.0,True,0.0355253042293937,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
AMFR,66,213.66666666666663,3.5614361164650035,0.0537152688736821,0.0388753488970027,0.009589628250123182,,False,-0.0692487298861587,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
PAQR4,67,218.0,3.184546331735665,0.0359874721911764,0.0466329682412364,0.027158023729859638,,False,-0.1789536478965708,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
STRAP,68,219.33333333333337,2.9696063971488975,0.0358286697030047,0.0565285005956404,0.044563937155856256,1207.0,True,-0.7487534181077747,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
ATF4,69,219.33333333333337,3.3483552844499043,0.028856331170537,0.0574767973803904,0.017498919429325077,221.0,True,-0.4423774325446288,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
CCDC86,70,221.0,5.125257053970848,0.0203072144329543,0.1287803646575974,3.15576692710568e-05,122.0,True,-0.6152514137351104,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
SPIDR,71,222.33333333333337,3.615886787580759,0.0268945877179335,0.0601037740842425,0.008231908357862538,,False,-0.0498780780630956,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
PDK2,72,224.66666666666663,3.276563292043944,0.039721109579884,0.0415556017314836,0.021124583250754697,,False,-0.2487973564246764,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SURF1,73,227.66666666666663,3.658769612257761,0.0393066192873842,0.0379317744841334,0.007254596663528117,,False,-0.0597019100177414,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SIPA1,74,238.33333333333337,3.1669024447432204,0.0303612263026905,0.0501222212593108,0.028123188365731227,,False,-0.0832446490070817,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
DOK1,75,241.0,3.797853897294273,0.0455800282578959,0.0349026436257837,0.004890338046546136,,False,-0.1267128971941772,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
URB2,76,242.33333333333337,3.986583684822683,0.0229696193892975,0.0706224932908757,0.002629409534761926,917.0,True,-0.9580983761842432,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
FBXW9,77,242.33333333333337,3.0273232745957306,0.0341413262715696,0.0467358498907584,0.03906730857097329,,False,-0.1700621417521693,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SRP9,78,243.66666666666663,2.9761612417244083,0.0380470864874968,0.0447959186740932,0.043871832822365134,134.0,True,-1.11180556690028,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
OPA3,79,244.66666666666663,2.8430611679249407,0.0278926742358741,0.0769286011625518,0.05988518078258387,,False,-0.0414836902265223,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SAMD4B,80,248.66666666666663,2.866605825070488,0.0288674026689674,0.0642789549795234,0.057382526532805886,1008.0,True,-0.2922001602092106,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
PKP3,81,251.33333333333337,3.4145721444085204,0.0383831917794726,0.0365655623285568,0.014529022848012524,,False,0.0875574215378197,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
TRIP10,82,252.0,2.9154478433674536,0.0319076963236481,0.0519935806682063,0.051132981990303736,,False,-0.0334978495055699,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
LIN37,83,254.0,3.690610401697768,0.0254963911295964,0.052024328189683,0.006610501535190762,,False,-0.165232638075704,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
RRS1,84,255.33333333333337,4.914757302865622,0.0186503541981676,0.1563583479472022,8.339598912235626e-05,1414.0,True,-1.2183677890421067,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
MRPS23,85,258.3333333333333,2.8371603977718385,0.0331949411189847,0.0497687809529088,0.060499108912081885,1654.0,True,-0.5978431542417042,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
KIF18B,86,264.3333333333333,3.059892253001351,0.0281016080635204,0.0524267183267443,0.03650976908772927,992.0,True,-0.4762694148093679,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
TAF1,87,264.6666666666667,3.401706358063203,0.02101863670268,0.1078637061961987,0.015078188265694077,1130.0,True,-0.775559093170747,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
TERF2IP,88,267.0,3.4799353801919564,0.0273081420385137,0.0445247539994645,0.012038972380742015,,False,-0.1203593466901265,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
POU2F1,89,274.0,2.883665477394308,0.0272536467838001,0.0622850689426571,0.05490385062102701,,False,-0.3224028205386444,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SUSD3,90,274.6666666666667,3.6415931130002153,0.040042351011858,0.0330158697355528,0.007569289433134091,,False,-0.0023976773932778,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
POLL,91,279.3333333333333,2.526113860196424,0.0334246580043396,0.058012107333023,0.11164305536247708,726.0,True,-0.0326179669638154,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
OLA1,92,280.6666666666667,3.74178935866923,0.0325800423240211,0.0345750662412806,0.005810738371987865,,False,-0.2960262455243758,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
PODXL2,93,282.0,3.2262022636085557,0.0340477497944358,0.0365058043202656,0.02443349691794676,,False,0.0354155355277022,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
DPM1,94,283.3333333333333,2.9273078071405205,0.0361581991827125,0.0391257845859371,0.049795941187305195,,False,-0.1673776494476434,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
AAMP,95,283.6666666666667,3.4037511794033875,0.0227187859968696,0.0636143342063895,0.014995762154840353,1133.0,True,-1.177620150590395,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
MRPL35,96,284.3333333333333,2.7618525489862056,0.0438897912564673,0.0403619465964089,0.07086263660123282,1263.0,True,-0.567859475350006,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
MRPL39,97,285.0,2.65728192853903,0.04239238753947,0.0428845484031138,0.08754515951312618,203.0,True,-0.4908883944172265,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
TRAPPC12,98,288.0,3.4961771039797034,0.0304585360355271,0.0357858931053421,0.011451504888905124,,False,-0.0144471390608765,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
NOC3L,99,288.3333333333333,4.565677088362786,0.0182795126087677,0.1176121269335371,0.00033563986412304996,2158.0,True,-0.6942392406638916,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
MTIF3,100,288.6666666666667,3.154691940168979,0.0268871376460218,0.0471890819136289,0.0288715423602037,,False,-0.1207372728830082,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
EIF4G2,101,289.0,2.5025692030508773,0.0434809234634999,0.0469670001836319,0.11576821919582196,1221.0,True,-0.6545948958180755,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
SMAD9,102,291.6666666666667,3.2235732075997476,0.0445778528575074,0.0334393315753667,0.02461631373556047,,False,-0.0243408986971964,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
PRMT7,103,292.6666666666667,2.5191614676397984,0.0472107441873971,0.0447503196215195,0.11280506241806196,,False,-0.178944006374131,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
HAT1,104,295.3333333333333,2.845456530066299,0.0236452611098486,0.0812588704116668,0.05957848069085515,,False,-0.0624604827414035,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SPATA5,105,296.6666666666667,3.0374360421761435,0.0271069727342684,0.0469604740387355,0.03837370233147315,511.0,True,,,False,T3_no_fitness_data,No fitness data available for this gene
CC2D1B,106,301.3333333333333,3.5786126157225486,0.0308261178143561,0.0340423920835771,0.009128573678628219,,False,-0.2078078679561761,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
CTSS,107,301.3333333333333,2.792758562956415,0.0282183911549108,0.0504047318949923,0.06603263319080853,,False,-0.0430835060574266,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
CLASRP,108,301.3333333333333,3.075411295636703,0.0330314611191615,0.0366057953002112,0.03532196621284814,278.0,True,-0.2777340186688307,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
EIF4A2,109,301.6666666666667,2.9899377636170126,0.0234152359495921,0.0698773122560729,0.04256596316807802,,False,-0.0817883800788052,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
MRPS2,110,301.6666666666667,3.1575803011574295,0.0268484149965374,0.0444460472821502,0.02865555747635536,315.0,True,-0.3782063189361873,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SEC23IP,111,302.0,2.9503266530843058,0.0307969695970487,0.0403690422052113,0.046960819292940104,,False,-0.1164753481590689,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
LMNA,112,303.3333333333333,3.180960400500182,0.0360805694079566,0.0339273645098131,0.02740523787093723,,False,-0.3830091159445576,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
MRPL10,113,304.3333333333333,2.519570431907835,0.0410279587885512,0.0433067249693083,0.11277015819323208,1737.0,True,-0.7515590755153386,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
RPGRIP1L,114,306.0,3.1606511337889436,0.0290812083433403,0.0385338902678358,0.02849195555969418,,False,0.0812977786655203,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
PLXNB1,115,307.0,2.6357747074971476,0.0302673412865317,0.0484917604732144,0.09113383148934599,,False,-0.0644702439032153,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
OSR2,116,308.0,2.995546416435803,0.0326180376000319,0.0375048270456493,0.0422588999991865,,False,-0.0253790572184966,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
ARF1,117,308.3333333333333,2.9344354700977333,0.0299051184463918,0.0406947363925964,0.04885606884284558,,False,-0.3619667544969566,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SLC37A4,118,310.0,2.6259595650642646,0.0264011635850376,0.0668633637964564,0.09255455772500185,,False,,,False,T3_no_fitness_data,No fitness data available for this gene
MRPS24,119,310.3333333333333,2.9729365347600543,0.0334777943216787,0.036735218333,0.04415852212889437,1625.0,True,-0.3658816205793629,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
ISCA1,120,317.3333333333333,3.015410395169019,0.0246486173839191,0.05220820838024,0.040239001274978974,,False,-0.3548190778908924,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
MPHOSPH10,121,319.3333333333333,5.981511384306173,0.0162993269576957,0.1592550000455682,4.880157654986699e-07,1580.0,True,-1.136091904122409,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
CDKN1C,122,319.6666666666667,2.916791583105289,0.0285039085892893,0.04117153037737,0.0510437714763019,,False,0.0878298904378619,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
VTI1A,123,319.6666666666667,2.848377703409419,0.0286758373724081,0.0425618151082124,0.0592463893937459,,False,-0.009560120424319,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
NDUFAB1,124,319.6666666666667,2.8227809872917673,0.0429074635183177,0.0349535643273475,0.06246888674083915,1188.0,True,-0.7454805228714271,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
NKX6-3,125,320.0,3.480764745417843,0.0314184491679074,0.0326951124282243,0.012027403246803597,,False,0.0066754567626817,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
IPO9,126,320.3333333333333,2.6758532057647537,0.039642820247617,0.037452258866781,0.0846815864921913,364.0,True,-0.6036216561291708,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
MRPL32,127,320.6666666666667,2.427027660397795,0.0382938917075064,0.0455137984538206,0.13082565297239315,1914.0,True,-0.5291558127215517,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
SRPRB,128,322.0,2.154423764017839,0.0442869186082415,0.0707391717490034,0.1994246422059326,331.0,True,-0.6608503887363735,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
ZSCAN12,129,328.0,3.1982174229814664,0.0324804445254992,0.0334648742520887,0.02620801374006981,,False,,,False,T3_no_fitness_data,No fitness data available for this gene
TMA16,130,328.3333333333333,3.030427133203445,0.0219422950303424,0.0655800323763502,0.03888677303452042,273.0,True,-0.7448631317362164,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
ZNF322,131,330.0,2.7592234929773976,0.0289448373908621,0.0420892009656542,0.07128700390373688,,False,-0.2256315967551405,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
TMEM203,132,332.0,3.3911351720027385,0.031544588871381,0.032224056032634,0.015486149474979331,,False,0.152457514667154,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
