pathway_id	n_unique_reactions	n_reaction_slots
PWY-5367	6	6
12DICHLORETHDEG-PWY	4	4
PWY-6876	5	5
PWY-7674	7	7
PWY-5183	15	15
PWY-5182	10	10
PWY-5181	12	12
PWY-5180	7	7
PWY-5184	20	20
PWY-5189	4	4
PWY-5188	6	6
PWY-5741	11	11
PWY-5743	14	14
PWY-5742	4	4
PWY-5744	14	14
PWY-5747	6	6
PWY-5695	4	4
PWY-5690	10	10
PWY3DJ-11470	10	10
SULFATE-CYS-PWY	9	9
PWY-7016	5	5
PWY-6981	15	15
PWY-7014	6	6
PWY0-1261	12	12
ORNARGDEG-PWY	11	11
SUCSYN-PWY	9	9
PWY-7901	13	13
PWY-7900	8	8
PWY-7902	5	5
PWY-6185	7	7
PWY-6182	7	7
THREOCAT-PWY	19	19
DHGLUCONATE-PYR-CAT-PWY	5	5
PWY-5692	4	4
PWY-7873	4	4
PWY-7874	4	4
CHLOROPHYLL-SYN	10	10
TRPSYN-PWY	7	7
TRNA-CHARGING-PWY	21	21
PWY-6339	12	12
PWY-6338	10	10
PWY66-341	27	27
PWY-7274	6	6
FOLSYN-PWY	12	12
PWY-7279	4	4
PWY-6883	10	10
GLYCOLYSIS	12	12
CYCLOHEXANOL-OXIDATION-PWY	5	5
PWY-7110	23	23
PWY-7111	5	5
PWY-7117	14	14
PWY-7115	11	11
PWY-6421	5	5
PWY-7118	4	4
PWY-7119	16	16
PWY-2981	12	12
P562-PWY	7	7
PWY-6519	11	11
PWY-6518	7	7
PWY-8067	4	4
UDPNACETYLGALSYN-PWY	6	6
PWY-8113	5	5
PWY-8112	5	5
PWY-6609	4	4
PWY0-1298	6	6
PWY-5423	8	8
PWY-5424	14	14
PWY-5425	6	6
PWY-5427	6	6
PWY-7706	13	13
PWY-1187	15	15
PWY-7483	13	13
PWY-7485	11	11
OANTIGEN-PWY	10	10
THRESYN-PWY	6	6
PWY-5519	6	6
PWY0-1586	12	12
PWY-6650	5	5
KDO-NAGLIPASYN-PWY	17	17
PWY-2504	34	34
PWY-5737	6	6
PWY-8142	7	7
PWY-5733	5	5
PWY-6655	10	10
PWY-3581	11	11
PWY-6557	4	4
PWY-6993	11	11
PWY-6992	5	5
ANAGLYCOLYSIS-PWY	11	11
PWY-5644	9	9
PWY-5645	10	10
PWY-5647	7	7
PWY-6947	44	44
PWY-882	5	5
PROPFERM-PWY	10	10
P122-PWY	18	18
FERMENTATION-PWY	17	17
PWY-1422	7	7
PWY-5005	8	8
NAGLIPASYN-PWY	6	6
PWY-7805	8	8
PWY-7807	7	7
PWY-7800	21	21
PWY-7809	17	17
PWY-8134	8	8
URDEGR-PWY	4	4
PWY-7245	8	8
PWY-1882	15	15
P161-PWY	5	5
LIPASYN-PWY	5	5
PWY-7106	4	4
PWY-7102	6	6
CRNFORCAT-PWY	4	4
PWY-6453	7	7
PWY-6292	5	5
PWY-6293	6	6
TOLUENE-DEG-3-OH-PWY	6	6
PWY-5507	42	42
PWY-7072	14	14
PWY-8052	7	7
PWY-8051	12	12
PWY-8055	6	6
PWY-7731	6	6
M-CRESOL-DEGRADATION-PWY	5	5
PENTOSE-P-PWY	8	8
PWY-6728	20	20
PWY18C3-1	22	22
PWY-5529	29	29
PWY-8125	8	8
PWY-6672	9	9
PWY-5345	12	12
PWY-5347	9	9
PWY-5430	10	10
PWY-321	16	16
LIPA-CORESYN-PWY	11	11
PWY-762	21	21
PWY-I9	6	6
PWY-5705	4	4
PWY-7654	11	11
PWY-7656	22	22
PWY-5505	7	7
PWY-6703	4	4
PWY-3001	13	13
PWY-6855	7	7
PWY-6857	7	7
PWY-6859	4	4
NONMEVIPP-PWY	9	9
SALVADEHYPOX-PWY	5	5
PWY-5723	10	10
PWY0-1241	5	5
PWY4FS-7	6	6
METSYN-PWY	8	8
PWY0-42	5	5
TRIGLSYN-PWY	8	8
PWY-5310	11	11
PWY-5659	4	4
PWY-5651	5	5
PWY-5656	4	4
PWY-5655	12	12
PWY-5654	4	4
P3-PWY	11	11
SO4ASSIM-PWY	4	4
PWY-3481	4	4
GLYCOL-GLYOXDEG-PWY	4	4
PWY-6358	6	6
PWY-7817	16	16
PWY-7816	17	17
PWY-7815	15	15
PWY-7812	9	9
PWY-7778	8	8
PWY-7819	11	11
PWY-7818	19	19
PWY-6075	5	5
PWY-6071	12	12
P101-PWY	5	5
PWY0-301	5	5
PANTOSYN-PWY	9	9
PWY-7255	8	8
PWY-7254	10	10
PWY-7251	10	10
PWY66-367	5	5
GLYCOLYSIS-TCA-GLYOX-BYPASS	26	26
PWY-5415	5	5
PWY-5417	6	6
PWY-5416	35	35
P621-PWY	7	7
