cohort	pathway_id	size	hits	n_tested
FengQ_2015	PWY-5941	6	0	3
FengQ_2015	PWY-7312	4	0	2
FengQ_2015	NAGLIPASYN-PWY	6	1	7
FengQ_2015	FUCCAT-PWY	4	0	4
FengQ_2015	GLUCOSE1PMETAB-PWY	5	0	7
FengQ_2015	P124-PWY	15	0	2
FengQ_2015	PWY-5367	6	0	2
FengQ_2015	PWY0-1061	6	0	9
FengQ_2015	P125-PWY	5	1	3
FengQ_2015	P161-PWY	5	0	3
FengQ_2015	PWY0-1241	5	0	4
FengQ_2015	PWY-6572	8	0	1
FengQ_2015	PWY-7371	5	0	1
FengQ_2015	PWY-6891	7	0	3
FengQ_2015	PWY-6519	11	0	3
FengQ_2015	PWY-7315	4	0	3
FengQ_2015	PWY-6167	10	0	2
FengQ_2015	PWY-5101	8	0	3
FengQ_2015	METHANOGENESIS-PWY	6	0	2
FengQ_2015	PWY-7316	4	0	2
FengQ_2015	PWY-6349	6	0	2
FengQ_2015	PWY-5198	6	0	2
FengQ_2015	PWY-6478	4	0	1
FengQ_2015	GLYCOLYSIS	12	1	6
FengQ_2015	GLUCONEO-PWY	13	1	3
FengQ_2015	PWY-5484	11	1	4
FengQ_2015	TEICHOICACID-PWY	12	0	1
FengQ_2015	PWY-6588	5	1	4
FengQ_2015	HEME-BIOSYNTHESIS-II	4	0	2
FengQ_2015	PWY-6471	16	0	1
FengQ_2015	PWY-6270	10	0	1
FengQ_2015	PWY-7560	9	0	1
FengQ_2015	PWY0-1298	6	0	2
FengQ_2015	FAO-PWY	7	0	2
FengQ_2015	PWY-5136	5	0	2
FengQ_2015	SO4ASSIM-PWY	4	0	1
FengQ_2015	POLYAMSYN-PWY	8	0	2
FengQ_2015	GALACTARDEG-PWY	4	0	3
FengQ_2015	GLUCARGALACTSUPER-PWY	4	0	3
FengQ_2015	TCA	11	0	2
FengQ_2015	HEMESYN2-PWY	4	0	3
FengQ_2015	PWY-6876	5	0	1
FengQ_2015	TCA-GLYOX-BYPASS	13	0	2
FengQ_2015	PWY-5138	5	0	3
FengQ_2015	GLUCARDEG-PWY	4	0	2
FengQ_2015	PWY-4702	14	0	1
FengQ_2015	PWY-6803	4	0	2
FengQ_2015	PWY-7446	5	0	1
FengQ_2015	PWY-841	21	0	1
FengQ_2015	PWY-5913	9	0	2
FengQ_2015	PWY-7117	14	0	1
FengQ_2015	PWY-6731	4	0	1
FengQ_2015	P441-PWY	21	0	1
FengQ_2015	FERMENTATION-PWY	17	0	1
FengQ_2015	PWY0-1261	12	0	2
FengQ_2015	HEXITOLDEGSUPER-PWY	19	0	1
FengQ_2015	P4-PWY	18	0	1
FengQ_2015	ARG+POLYAMINE-SYN	17	0	1
FengQ_2015	SULFATE-CYS-PWY	9	0	1
FengQ_2015	PWY0-1479	10	0	1
FengQ_2015	PWY4LZ-257	9	0	1
FengQ_2015	PWY-6629	14	0	1
FengQ_2015	FOLSYN-PWY	12	0	1
FengQ_2015	GLYCOLYSIS-E-D	16	0	1
FengQ_2015	ORNDEG-PWY	9	0	1
FengQ_2015	PWY-6630	10	0	1
FengQ_2015	PWY-6628	10	0	1
FengQ_2015	FUC-RHAMCAT-PWY	12	0	1
FengQ_2015	PWY-6612	10	0	1
FengQ_2015	GLYCOLYSIS-TCA-GLYOX-BYPASS	26	0	1
FengQ_2015	BIOTIN-BIOSYNTHESIS-PWY	16	0	2
FengQ_2015	PWY-5971	31	0	1
FengQ_2015	PWY-6895	11	0	1
FengQ_2015	PWY-6969	10	0	1
FengQ_2015	PWY-6284	20	0	1
FengQ_2015	PWY-5189	4	0	2
FengQ_2015	PWY-5690	10	0	1
FengQ_2015	PWY-5723	10	0	2
FengQ_2015	PWY-6285	53	0	1
FengQ_2015	KETOGLUCONMET-PWY	8	0	1
FengQ_2015	P105-PWY	10	0	1
FengQ_2015	PWY-5918	10	0	1
FengQ_2015	POLYISOPRENSYN-PWY	6	0	2
FengQ_2015	PWY-6531	5	0	1
FengQ_2015	PWY-5897	10	0	1
FengQ_2015	PWY-5898	10	0	1
FengQ_2015	PWY-5899	10	0	1
FengQ_2015	PWY-5838	10	0	1
FengQ_2015	PWY-7254	10	0	1
FengQ_2015	PWY-5840	10	0	1
FengQ_2015	PWY0-1277	9	0	1
FengQ_2015	PWY-5861	9	0	1
FengQ_2015	ARGDEG-PWY	11	0	1
FengQ_2015	ORNARGDEG-PWY	11	0	1
FengQ_2015	PWY-5747	6	0	1
FengQ_2015	PWY-5675	4	0	1
FengQ_2015	PWY0-881	17	0	1
FengQ_2015	HCAMHPDEG-PWY	5	0	1
FengQ_2015	PWY-6690	5	0	1
FengQ_2015	METHGLYUT-PWY	8	0	1
FengQ_2015	PWY0-1415	6	0	1
FengQ_2015	PWY0-42	5	0	1
FengQ_2015	PWY-5845	10	0	1
FengQ_2015	PWY-5850	10	0	1
FengQ_2015	PWY-5896	10	0	1
FengQ_2015	PWY-5837	7	0	1
FengQ_2015	PWY-5863	16	0	1
FengQ_2015	PWY-5860	9	0	1
FengQ_2015	PWY-5862	9	0	1
FengQ_2015	PWY66-389	4	0	1
FengQ_2015	AST-PWY	5	0	2
FengQ_2015	PWY0-1338	6	0	1
FengQ_2015	PWY-7269	5	0	1
FengQ_2015	PWY-7204	9	0	1
FengQ_2015	PWY-5705	4	0	1
FengQ_2015	ECASYN-PWY	10	0	1
FengQ_2015	GLYCOL-GLYOXDEG-PWY	4	0	1
FengQ_2015	PWY-6749	10	0	1
FengQ_2015	PWY-6901	17	0	1
FengQ_2015	ANAEROFRUCAT-PWY	14	0	2
FengQ_2015	PWY0-781	25	0	1
FengQ_2015	PRPP-PWY	49	0	1
FengQ_2015	ENTBACSYN-PWY	11	0	1
FengQ_2015	PWY-561	15	0	1
FengQ_2015	GALACT-GLUCUROCAT-PWY	11	0	1
FengQ_2015	PWY-7209	5	0	1
FengQ_2015	PWY-5920	8	0	1
FengQ_2015	PWY-5656	4	0	1
FengQ_2015	PWY-6545	9	1	3
FengQ_2015	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	8	0	1
FengQ_2015	PPGPPMET-PWY	6	0	1
FengQ_2015	LPSSYN-PWY	26	0	1
FengQ_2015	PWY-7094	6	0	1
FengQ_2015	PWY-6859	4	0	1
FengQ_2015	UBISYN-PWY	13	0	1
FengQ_2015	PWY-5855	8	0	1
FengQ_2015	PWY-5856	8	0	1
FengQ_2015	PWY-5857	8	0	1
FengQ_2015	PWY-6708	8	0	1
FengQ_2015	PWY-6823	6	0	1
FengQ_2015	REDCITCYC	10	0	1
FengQ_2015	PWY-6837	5	0	1
FengQ_2015	P221-PWY	5	0	1
FengQ_2015	KDO-NAGLIPASYN-PWY	17	0	1
FengQ_2015	PWY-6071	12	0	1
FengQ_2015	PWY0-321	10	0	1
FengQ_2015	PWY0-41	8	0	1
FengQ_2015	PWY0-1533	4	0	1
FengQ_2015	PYRIDNUCSAL-PWY	7	0	1
FengQ_2015	PWY-7198	7	0	3
FengQ_2015	PWY-7328	6	0	1
FengQ_2015	PWY-7211	18	0	1
FengQ_2015	PWY-7210	8	0	1
FengQ_2015	PWY-5692	4	0	1
FengQ_2015	URDEGR-PWY	4	0	1
FengQ_2015	P122-PWY	18	0	1
FengQ_2015	PWY-6143	6	1	1
ThomasAM_2018a	PWY0-1586	12	0	36
ThomasAM_2018a	ILEUSYN-PWY	7	0	58
ThomasAM_2018a	PWY-7111	5	0	105
ThomasAM_2018a	VALSYN-PWY	4	0	110
ThomasAM_2018a	BRANCHED-CHAIN-AA-SYN-PWY	19	0	58
ThomasAM_2018a	PWY-5103	7	0	58
ThomasAM_2018a	PWY-1042	10	0	52
ThomasAM_2018a	NONOXIPENT-PWY	5	0	35
ThomasAM_2018a	CALVIN-PWY	13	0	27
ThomasAM_2018a	ARGSYNBSUB-PWY	9	0	55
ThomasAM_2018a	PWY-7229	8	0	24
ThomasAM_2018a	PWY-5695	4	0	64
ThomasAM_2018a	ARGSYN-PWY	9	0	44
ThomasAM_2018a	PWY-7400	14	0	43
ThomasAM_2018a	PWY-7221	4	0	98
ThomasAM_2018a	PWY-6126	8	0	24
ThomasAM_2018a	PWY-5686	6	0	93
ThomasAM_2018a	PWY-6936	5	0	39
ThomasAM_2018a	PWY-6385	14	0	71
ThomasAM_2018a	COA-PWY-1	5	0	105
ThomasAM_2018a	PWY-7220	4	0	53
ThomasAM_2018a	PWY-7222	4	0	53
ThomasAM_2018a	PWY-3001	13	0	20
ThomasAM_2018a	PWY-6387	8	0	92
ThomasAM_2018a	PWY-7664	14	0	6
ThomasAM_2018a	TRNA-CHARGING-PWY	21	0	46
ThomasAM_2018a	PWY-5971	31	0	1
ThomasAM_2018a	PWY-5097	7	0	77
ThomasAM_2018a	PWY-2942	8	0	75
ThomasAM_2018a	PEPTIDOGLYCANSYN-PWY	10	0	86
ThomasAM_2018a	PWY-6282	9	0	6
ThomasAM_2018a	PWY-6121	5	0	98
ThomasAM_2018a	ANAGLYCOLYSIS-PWY	11	0	13
ThomasAM_2018a	PWY0-862	6	0	7
ThomasAM_2018a	PWY-6122	5	0	110
ThomasAM_2018a	PWY-6277	5	0	110
ThomasAM_2018a	PWY-5973	5	0	27
ThomasAM_2018a	PWY-6609	4	0	94
ThomasAM_2018a	PWY-5104	6	0	9
ThomasAM_2018a	GLYCOLYSIS	12	0	5
ThomasAM_2018a	COMPLETE-ARO-PWY	17	0	31
ThomasAM_2018a	PWY-6386	8	0	81
ThomasAM_2018a	ARO-PWY	7	0	37
ThomasAM_2018a	1CMET2-PWY	9	0	60
ThomasAM_2018a	PWY-3841	11	0	73
ThomasAM_2018a	PANTO-PWY	4	0	65
ThomasAM_2018a	PWY-5154	9	0	6
ThomasAM_2018a	ANAEROFRUCAT-PWY	14	0	2
ThomasAM_2018a	PWY-5484	11	0	5
ThomasAM_2018a	METSYN-PWY	8	0	5
ThomasAM_2018a	PWY-5347	9	0	3
ThomasAM_2018a	THRESYN-PWY	6	0	31
ThomasAM_2018a	COA-PWY	4	0	87
ThomasAM_2018a	MET-SAM-PWY	9	0	4
ThomasAM_2018a	PWY-5667	4	0	62
ThomasAM_2018a	PWY0-1319	4	0	62
ThomasAM_2018a	FASYN-INITIAL-PWY	6	0	5
ThomasAM_2018a	PWY-724	10	0	27
ThomasAM_2018a	PWY-5188	6	0	24
ThomasAM_2018a	GLUTORN-PWY	5	0	47
ThomasAM_2018a	GLYCOCAT-PWY	8	0	5
ThomasAM_2018a	GLUCONEO-PWY	13	0	6
ThomasAM_2018a	PWY-7013	5	0	4
ThomasAM_2018a	PWY-6163	5	0	61
ThomasAM_2018a	TCA	11	0	2
ThomasAM_2018a	GLYCOGENSYNTH-PWY	4	0	34
ThomasAM_2018a	PANTOSYN-PWY	9	0	53
ThomasAM_2018a	PWY0-1261	12	0	2
ThomasAM_2018a	DAPLYSINESYN-PWY	9	0	6
ThomasAM_2018a	SER-GLYSYN-PWY	4	0	60
ThomasAM_2018a	PWY-6700	4	0	87
ThomasAM_2018a	PWY-6519	11	0	3
ThomasAM_2018a	PWY4LZ-257	9	0	2
ThomasAM_2018a	PWY-6305	4	0	7
ThomasAM_2018a	PWY-6285	53	0	1
ThomasAM_2018a	HEXITOLDEGSUPER-PWY	19	0	1
ThomasAM_2018a	PWY-5723	10	0	2
ThomasAM_2018a	BIOTIN-BIOSYNTHESIS-PWY	16	0	2
ThomasAM_2018a	P461-PWY	20	0	3
ThomasAM_2018a	PHOSLIPSYN-PWY	10	0	4
ThomasAM_2018a	P441-PWY	21	0	1
ThomasAM_2018a	FAO-PWY	7	0	3
ThomasAM_2018a	SALVADEHYPOX-PWY	5	0	8
ThomasAM_2018a	P161-PWY	5	0	3
ThomasAM_2018a	DTDPRHAMSYN-PWY	4	0	85
ThomasAM_2018a	GLYCOLYSIS-TCA-GLYOX-BYPASS	26	0	1
ThomasAM_2018a	PWY-6588	5	0	3
ThomasAM_2018a	PWY4FS-7	6	0	6
ThomasAM_2018a	PWY4FS-8	6	0	6
ThomasAM_2018a	TRPSYN-PWY	7	0	34
ThomasAM_2018a	FERMENTATION-PWY	17	0	2
ThomasAM_2018a	PWY-6123	6	0	58
ThomasAM_2018a	GALACTARDEG-PWY	4	0	3
ThomasAM_2018a	GLUCARGALACTSUPER-PWY	4	0	3
