cohort	pathway_id	size	hits	n_tested
ThomasAM_2018a	PWY-7371	5	0	2
ThomasAM_2018a	PWY-7312	4	0	2
ThomasAM_2018a	PWY-7328	6	0	1
ThomasAM_2018a	METH-ACETATE-PWY	6	0	4
ThomasAM_2018a	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	8	0	2
ThomasAM_2018a	PWY-7269	5	0	2
ThomasAM_2018a	LACTOSECAT-PWY	4	0	1
ThomasAM_2018a	PWY66-389	4	0	2
ThomasAM_2018a	P221-PWY	5	0	1
ThomasAM_2018a	PWY-7039	5	0	1
ThomasAM_2018a	PWY-7456	7	0	1
ThomasAM_2018a	PWY-7211	18	0	1
ThomasAM_2018a	PWY0-881	17	0	1
ThomasAM_2018a	PWY-7210	8	0	1
ThomasAM_2018a	PWY-7209	5	0	1
ThomasAM_2018a	REDCITCYC	10	0	1
ThomasAM_2018a	PWY-6071	12	0	1
ThomasAM_2018a	PWY0-321	10	0	1
ThomasAM_2018a	PWY-5692	4	0	2
ThomasAM_2018a	URDEGR-PWY	4	0	2
ThomasAM_2018a	P125-PWY	5	0	1
ThomasAM_2018a	PWY-6572	8	0	1
ThomasAM_2018a	PWY-6478	4	0	1
ThomasAM_2018a	PWY-5005	8	0	1
ThomasAM_2018b	PWY-1042	10	0	70
ThomasAM_2018b	ILEUSYN-PWY	7	0	84
ThomasAM_2018b	PWY-7111	5	0	133
ThomasAM_2018b	VALSYN-PWY	4	0	127
ThomasAM_2018b	PWY-5686	6	0	110
ThomasAM_2018b	PWY-6163	5	0	76
ThomasAM_2018b	PWY-6609	4	0	111
ThomasAM_2018b	PWY-6386	8	0	97
ThomasAM_2018b	PWY-7221	4	0	119
ThomasAM_2018b	PWY-6387	8	0	113
ThomasAM_2018b	ARO-PWY	7	0	51
ThomasAM_2018b	TRNA-CHARGING-PWY	21	0	57
ThomasAM_2018b	PEPTIDOGLYCANSYN-PWY	10	0	110
ThomasAM_2018b	DTDPRHAMSYN-PWY	4	0	105
ThomasAM_2018b	PWY-6700	4	0	102
ThomasAM_2018b	BRANCHED-CHAIN-AA-SYN-PWY	19	0	83
ThomasAM_2018b	CALVIN-PWY	13	0	29
ThomasAM_2018b	PWY-6385	14	0	88
ThomasAM_2018b	COA-PWY-1	5	0	116
ThomasAM_2018b	COMPLETE-ARO-PWY	17	0	43
ThomasAM_2018b	PWY-6151	4	0	91
ThomasAM_2018b	PWY-5103	7	0	83
ThomasAM_2018b	PWY-5667	4	0	75
ThomasAM_2018b	PWY0-1319	4	0	75
ThomasAM_2018b	PWY-5097	7	0	88
ThomasAM_2018b	PWY-6121	5	0	117
ThomasAM_2018b	PWY-3841	11	0	84
ThomasAM_2018b	ARGSYN-PWY	9	0	59
ThomasAM_2018b	PWY-7400	14	0	58
ThomasAM_2018b	RIBOSYN2-PWY	9	0	63
ThomasAM_2018b	ARGSYNBSUB-PWY	9	0	70
ThomasAM_2018b	PWY-6122	5	0	135
ThomasAM_2018b	PWY-6277	5	0	135
ThomasAM_2018b	1CMET2-PWY	9	0	71
ThomasAM_2018b	PWY-2942	8	0	88
ThomasAM_2018b	PANTOSYN-PWY	9	0	59
ThomasAM_2018b	PANTO-PWY	4	0	73
ThomasAM_2018b	COA-PWY	4	0	99
ThomasAM_2018b	PWY-5695	4	0	73
ThomasAM_2018b	PWY-7229	8	0	31
ThomasAM_2018b	PWY0-1586	12	0	48
ThomasAM_2018b	PWY-6168	9	0	33
ThomasAM_2018b	PWY-724	10	0	33
ThomasAM_2018b	ANAGLYCOLYSIS-PWY	11	0	26
ThomasAM_2018b	PWY-6123	6	0	68
ThomasAM_2018b	PWY-6126	8	0	31
ThomasAM_2018b	GLUTORN-PWY	5	0	60
ThomasAM_2018b	HISTSYN-PWY	11	0	63
ThomasAM_2018b	PWY-3001	13	0	32
ThomasAM_2018b	PWY-6124	5	0	69
ThomasAM_2018b	PWY-7220	4	0	61
ThomasAM_2018b	PWY-7222	4	0	61
ThomasAM_2018b	GLYCOGENSYNTH-PWY	4	0	49
ThomasAM_2018b	PWY-5973	5	0	27
ThomasAM_2018b	THRESYN-PWY	6	0	43
ThomasAM_2018b	PYRIDNUCSYN-PWY	6	0	36
ThomasAM_2018b	PWY-6317	5	0	30
ThomasAM_2018b	ANAEROFRUCAT-PWY	14	0	2
ThomasAM_2018b	NONOXIPENT-PWY	5	0	46
ThomasAM_2018b	PWY-6527	7	0	31
ThomasAM_2018b	PWY-6703	4	0	58
ThomasAM_2018b	SER-GLYSYN-PWY	4	0	68
ThomasAM_2018b	PWY-7357	6	0	48
ThomasAM_2018b	PWY-5154	9	0	8
ThomasAM_2018b	PWY-6936	5	0	59
ThomasAM_2018b	HSERMETANA-PWY	4	0	44
ThomasAM_2018b	OANTIGEN-PWY	10	0	12
ThomasAM_2018b	PWY-6897	5	0	18
ThomasAM_2018b	PWY-7237	10	0	47
ThomasAM_2018b	THISYN-PWY	12	0	7
ThomasAM_2018b	COBALSYN-PWY	9	0	18
ThomasAM_2018b	THISYNARA-PWY	7	0	31
ThomasAM_2018b	GLYCOLYSIS	12	0	5
ThomasAM_2018b	TRPSYN-PWY	7	0	42
ThomasAM_2018b	GLUCONEO-PWY	13	0	4
ThomasAM_2018b	PWY-5971	31	0	1
ThomasAM_2018b	PWYG-321	205	0	4
ThomasAM_2018b	PWY-7664	14	0	5
ThomasAM_2018b	PWY-6892	8	0	28
ThomasAM_2018b	ARGININE-SYN4-PWY	4	0	25
ThomasAM_2018b	DENOVOPURINE2-PWY	27	0	5
ThomasAM_2018b	PWY-5484	11	0	5
ThomasAM_2018b	PWY-841	21	0	2
ThomasAM_2018b	PWY0-862	6	0	6
ThomasAM_2018b	BIOTIN-BIOSYNTHESIS-PWY	16	0	3
ThomasAM_2018b	PWY-6282	9	0	5
ThomasAM_2018b	FASYN-INITIAL-PWY	6	0	4
ThomasAM_2018b	PWY-6519	11	0	3
ThomasAM_2018b	PHOSLIPSYN-PWY	10	0	4
ThomasAM_2018b	UDPNAGSYN-PWY	5	0	43
ThomasAM_2018b	PWY-5989	6	0	4
ThomasAM_2018b	PWY0-162	9	0	6
ThomasAM_2018b	MET-SAM-PWY	9	0	6
ThomasAM_2018b	PWY-6305	4	0	7
ThomasAM_2018b	PWY-5347	9	0	4
ThomasAM_2018b	ARG+POLYAMINE-SYN	17	0	1
ThomasAM_2018b	METSYN-PWY	8	0	6
ThomasAM_2018b	PWY-7187	7	0	6
ThomasAM_2018b	PWY0-166	14	0	8
ThomasAM_2018b	PWY-6895	11	0	1
ThomasAM_2018b	PWY-6353	11	0	5
ThomasAM_2018b	PWY-6125	8	0	31
ThomasAM_2018b	HEXITOLDEGSUPER-PWY	19	0	1
ThomasAM_2018b	PWY-7228	6	0	34
ThomasAM_2018b	PWY66-409	17	0	5
ThomasAM_2018b	PWY4FS-7	6	0	10
ThomasAM_2018b	PWY4FS-8	6	0	10
ThomasAM_2018b	PRPP-PWY	49	0	1
ThomasAM_2018b	RHAMCAT-PWY	5	0	21
ThomasAM_2018b	CITRULBIO-PWY	8	0	4
ThomasAM_2018b	PWY-5188	6	0	23
ThomasAM_2018b	GLCMANNANAUT-PWY	5	0	7
ThomasAM_2018b	SALVADEHYPOX-PWY	5	0	6
ThomasAM_2018b	PWY0-1261	12	0	1
ThomasAM_2018b	PWY-6901	17	0	1
ThomasAM_2018b	COLANSYN-PWY	12	0	2
ThomasAM_2018b	P441-PWY	21	0	1
ThomasAM_2018b	PWY-4984	5	0	3
ThomasAM_2018b	DAPLYSINESYN-PWY	9	0	6
ThomasAM_2018b	PWY-7282	10	0	8
ThomasAM_2018b	PWY-5104	6	0	13
ThomasAM_2018b	POLYAMSYN-PWY	8	0	1
ThomasAM_2018b	PWY-7184	9	0	9
ThomasAM_2018b	METH-ACETATE-PWY	6	0	4
ThomasAM_2018b	PWY-6545	9	0	3
ThomasAM_2018b	HOMOSER-METSYN-PWY	5	0	6
ThomasAM_2018b	PWY-4041	6	0	13
ThomasAM_2018b	PWY-5659	4	0	22
ThomasAM_2018b	PWY-7323	6	0	2
ThomasAM_2018b	PWY-7234	6	0	23
ThomasAM_2018b	PWY-6628	10	0	1
ThomasAM_2018b	GLUCUROCAT-PWY	7	0	3
ThomasAM_2018b	PWY-7456	7	0	4
ThomasAM_2018b	TCA	11	0	1
ThomasAM_2018b	P461-PWY	20	0	2
ThomasAM_2018b	PWY-2941	9	0	16
ThomasAM_2018b	PWY0-1061	6	0	8
ThomasAM_2018b	GALACT-GLUCUROCAT-PWY	11	0	1
ThomasAM_2018b	SULFATE-CYS-PWY	9	0	1
ThomasAM_2018b	PWY-6606	4	0	5
ThomasAM_2018b	PWY-6629	14	0	1
ThomasAM_2018b	PYRIDNUCSAL-PWY	7	0	2
ThomasAM_2018b	FERMENTATION-PWY	17	0	1
ThomasAM_2018b	PWY-6969	10	0	1
ThomasAM_2018b	PWY0-1297	7	0	10
ThomasAM_2018b	FAO-PWY	7	0	1
ThomasAM_2018b	PWY0-781	25	0	1
ThomasAM_2018b	GLYCOLYSIS-E-D	16	0	1
ThomasAM_2018b	PENTOSE-P-PWY	8	0	6
ThomasAM_2018b	PWY-5136	5	0	1
ThomasAM_2018b	P4-PWY	18	0	1
ThomasAM_2018b	PWY0-845	11	0	15
ThomasAM_2018b	PWY-6284	20	0	1
ThomasAM_2018b	PWY-6147	5	0	25
ThomasAM_2018b	PWY-6285	53	0	1
ThomasAM_2018b	PWY-5690	10	0	1
ThomasAM_2018b	PWY-1269	5	0	13
ThomasAM_2018b	FUC-RHAMCAT-PWY	12	0	1
ThomasAM_2018b	PWY-1861	9	0	3
ThomasAM_2018b	PYRIDOXSYN-PWY	7	0	17
ThomasAM_2018b	LACTOSECAT-PWY	4	0	13
ThomasAM_2018b	GLYCOLYSIS-TCA-GLYOX-BYPASS	26	0	1
ThomasAM_2018b	PWY-7117	14	0	1
ThomasAM_2018b	HISDEG-PWY	4	0	35
ThomasAM_2018b	PWY-6891	7	0	4
ThomasAM_2018b	PWY-5838	10	0	1
ThomasAM_2018b	PWY-5913	9	0	1
ThomasAM_2018b	GLYCOCAT-PWY	8	0	7
ThomasAM_2018b	ENTBACSYN-PWY	11	0	1
ThomasAM_2018b	PWY-5897	10	0	1
ThomasAM_2018b	PWY-5898	10	0	1
ThomasAM_2018b	PWY-5899	10	0	1
ThomasAM_2018b	PWY-5030	6	0	23
ThomasAM_2018b	FUCCAT-PWY	4	0	3
ThomasAM_2018b	FOLSYN-PWY	12	0	1
ThomasAM_2018b	PWY-5723	10	0	1
ThomasAM_2018b	PWY-6630	10	0	1
ThomasAM_2018b	SO4ASSIM-PWY	4	0	1
ThomasAM_2018b	TEICHOICACID-PWY	12	0	3
ThomasAM_2018b	POLYISOPRENSYN-PWY	6	0	1
ThomasAM_2018b	PWY0-1479	10	0	1
ThomasAM_2018b	HEMESYN2-PWY	4	0	1
ThomasAM_2018b	P105-PWY	10	0	1
ThomasAM_2018b	KETOGLUCONMET-PWY	8	0	1
ThomasAM_2018b	PWY-5861	9	0	1
ThomasAM_2018b	NAGLIPASYN-PWY	6	0	6
ThomasAM_2018b	TCA-GLYOX-BYPASS	13	0	1
ThomasAM_2018b	PWY-5845	10	0	1
ThomasAM_2018b	PWY-7254	10	0	1
ThomasAM_2018b	PWY-6731	4	0	1
ThomasAM_2018b	PWY-6612	10	0	1
ThomasAM_2018b	PWY-7328	6	0	1
ThomasAM_2018b	PWY-561	15	0	1
ThomasAM_2018b	GALACTARDEG-PWY	4	0	2
ThomasAM_2018b	GLUCARGALACTSUPER-PWY	4	0	2
ThomasAM_2018b	PWY-5918	10	0	1
ThomasAM_2018b	PWY-7013	5	0	5
ThomasAM_2018b	GOLPDLCAT-PWY	4	0	5
ThomasAM_2018b	PWY-5840	10	0	1
ThomasAM_2018b	PWY-5850	10	0	1
ThomasAM_2018b	PWY-5896	10	0	1
ThomasAM_2018b	PWY-6803	4	0	1
ThomasAM_2018b	PWY-5384	4	0	8
ThomasAM_2018b	GLUCOSE1PMETAB-PWY	5	0	7
ThomasAM_2018b	PWY-4702	14	0	1
ThomasAM_2018b	PWY0-1298	6	0	1
ThomasAM_2018b	PWY-5367	6	0	2
ThomasAM_2018b	HEME-BIOSYNTHESIS-II	4	0	3
ThomasAM_2018b	METHGLYUT-PWY	8	0	1
ThomasAM_2018b	PWY-7315	4	0	5
ThomasAM_2018b	GLUCARDEG-PWY	4	0	1
ThomasAM_2018b	PWY-6531	5	0	1
ThomasAM_2018b	PWY-5862	9	0	1
ThomasAM_2018b	NAD-BIOSYNTHESIS-II	5	0	2
ThomasAM_2018b	PWY-5863	16	0	1
ThomasAM_2018b	PWY-5189	4	0	1
ThomasAM_2018b	PWY-5837	7	0	1
ThomasAM_2018b	PWY-5675	4	0	1
ThomasAM_2018b	PWY-5860	9	0	1
ThomasAM_2018b	PWY-6588	5	0	3
ThomasAM_2018b	PWY-7204	9	0	1
ThomasAM_2018b	PWY0-1415	6	0	1
ThomasAM_2018b	PWY4LZ-257	9	0	1
ThomasAM_2018b	PWY0-1241	5	0	5
ThomasAM_2018b	PWY-5656	4	0	1
ThomasAM_2018b	PWY-5920	8	0	1
ThomasAM_2018b	P161-PWY	5	0	2
ThomasAM_2018b	PWY-7312	4	0	2
ThomasAM_2018b	PWY0-42	5	0	1
ThomasAM_2018b	PWY-5747	6	0	1
ThomasAM_2018b	PWY-7094	6	0	1
ThomasAM_2018b	AST-PWY	5	0	1
ThomasAM_2018b	P125-PWY	5	0	4
ThomasAM_2018b	PWY-5941	6	0	4
ThomasAM_2018b	P122-PWY	18	0	1
ThomasAM_2018b	PWY-5138	5	0	2
ThomasAM_2018b	PWY-7446	5	0	1
ThomasAM_2018b	GLYCOL-GLYOXDEG-PWY	4	0	1
ThomasAM_2018b	PWY-6823	6	0	1
ThomasAM_2018b	UBISYN-PWY	13	0	1
ThomasAM_2018b	PWY-5705	4	0	1
ThomasAM_2018b	KDO-NAGLIPASYN-PWY	17	0	1
ThomasAM_2018b	PWY-5855	8	0	1
ThomasAM_2018b	PWY-5856	8	0	1
ThomasAM_2018b	PWY-5857	8	0	1
ThomasAM_2018b	PWY-6708	8	0	1
ThomasAM_2018b	PWY0-41	8	0	1
ThomasAM_2018b	PWY-6837	5	0	1
ThomasAM_2018b	PWY-6471	16	0	2
ThomasAM_2018b	NONMEVIPP-PWY	9	0	5
ThomasAM_2018b	PWY-6167	10	0	2
ThomasAM_2018b	PWY-5101	8	0	2
ThomasAM_2018b	P124-PWY	15	0	2
ThomasAM_2018b	PWY-5005	8	0	1
ThomasAM_2018b	METHANOGENESIS-PWY	6	0	2
ThomasAM_2018b	PWY-7316	4	0	2
ThomasAM_2018b	PWY-6349	6	0	2
ThomasAM_2018b	PWY-5198	6	0	2
ThomasAM_2018b	PWY-6749	10	0	1
ThomasAM_2018b	AEROBACTINSYN-PWY	4	0	1
ThomasAM_2018b	PWY-6859	4	0	1
ThomasAM_2018b	PWY-6876	5	0	1
ThomasAM_2018b	PWY-6572	8	0	1
ThomasAM_2018b	ORNDEG-PWY	9	0	1
ThomasAM_2018b	ARGDEG-PWY	11	0	1
ThomasAM_2018b	ORNARGDEG-PWY	11	0	1
ThomasAM_2018b	PPGPPMET-PWY	6	0	1
ThomasAM_2018b	PWY0-1277	9	0	1
ThomasAM_2018b	PWY66-389	4	0	1
ThomasAM_2018b	ECASYN-PWY	10	0	1
ThomasAM_2018b	HCAMHPDEG-PWY	5	0	1
ThomasAM_2018b	PWY-6690	5	0	1
ThomasAM_2018b	PWY-7269	5	0	1
ThomasAM_2018b	LPSSYN-PWY	26	0	1
ThomasAM_2018b	PWY0-1338	6	0	1
ThomasAM_2018b	PWY-7371	5	0	3
ThomasAM_2018b	PWY-6953	5	0	1
ThomasAM_2018b	PWY-6478	4	0	1
ThomasAM_2018b	PWY-7198	7	0	2
ThomasAM_2018b	PWY-6143	6	0	1
ThomasAM_2019_c	ILEUSYN-PWY	7	0	85
ThomasAM_2019_c	PWY-7111	5	0	138
ThomasAM_2019_c	VALSYN-PWY	4	0	141
ThomasAM_2019_c	PWY-1042	10	0	81
ThomasAM_2019_c	TRNA-CHARGING-PWY	21	0	59
ThomasAM_2019_c	PWY-5686	6	0	123
ThomasAM_2019_c	PWY-7229	8	0	39
ThomasAM_2019_c	CALVIN-PWY	13	0	37
ThomasAM_2019_c	PWY-6387	8	0	127
ThomasAM_2019_c	PEPTIDOGLYCANSYN-PWY	10	0	120
ThomasAM_2019_c	PWY-6386	8	0	110
ThomasAM_2019_c	PWY-6385	14	0	102
ThomasAM_2019_c	PWY-6609	4	0	123
ThomasAM_2019_c	PWY0-1586	12	0	55
ThomasAM_2019_c	PWY-6126	8	0	39
ThomasAM_2019_c	PWY-5695	4	0	77
ThomasAM_2019_c	PWY-7221	4	0	129
ThomasAM_2019_c	PWY-6122	5	0	144
ThomasAM_2019_c	PWY-6277	5	0	144
ThomasAM_2019_c	DTDPRHAMSYN-PWY	4	0	101
ThomasAM_2019_c	BRANCHED-CHAIN-AA-SYN-PWY	19	0	84
ThomasAM_2019_c	COA-PWY-1	5	0	133
ThomasAM_2019_c	PWY0-1319	4	0	88
ThomasAM_2019_c	PWY-5667	4	0	86
ThomasAM_2019_c	ARO-PWY	7	0	61
ThomasAM_2019_c	PWY-3841	11	0	94
ThomasAM_2019_c	PWY-6163	5	0	89
ThomasAM_2019_c	PWY-6121	5	0	127
ThomasAM_2019_c	COMPLETE-ARO-PWY	17	0	51
ThomasAM_2019_c	PWY-5103	7	0	84
ThomasAM_2019_c	1CMET2-PWY	9	0	87
ThomasAM_2019_c	COA-PWY	4	0	117
ThomasAM_2019_c	ANAGLYCOLYSIS-PWY	11	0	26
ThomasAM_2019_c	PWY-5097	7	0	98
ThomasAM_2019_c	PWY-2942	8	0	99
ThomasAM_2019_c	PWY-7220	4	0	72
ThomasAM_2019_c	PWY-7222	4	0	72
ThomasAM_2019_c	NONOXIPENT-PWY	5	0	54
ThomasAM_2019_c	PWY-7400	14	0	62
ThomasAM_2019_c	ARGSYN-PWY	9	0	63
ThomasAM_2019_c	PWY-3001	13	0	39
ThomasAM_2019_c	ARGSYNBSUB-PWY	9	0	75
ThomasAM_2019_c	PWY-6151	4	0	94
ThomasAM_2019_c	PWY-6700	4	0	120
ThomasAM_2019_c	ANAEROFRUCAT-PWY	14	0	1
ThomasAM_2019_c	PWY-724	10	0	39
ThomasAM_2019_c	GLYCOLYSIS	12	0	7
ThomasAM_2019_c	HISTSYN-PWY	11	0	70
ThomasAM_2019_c	PWY-5973	5	0	29
ThomasAM_2019_c	PANTOSYN-PWY	9	0	61
ThomasAM_2019_c	GLUTORN-PWY	5	0	66
ThomasAM_2019_c	RIBOSYN2-PWY	9	0	77
ThomasAM_2019_c	THRESYN-PWY	6	0	51
ThomasAM_2019_c	PWY-5484	11	0	6
ThomasAM_2019_c	PYRIDNUCSYN-PWY	6	0	39
ThomasAM_2019_c	PANTO-PWY	4	0	72
ThomasAM_2019_c	PHOSLIPSYN-PWY	10	0	8
ThomasAM_2019_c	GLUCONEO-PWY	13	0	4
ThomasAM_2019_c	DENOVOPURINE2-PWY	27	0	6
ThomasAM_2019_c	PWY-841	21	0	2
ThomasAM_2019_c	HSERMETANA-PWY	4	0	49
ThomasAM_2019_c	SALVADEHYPOX-PWY	5	0	13
ThomasAM_2019_c	PWY-6123	6	0	74
ThomasAM_2019_c	SER-GLYSYN-PWY	4	0	71
ThomasAM_2019_c	OANTIGEN-PWY	10	0	12
ThomasAM_2019_c	PWY-6936	5	0	64
ThomasAM_2019_c	PWYG-321	205	0	4
ThomasAM_2019_c	PWY-6168	9	0	45
ThomasAM_2019_c	PWY-5971	31	0	1
ThomasAM_2019_c	PWY-7664	14	0	7
ThomasAM_2019_c	PWY-6124	5	0	74
ThomasAM_2019_c	TRPSYN-PWY	7	0	50
ThomasAM_2019_c	PWY-6527	7	0	35
ThomasAM_2019_c	THISYN-PWY	12	0	7
ThomasAM_2019_c	PWY-6125	8	0	38
ThomasAM_2019_c	PWY0-166	14	0	14
ThomasAM_2019_c	PWY0-862	6	0	10
ThomasAM_2019_c	PWY-6317	5	0	38
ThomasAM_2019_c	PWY-6282	9	0	7
ThomasAM_2019_c	PWY-7187	7	0	8
ThomasAM_2019_c	PWY-5154	9	0	10
ThomasAM_2019_c	FASYN-INITIAL-PWY	6	0	6
ThomasAM_2019_c	PWY-7228	6	0	40
ThomasAM_2019_c	PWY-6895	11	0	1
ThomasAM_2019_c	GLYCOGENSYNTH-PWY	4	0	51
ThomasAM_2019_c	HEXITOLDEGSUPER-PWY	19	0	1
ThomasAM_2019_c	PWY-6629	14	0	1
ThomasAM_2019_c	PWY4FS-7	6	0	13
ThomasAM_2019_c	PWY4FS-8	6	0	13
ThomasAM_2019_c	PWY-6897	5	0	22
ThomasAM_2019_c	UDPNAGSYN-PWY	5	0	53
ThomasAM_2019_c	PWY0-1261	12	0	5
ThomasAM_2019_c	PRPP-PWY	49	0	1
ThomasAM_2019_c	PWY-6901	17	0	1
ThomasAM_2019_c	ARG+POLYAMINE-SYN	17	0	1
ThomasAM_2019_c	MET-SAM-PWY	9	0	9
ThomasAM_2019_c	PWY-5989	6	0	6
ThomasAM_2019_c	PWY-6703	4	0	64
ThomasAM_2019_c	PWY-7357	6	0	52
ThomasAM_2019_c	PWY-5347	9	0	8
ThomasAM_2019_c	PWY0-162	9	0	6
ThomasAM_2019_c	METSYN-PWY	8	0	11
ThomasAM_2019_c	P461-PWY	20	0	4
ThomasAM_2019_c	PWY-6353	11	0	6
ThomasAM_2019_c	PWY-1269	5	0	14
ThomasAM_2019_c	GLYCOLYSIS-E-D	16	0	1
ThomasAM_2019_c	P441-PWY	21	0	1
ThomasAM_2019_c	PWY-7184	9	0	15
ThomasAM_2019_c	TCA	11	0	2
ThomasAM_2019_c	PENTOSE-P-PWY	8	0	13
ThomasAM_2019_c	PWY-7282	10	0	12
ThomasAM_2019_c	THISYNARA-PWY	7	0	30
ThomasAM_2019_c	PWY-6519	11	0	4
ThomasAM_2019_c	BIOTIN-BIOSYNTHESIS-PWY	16	0	3
ThomasAM_2019_c	SULFATE-CYS-PWY	9	0	3
ThomasAM_2019_c	GLYCOLYSIS-TCA-GLYOX-BYPASS	26	0	1
ThomasAM_2019_c	PWY-6628	10	0	1
ThomasAM_2019_c	PWY66-409	17	0	4
ThomasAM_2019_c	PWY-7234	6	0	22
ThomasAM_2019_c	COLANSYN-PWY	12	0	2
ThomasAM_2019_c	POLYAMSYN-PWY	8	0	2
ThomasAM_2019_c	PWY0-781	25	0	1
ThomasAM_2019_c	PWY-5104	6	0	15
ThomasAM_2019_c	DAPLYSINESYN-PWY	9	0	8
ThomasAM_2019_c	PWY-6892	8	0	28
ThomasAM_2019_c	PWY0-1297	7	0	13
ThomasAM_2019_c	PWY-5723	10	0	2
ThomasAM_2019_c	PWY-6305	4	0	11
ThomasAM_2019_c	P4-PWY	18	0	1
ThomasAM_2019_c	PWY-6630	10	0	1
ThomasAM_2019_c	PWY0-1479	10	0	4
ThomasAM_2019_c	PWY-7323	6	0	2
ThomasAM_2019_c	PWY-5913	9	0	6
ThomasAM_2019_c	PWY-5659	4	0	25
ThomasAM_2019_c	PWY-7117	14	0	4
ThomasAM_2019_c	CITRULBIO-PWY	8	0	4
ThomasAM_2019_c	FAO-PWY	7	0	4
ThomasAM_2019_c	PWY-6471	16	0	3
ThomasAM_2019_c	PWY-6891	7	0	3
ThomasAM_2019_c	PWY-7237	10	0	49
ThomasAM_2019_c	SO4ASSIM-PWY	4	0	4
ThomasAM_2019_c	PWY-6147	5	0	29
ThomasAM_2019_c	PWY0-845	11	0	15
ThomasAM_2019_c	PWY-6285	53	0	1
ThomasAM_2019_c	PWY-2941	9	0	15
ThomasAM_2019_c	GALACT-GLUCUROCAT-PWY	11	0	1
ThomasAM_2019_c	PWY-6969	10	0	2
ThomasAM_2019_c	GLCMANNANAUT-PWY	5	0	14
ThomasAM_2019_c	HISDEG-PWY	4	0	39
ThomasAM_2019_c	PWY-4041	6	0	17
ThomasAM_2019_c	HOMOSER-METSYN-PWY	5	0	11
ThomasAM_2019_c	PWY0-1298	6	0	6
ThomasAM_2019_c	PWY-5188	6	0	32
ThomasAM_2019_c	NAGLIPASYN-PWY	6	0	8
ThomasAM_2019_c	GLUCUROCAT-PWY	7	0	3
ThomasAM_2019_c	RHAMCAT-PWY	5	0	23
ThomasAM_2019_c	PWY4LZ-257	9	0	2
ThomasAM_2019_c	TCA-GLYOX-BYPASS	13	0	2
ThomasAM_2019_c	PWY-4984	5	0	3
ThomasAM_2019_c	PWY-6545	9	0	3
ThomasAM_2019_c	FERMENTATION-PWY	17	0	3
ThomasAM_2019_c	PWY-5136	5	0	3
ThomasAM_2019_c	PWY-5838	10	0	2
ThomasAM_2019_c	P161-PWY	5	0	7
ThomasAM_2019_c	COBALSYN-PWY	9	0	17
ThomasAM_2019_c	PWY-7456	7	0	2
ThomasAM_2019_c	PWY-5675	4	0	2
ThomasAM_2019_c	PYRIDOXSYN-PWY	7	0	18
ThomasAM_2019_c	FUC-RHAMCAT-PWY	12	0	1
ThomasAM_2019_c	PWY-5897	10	0	2
ThomasAM_2019_c	PWY-5898	10	0	2
ThomasAM_2019_c	PWY-5899	10	0	2
ThomasAM_2019_c	ARGININE-SYN4-PWY	4	0	25
ThomasAM_2019_c	GLUCOSE1PMETAB-PWY	5	0	6
ThomasAM_2019_c	PWY-6606	4	0	11
ThomasAM_2019_c	PWY-4702	14	0	2
ThomasAM_2019_c	FUCCAT-PWY	4	0	4
ThomasAM_2019_c	PWY-5030	6	0	22
ThomasAM_2019_c	GLYCOCAT-PWY	8	0	6
ThomasAM_2019_c	PWY-6284	20	0	1
ThomasAM_2019_c	PWY-6876	5	0	1
ThomasAM_2019_c	PWY-5861	9	0	2
ThomasAM_2019_c	ENTBACSYN-PWY	11	0	1
ThomasAM_2019_c	POLYISOPRENSYN-PWY	6	0	2
ThomasAM_2019_c	PWY-5840	10	0	2
ThomasAM_2019_c	PWY-5845	10	0	2
ThomasAM_2019_c	PWY-5850	10	0	2
ThomasAM_2019_c	PWY-5896	10	0	2
ThomasAM_2019_c	ORNDEG-PWY	9	0	1
ThomasAM_2019_c	GALACTARDEG-PWY	4	0	5
ThomasAM_2019_c	GLUCARGALACTSUPER-PWY	4	0	5
ThomasAM_2019_c	PWY0-1061	6	0	10
ThomasAM_2019_c	PWY-561	15	0	1
ThomasAM_2019_c	PWY-6531	5	0	1
ThomasAM_2019_c	ARGDEG-PWY	11	0	1
ThomasAM_2019_c	ORNARGDEG-PWY	11	0	1
ThomasAM_2019_c	PWY-5918	10	0	1
ThomasAM_2019_c	P105-PWY	10	0	2
ThomasAM_2019_c	PWY-5189	4	0	1
ThomasAM_2019_c	P164-PWY	15	0	6
ThomasAM_2019_c	PWY-5384	4	0	10
ThomasAM_2019_c	FOLSYN-PWY	12	0	3
ThomasAM_2019_c	PWY-5860	9	0	2
ThomasAM_2019_c	PWY-5862	9	0	2
ThomasAM_2019_c	HEMESYN2-PWY	4	0	3
ThomasAM_2019_c	PWY-7315	4	0	4
ThomasAM_2019_c	PWY-6803	4	0	2
ThomasAM_2019_c	PWY-7328	6	0	1
ThomasAM_2019_c	PWY0-1277	9	0	1
ThomasAM_2019_c	PWY-6731	4	0	1
ThomasAM_2019_c	PWY-5690	10	0	2
ThomasAM_2019_c	PWY-7254	10	0	2
ThomasAM_2019_c	PWY-5656	4	0	1
ThomasAM_2019_c	PWY-7204	9	0	2
ThomasAM_2019_c	PWY-6859	4	0	2
ThomasAM_2019_c	GLUCARDEG-PWY	4	0	4
ThomasAM_2019_c	METHGLYUT-PWY	8	0	1
