cohort	pathway_id	size_members_measured	hits_FDR10	hits_nominal05	size_reactions
FengQ_2015	HISDEG-PWY	32	7	11	4
FengQ_2015	PWY-5030	23	5	7	6
FengQ_2015	GOLPDLCAT-PWY	5	1	1	4
FengQ_2015	PWY-6147	22	7	11	5
FengQ_2015	PWY-1269	13	3	5	5
FengQ_2015	CITRULBIO-PWY	5	2	2	8
FengQ_2015	GLYCOCAT-PWY	7	0	1	8
FengQ_2015	PWY-4984	4	0	2	5
FengQ_2015	PWY-5384	10	0	3	4
FengQ_2015	PWY-7013	6	2	2	5
FengQ_2015	NAD-BIOSYNTHESIS-II	2	0	1	5
FengQ_2015	PWY-5941	3	0	0	6
FengQ_2015	PWY-7312	2	0	0	4
FengQ_2015	NAGLIPASYN-PWY	7	1	2	6
FengQ_2015	FUCCAT-PWY	4	0	0	4
FengQ_2015	GLUCOSE1PMETAB-PWY	7	0	1	5
FengQ_2015	P124-PWY	2	0	0	15
FengQ_2015	PWY-5367	2	0	0	6
FengQ_2015	PWY0-1061	9	0	0	6
FengQ_2015	P125-PWY	3	1	1	5
FengQ_2015	P161-PWY	3	0	1	5
FengQ_2015	PWY0-1241	4	0	1	5
FengQ_2015	PWY-6572	1	0	0	8
FengQ_2015	PWY-7371	1	0	0	5
FengQ_2015	PWY-6891	3	0	0	7
FengQ_2015	PWY-6519	3	0	1	11
FengQ_2015	PWY-7315	3	0	1	4
FengQ_2015	PWY-6167	2	0	0	10
FengQ_2015	PWY-5101	3	0	0	8
FengQ_2015	METHANOGENESIS-PWY	2	0	2	6
FengQ_2015	PWY-7316	2	0	0	4
FengQ_2015	PWY-6349	2	0	0	6
FengQ_2015	PWY-5198	2	0	0	6
FengQ_2015	PWY-6478	1	0	0	4
FengQ_2015	GLYCOLYSIS	6	1	2	12
FengQ_2015	GLUCONEO-PWY	3	1	2	13
FengQ_2015	PWY-5484	4	1	2	11
FengQ_2015	TEICHOICACID-PWY	1	0	0	12
FengQ_2015	PWY-6588	4	1	1	5
FengQ_2015	HEME-BIOSYNTHESIS-II	2	0	0	4
FengQ_2015	PWY-6471	1	0	0	16
FengQ_2015	PWY-6270	1	0	0	10
FengQ_2015	PWY-7560	1	0	0	9
FengQ_2015	PWY0-1298	2	0	1	6
FengQ_2015	FAO-PWY	2	0	0	7
FengQ_2015	PWY-5136	2	0	0	5
FengQ_2015	SO4ASSIM-PWY	1	0	1	4
FengQ_2015	POLYAMSYN-PWY	2	0	1	8
FengQ_2015	GALACTARDEG-PWY	3	0	1	4
FengQ_2015	GLUCARGALACTSUPER-PWY	3	0	1	4
FengQ_2015	TCA	2	0	0	11
FengQ_2015	HEMESYN2-PWY	3	0	0	4
FengQ_2015	PWY-6876	1	0	0	5
FengQ_2015	TCA-GLYOX-BYPASS	2	0	0	13
FengQ_2015	PWY-5138	3	0	1	5
FengQ_2015	GLUCARDEG-PWY	2	0	0	4
FengQ_2015	PWY-4702	1	0	0	14
FengQ_2015	PWY-6803	2	0	0	4
FengQ_2015	PWY-7446	1	0	0	5
FengQ_2015	PWY-841	1	0	0	21
FengQ_2015	PWY-5913	2	0	0	9
FengQ_2015	PWY-7117	1	0	0	14
FengQ_2015	PWY-6731	1	0	0	4
FengQ_2015	P441-PWY	1	0	0	21
FengQ_2015	FERMENTATION-PWY	1	0	0	17
FengQ_2015	PWY0-1261	2	0	0	12
FengQ_2015	HEXITOLDEGSUPER-PWY	1	0	0	19
FengQ_2015	P4-PWY	1	0	0	18
FengQ_2015	ARG+POLYAMINE-SYN	1	0	0	17
FengQ_2015	SULFATE-CYS-PWY	1	0	0	9
FengQ_2015	PWY0-1479	1	0	0	10
FengQ_2015	PWY4LZ-257	1	0	0	9
FengQ_2015	PWY-6629	1	0	0	14
FengQ_2015	FOLSYN-PWY	1	0	0	12
FengQ_2015	GLYCOLYSIS-E-D	1	0	0	16
FengQ_2015	ORNDEG-PWY	1	0	0	9
FengQ_2015	PWY-6630	1	0	0	10
FengQ_2015	PWY-6628	1	0	0	10
FengQ_2015	FUC-RHAMCAT-PWY	1	0	1	12
FengQ_2015	PWY-6612	1	0	0	10
FengQ_2015	GLYCOLYSIS-TCA-GLYOX-BYPASS	1	0	0	26
FengQ_2015	BIOTIN-BIOSYNTHESIS-PWY	2	0	0	16
FengQ_2015	PWY-5971	1	0	0	31
FengQ_2015	PWY-6895	1	0	0	11
FengQ_2015	PWY-6969	1	0	0	10
FengQ_2015	PWY-6284	1	0	0	20
FengQ_2015	PWY-5189	2	0	1	4
FengQ_2015	PWY-5690	1	0	1	10
FengQ_2015	PWY-5723	2	0	0	10
FengQ_2015	PWY-6285	1	0	0	53
FengQ_2015	KETOGLUCONMET-PWY	1	0	0	8
FengQ_2015	P105-PWY	1	0	0	10
FengQ_2015	PWY-5918	1	0	0	10
FengQ_2015	POLYISOPRENSYN-PWY	2	0	0	6
FengQ_2015	PWY-6531	1	0	0	5
FengQ_2015	PWY-5897	1	0	0	10
FengQ_2015	PWY-5898	1	0	0	10
FengQ_2015	PWY-5899	1	0	0	10
FengQ_2015	PWY-5838	1	0	0	10
FengQ_2015	PWY-7254	1	0	0	10
FengQ_2015	PWY-5840	1	0	0	10
FengQ_2015	PWY0-1277	1	0	1	9
FengQ_2015	PWY-5861	1	0	0	9
FengQ_2015	ARGDEG-PWY	1	0	0	11
FengQ_2015	ORNARGDEG-PWY	1	0	0	11
FengQ_2015	PWY-5747	1	0	0	6
FengQ_2015	PWY-5675	1	0	1	4
FengQ_2015	PWY0-881	1	0	0	17
FengQ_2015	HCAMHPDEG-PWY	1	0	1	5
FengQ_2015	PWY-6690	1	0	1	5
FengQ_2015	METHGLYUT-PWY	1	0	0	8
FengQ_2015	PWY0-1415	1	0	0	6
FengQ_2015	PWY0-42	1	0	0	5
FengQ_2015	PWY-5845	1	0	0	10
FengQ_2015	PWY-5850	1	0	0	10
FengQ_2015	PWY-5896	1	0	0	10
FengQ_2015	PWY-5837	1	0	0	7
FengQ_2015	PWY-5863	1	0	0	16
FengQ_2015	PWY-5860	1	0	0	9
FengQ_2015	PWY-5862	1	0	0	9
FengQ_2015	PWY66-389	1	0	0	4
FengQ_2015	AST-PWY	2	0	0	5
FengQ_2015	PWY0-1338	1	0	0	6
FengQ_2015	PWY-7269	1	0	1	5
FengQ_2015	PWY-7204	1	0	0	9
FengQ_2015	PWY-5705	1	0	0	4
FengQ_2015	ECASYN-PWY	1	0	0	10
FengQ_2015	GLYCOL-GLYOXDEG-PWY	1	0	0	4
FengQ_2015	PWY-6749	1	0	1	10
FengQ_2015	PWY-6901	1	0	0	17
FengQ_2015	ANAEROFRUCAT-PWY	2	0	0	14
FengQ_2015	PWY0-781	1	0	0	25
FengQ_2015	PRPP-PWY	1	0	0	49
FengQ_2015	ENTBACSYN-PWY	1	0	0	11
FengQ_2015	PWY-561	1	0	0	15
FengQ_2015	GALACT-GLUCUROCAT-PWY	1	0	0	11
FengQ_2015	PWY-7209	1	0	0	5
FengQ_2015	PWY-5920	1	0	0	8
FengQ_2015	PWY-5656	1	0	0	4
FengQ_2015	PWY-6545	3	1	1	9
FengQ_2015	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	1	0	0	8
FengQ_2015	PPGPPMET-PWY	1	0	1	6
FengQ_2015	LPSSYN-PWY	1	0	0	26
FengQ_2015	PWY-7094	1	0	0	6
FengQ_2015	PWY-6859	1	0	0	4
FengQ_2015	UBISYN-PWY	1	0	0	13
FengQ_2015	PWY-5855	1	0	0	8
FengQ_2015	PWY-5856	1	0	0	8
FengQ_2015	PWY-5857	1	0	0	8
FengQ_2015	PWY-6708	1	0	0	8
FengQ_2015	PWY-6823	1	0	0	6
FengQ_2015	REDCITCYC	1	0	0	10
FengQ_2015	PWY-6837	1	0	0	5
FengQ_2015	P221-PWY	1	0	1	5
FengQ_2015	KDO-NAGLIPASYN-PWY	1	0	1	17
FengQ_2015	PWY-6071	1	0	0	12
FengQ_2015	PWY0-321	1	0	0	10
FengQ_2015	PWY0-41	1	0	0	8
FengQ_2015	PWY0-1533	1	0	0	4
FengQ_2015	PYRIDNUCSAL-PWY	1	0	0	7
FengQ_2015	PWY-7198	3	0	0	7
FengQ_2015	PWY-7328	1	0	0	6
FengQ_2015	PWY-7211	1	0	0	18
FengQ_2015	PWY-7210	1	0	0	8
FengQ_2015	PWY-5692	1	0	0	4
FengQ_2015	URDEGR-PWY	1	0	0	4
FengQ_2015	P122-PWY	1	0	0	18
FengQ_2015	PWY-6143	1	1	1	6
ThomasAM_2018a	PWY0-1586	36	0	5	12
ThomasAM_2018a	ILEUSYN-PWY	58	0	8	7
ThomasAM_2018a	PWY-7111	105	0	9	5
ThomasAM_2018a	VALSYN-PWY	110	0	7	4
ThomasAM_2018a	BRANCHED-CHAIN-AA-SYN-PWY	58	0	8	19
ThomasAM_2018a	PWY-5103	58	0	8	7
ThomasAM_2018a	PWY-1042	52	0	5	10
ThomasAM_2018a	NONOXIPENT-PWY	35	0	1	5
ThomasAM_2018a	CALVIN-PWY	27	0	5	13
ThomasAM_2018a	ARGSYNBSUB-PWY	55	0	11	9
ThomasAM_2018a	PWY-7229	24	0	1	8
ThomasAM_2018a	PWY-5695	64	0	6	4
ThomasAM_2018a	ARGSYN-PWY	44	0	9	9
ThomasAM_2018a	PWY-7400	43	0	9	14
ThomasAM_2018a	PWY-7221	98	0	9	4
ThomasAM_2018a	PWY-6126	24	0	1	8
ThomasAM_2018a	PWY-5686	93	0	10	6
ThomasAM_2018a	PWY-6936	39	0	6	5
ThomasAM_2018a	PWY-6385	71	0	4	14
ThomasAM_2018a	COA-PWY-1	105	0	9	5
ThomasAM_2018a	PWY-7220	53	0	4	4
ThomasAM_2018a	PWY-7222	53	0	4	4
ThomasAM_2018a	PWY-3001	20	0	5	13
ThomasAM_2018a	PWY-6387	92	0	8	8
ThomasAM_2018a	PWY-7664	6	0	2	14
ThomasAM_2018a	TRNA-CHARGING-PWY	46	0	4	21
ThomasAM_2018a	PWY-5971	1	0	1	31
ThomasAM_2018a	PWY-5097	77	0	9	7
ThomasAM_2018a	PWY-2942	75	0	9	8
ThomasAM_2018a	PEPTIDOGLYCANSYN-PWY	86	0	9	10
ThomasAM_2018a	PWY-6282	6	0	2	9
ThomasAM_2018a	PWY-6121	98	0	12	5
ThomasAM_2018a	ANAGLYCOLYSIS-PWY	13	0	1	11
ThomasAM_2018a	PWY0-862	7	0	2	6
ThomasAM_2018a	PWY-6122	110	0	11	5
ThomasAM_2018a	PWY-6277	110	0	11	5
ThomasAM_2018a	PWY-5973	27	0	1	5
ThomasAM_2018a	PWY-6609	94	0	7	4
ThomasAM_2018a	PWY-5104	9	0	2	6
ThomasAM_2018a	GLYCOLYSIS	5	0	1	12
ThomasAM_2018a	COMPLETE-ARO-PWY	31	0	6	17
ThomasAM_2018a	PWY-6386	81	0	6	8
ThomasAM_2018a	ARO-PWY	37	0	6	7
ThomasAM_2018a	1CMET2-PWY	60	0	9	9
ThomasAM_2018a	PWY-3841	73	0	9	11
ThomasAM_2018a	PANTO-PWY	65	0	4	4
ThomasAM_2018a	PWY-5154	6	0	2	9
ThomasAM_2018a	ANAEROFRUCAT-PWY	2	0	1	14
ThomasAM_2018a	PWY-5484	5	0	1	11
ThomasAM_2018a	METSYN-PWY	5	0	1	8
ThomasAM_2018a	PWY-5347	3	0	1	9
ThomasAM_2018a	THRESYN-PWY	31	0	5	6
ThomasAM_2018a	COA-PWY	87	0	9	4
ThomasAM_2018a	MET-SAM-PWY	4	0	1	9
ThomasAM_2018a	PWY-5667	62	0	8	4
ThomasAM_2018a	PWY0-1319	62	0	8	4
ThomasAM_2018a	FASYN-INITIAL-PWY	5	0	1	6
ThomasAM_2018a	PWY-724	27	0	5	10
ThomasAM_2018a	PWY-5188	24	0	5	6
ThomasAM_2018a	GLUTORN-PWY	47	0	7	5
ThomasAM_2018a	GLYCOCAT-PWY	5	0	2	8
ThomasAM_2018a	GLUCONEO-PWY	6	0	1	13
ThomasAM_2018a	PWY-7013	4	0	0	5
ThomasAM_2018a	PWY-6163	61	0	7	5
ThomasAM_2018a	TCA	2	0	1	11
ThomasAM_2018a	GLYCOGENSYNTH-PWY	34	0	8	4
ThomasAM_2018a	PANTOSYN-PWY	53	0	2	9
ThomasAM_2018a	PWY0-1261	2	0	1	12
ThomasAM_2018a	DAPLYSINESYN-PWY	6	0	4	9
ThomasAM_2018a	SER-GLYSYN-PWY	60	0	11	4
ThomasAM_2018a	PWY-6700	87	0	6	4
ThomasAM_2018a	PWY-6519	3	0	1	11
ThomasAM_2018a	PWY4LZ-257	2	0	1	9
ThomasAM_2018a	PWY-6305	7	0	2	4
ThomasAM_2018a	PWY-6285	1	0	1	53
ThomasAM_2018a	HEXITOLDEGSUPER-PWY	1	0	1	19
ThomasAM_2018a	PWY-5723	2	0	1	10
ThomasAM_2018a	BIOTIN-BIOSYNTHESIS-PWY	2	0	1	16
ThomasAM_2018a	P461-PWY	3	0	1	20
ThomasAM_2018a	PHOSLIPSYN-PWY	4	0	1	10
ThomasAM_2018a	P441-PWY	1	0	1	21
ThomasAM_2018a	FAO-PWY	3	0	2	7
ThomasAM_2018a	SALVADEHYPOX-PWY	8	0	2	5
ThomasAM_2018a	P161-PWY	3	0	1	5
ThomasAM_2018a	DTDPRHAMSYN-PWY	85	0	9	4
ThomasAM_2018a	GLYCOLYSIS-TCA-GLYOX-BYPASS	1	0	1	26
ThomasAM_2018a	PWY-6588	3	0	1	5
ThomasAM_2018a	PWY4FS-7	6	0	1	6
ThomasAM_2018a	PWY4FS-8	6	0	1	6
ThomasAM_2018a	TRPSYN-PWY	34	0	3	7
ThomasAM_2018a	FERMENTATION-PWY	2	0	1	17
ThomasAM_2018a	PWY-6123	58	0	7	6
ThomasAM_2018a	GALACTARDEG-PWY	3	0	1	4
ThomasAM_2018a	GLUCARGALACTSUPER-PWY	3	0	1	4
ThomasAM_2018a	UDPNAGSYN-PWY	28	0	5	5
ThomasAM_2018a	PWY0-1061	8	0	3	6
ThomasAM_2018a	PWY0-1297	6	0	1	7
ThomasAM_2018a	HISTSYN-PWY	59	0	9	11
ThomasAM_2018a	HOMOSER-METSYN-PWY	6	0	1	5
ThomasAM_2018a	PWY-4041	8	0	1	6
ThomasAM_2018a	PWY-6124	58	0	9	5
ThomasAM_2018a	RIBOSYN2-PWY	54	0	6	9
ThomasAM_2018a	PWY-6629	1	0	1	14
