cohort	pathway_id	size_members_measured	hits_FDR10	hits_nominal05	size_reactions
ThomasAM_2018a	ECASYN-PWY	2	0	0	10
ThomasAM_2018a	P164-PWY	3	0	0	15
ThomasAM_2018a	PWY-1861	1	0	0	9
ThomasAM_2018a	PWY-5855	2	0	0	8
ThomasAM_2018a	PWY-5856	2	0	0	8
ThomasAM_2018a	PWY-5857	2	0	0	8
ThomasAM_2018a	PWY-6708	2	0	0	8
ThomasAM_2018a	PWY-5747	2	0	1	6
ThomasAM_2018a	METHGLYUT-PWY	1	0	1	8
ThomasAM_2018a	AST-PWY	2	0	1	5
ThomasAM_2018a	HISDEG-PWY	35	0	3	4
ThomasAM_2018a	PWY-6859	2	0	1	4
ThomasAM_2018a	P122-PWY	1	0	0	18
ThomasAM_2018a	PWY-7446	2	0	1	5
ThomasAM_2018a	PWY-6837	1	0	1	5
ThomasAM_2018a	PWY-4984	3	0	0	5
ThomasAM_2018a	GLYCOL-GLYOXDEG-PWY	2	0	1	4
ThomasAM_2018a	ARGDEG-PWY	1	0	0	11
ThomasAM_2018a	ORNARGDEG-PWY	1	0	0	11
ThomasAM_2018a	ARGININE-SYN4-PWY	27	0	3	4
ThomasAM_2018a	LPSSYN-PWY	1	0	1	26
ThomasAM_2018a	PWY-5656	1	0	1	4
ThomasAM_2018a	PWY0-1338	2	0	0	6
ThomasAM_2018a	FOLSYN-PWY	1	0	1	12
ThomasAM_2018a	PWY-5030	19	0	1	6
ThomasAM_2018a	PWY-6876	1	0	0	5
ThomasAM_2018a	KDO-NAGLIPASYN-PWY	1	0	1	17
ThomasAM_2018a	AEROBACTINSYN-PWY	1	0	1	4
ThomasAM_2018a	PWY-6731	1	0	1	4
ThomasAM_2018a	PWY-6612	1	0	1	10
ThomasAM_2018a	PWY-6823	1	0	1	6
ThomasAM_2018a	PWY-5705	2	0	0	4
ThomasAM_2018a	PWY-6749	2	0	0	10
ThomasAM_2018a	PWY0-41	2	0	1	8
ThomasAM_2018a	PWY0-1533	2	0	0	4
ThomasAM_2018a	P162-PWY	1	0	0	10
ThomasAM_2018a	PWY-6595	1	0	0	6
ThomasAM_2018a	P163-PWY	1	0	1	10
ThomasAM_2018a	NONMEVIPP-PWY	3	0	1	9
ThomasAM_2018a	PWY-7316	2	0	0	4
ThomasAM_2018a	PWY-7198	3	0	0	7
ThomasAM_2018a	PWYG-321	5	0	1	205
ThomasAM_2018a	P124-PWY	3	0	1	15
ThomasAM_2018a	PWY-6545	2	0	0	9
ThomasAM_2018a	PWY-5941	3	0	0	6
ThomasAM_2018a	PWY-6143	1	0	0	6
ThomasAM_2018a	PWY-7371	2	0	0	5
ThomasAM_2018a	PWY-7312	2	0	0	4
ThomasAM_2018a	PWY-7328	1	0	1	6
ThomasAM_2018a	METH-ACETATE-PWY	4	0	0	6
ThomasAM_2018a	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	2	0	0	8
ThomasAM_2018a	PWY-7269	2	0	0	5
ThomasAM_2018a	LACTOSECAT-PWY	1	0	0	4
ThomasAM_2018a	PWY66-389	2	0	1	4
ThomasAM_2018a	P221-PWY	1	0	1	5
ThomasAM_2018a	PWY-7039	1	0	0	5
ThomasAM_2018a	PWY-7456	1	0	0	7
ThomasAM_2018a	PWY-7211	1	0	0	18
ThomasAM_2018a	PWY0-881	1	0	0	17
ThomasAM_2018a	PWY-7210	1	0	0	8
ThomasAM_2018a	PWY-7209	1	0	0	5
ThomasAM_2018a	REDCITCYC	1	0	0	10
ThomasAM_2018a	PWY-6071	1	0	1	12
ThomasAM_2018a	PWY0-321	1	0	1	10
ThomasAM_2018a	PWY-5692	2	0	0	4
ThomasAM_2018a	URDEGR-PWY	2	0	0	4
ThomasAM_2018a	P125-PWY	1	0	0	5
ThomasAM_2018a	PWY-6572	1	0	0	8
ThomasAM_2018a	PWY-6478	1	0	0	4
ThomasAM_2018a	PWY-5005	1	0	0	8
ThomasAM_2018b	PWY-1042	70	0	5	10
ThomasAM_2018b	ILEUSYN-PWY	84	0	3	7
ThomasAM_2018b	PWY-7111	133	0	8	5
ThomasAM_2018b	VALSYN-PWY	127	0	8	4
ThomasAM_2018b	PWY-5686	110	0	6	6
ThomasAM_2018b	PWY-6163	76	0	5	5
ThomasAM_2018b	PWY-6609	111	0	5	4
ThomasAM_2018b	PWY-6386	97	0	4	8
ThomasAM_2018b	PWY-7221	119	0	7	4
ThomasAM_2018b	PWY-6387	113	0	4	8
ThomasAM_2018b	ARO-PWY	51	0	0	7
ThomasAM_2018b	TRNA-CHARGING-PWY	57	0	4	21
ThomasAM_2018b	PEPTIDOGLYCANSYN-PWY	110	0	4	10
ThomasAM_2018b	DTDPRHAMSYN-PWY	105	0	2	4
ThomasAM_2018b	PWY-6700	102	0	6	4
ThomasAM_2018b	BRANCHED-CHAIN-AA-SYN-PWY	83	0	3	19
ThomasAM_2018b	CALVIN-PWY	29	0	1	13
ThomasAM_2018b	PWY-6385	88	0	4	14
ThomasAM_2018b	COA-PWY-1	116	0	3	5
ThomasAM_2018b	COMPLETE-ARO-PWY	43	0	0	17
ThomasAM_2018b	PWY-6151	91	0	4	4
ThomasAM_2018b	PWY-5103	83	0	3	7
ThomasAM_2018b	PWY-5667	75	0	2	4
ThomasAM_2018b	PWY0-1319	75	0	2	4
ThomasAM_2018b	PWY-5097	88	0	6	7
ThomasAM_2018b	PWY-6121	117	0	5	5
ThomasAM_2018b	PWY-3841	84	0	5	11
ThomasAM_2018b	ARGSYN-PWY	59	0	3	9
ThomasAM_2018b	PWY-7400	58	0	2	14
ThomasAM_2018b	RIBOSYN2-PWY	63	0	2	9
ThomasAM_2018b	ARGSYNBSUB-PWY	70	0	3	9
ThomasAM_2018b	PWY-6122	135	0	9	5
ThomasAM_2018b	PWY-6277	135	0	9	5
ThomasAM_2018b	1CMET2-PWY	71	0	4	9
ThomasAM_2018b	PWY-2942	88	0	5	8
ThomasAM_2018b	PANTOSYN-PWY	59	0	3	9
ThomasAM_2018b	PANTO-PWY	73	0	4	4
ThomasAM_2018b	COA-PWY	99	0	4	4
ThomasAM_2018b	PWY-5695	73	0	3	4
ThomasAM_2018b	PWY-7229	31	0	2	8
ThomasAM_2018b	PWY0-1586	48	0	2	12
ThomasAM_2018b	PWY-6168	33	0	2	9
ThomasAM_2018b	PWY-724	33	0	1	10
ThomasAM_2018b	ANAGLYCOLYSIS-PWY	26	0	0	11
ThomasAM_2018b	PWY-6123	68	0	4	6
ThomasAM_2018b	PWY-6126	31	0	2	8
ThomasAM_2018b	GLUTORN-PWY	60	0	4	5
ThomasAM_2018b	HISTSYN-PWY	63	0	6	11
ThomasAM_2018b	PWY-3001	32	0	2	13
ThomasAM_2018b	PWY-6124	69	0	6	5
ThomasAM_2018b	PWY-7220	61	0	6	4
ThomasAM_2018b	PWY-7222	61	0	6	4
ThomasAM_2018b	GLYCOGENSYNTH-PWY	49	0	0	4
ThomasAM_2018b	PWY-5973	27	0	2	5
ThomasAM_2018b	THRESYN-PWY	43	0	4	6
ThomasAM_2018b	PYRIDNUCSYN-PWY	36	0	3	6
ThomasAM_2018b	PWY-6317	30	0	1	5
ThomasAM_2018b	ANAEROFRUCAT-PWY	2	0	0	14
ThomasAM_2018b	NONOXIPENT-PWY	46	0	3	5
ThomasAM_2018b	PWY-6527	31	0	1	7
ThomasAM_2018b	PWY-6703	58	0	5	4
ThomasAM_2018b	SER-GLYSYN-PWY	68	0	4	4
ThomasAM_2018b	PWY-7357	48	0	3	6
ThomasAM_2018b	PWY-5154	8	0	0	9
ThomasAM_2018b	PWY-6936	59	0	4	5
ThomasAM_2018b	HSERMETANA-PWY	44	0	0	4
ThomasAM_2018b	OANTIGEN-PWY	12	0	1	10
ThomasAM_2018b	PWY-6897	18	0	0	5
ThomasAM_2018b	PWY-7237	47	0	4	10
ThomasAM_2018b	THISYN-PWY	7	0	0	12
ThomasAM_2018b	COBALSYN-PWY	18	0	1	9
ThomasAM_2018b	THISYNARA-PWY	31	0	5	7
ThomasAM_2018b	GLYCOLYSIS	5	0	0	12
ThomasAM_2018b	TRPSYN-PWY	42	0	1	7
ThomasAM_2018b	GLUCONEO-PWY	4	0	0	13
ThomasAM_2018b	PWY-5971	1	0	0	31
ThomasAM_2018b	PWYG-321	4	0	0	205
ThomasAM_2018b	PWY-7664	5	0	0	14
ThomasAM_2018b	PWY-6892	28	0	2	8
ThomasAM_2018b	ARGININE-SYN4-PWY	25	0	1	4
ThomasAM_2018b	DENOVOPURINE2-PWY	5	0	0	27
ThomasAM_2018b	PWY-5484	5	0	0	11
ThomasAM_2018b	PWY-841	2	0	0	21
ThomasAM_2018b	PWY0-862	6	0	0	6
ThomasAM_2018b	BIOTIN-BIOSYNTHESIS-PWY	3	0	0	16
ThomasAM_2018b	PWY-6282	5	0	0	9
ThomasAM_2018b	FASYN-INITIAL-PWY	4	0	1	6
ThomasAM_2018b	PWY-6519	3	0	0	11
ThomasAM_2018b	PHOSLIPSYN-PWY	4	0	0	10
ThomasAM_2018b	UDPNAGSYN-PWY	43	0	1	5
ThomasAM_2018b	PWY-5989	4	0	0	6
ThomasAM_2018b	PWY0-162	6	0	0	9
ThomasAM_2018b	MET-SAM-PWY	6	0	0	9
ThomasAM_2018b	PWY-6305	7	0	0	4
ThomasAM_2018b	PWY-5347	4	0	0	9
ThomasAM_2018b	ARG+POLYAMINE-SYN	1	0	0	17
ThomasAM_2018b	METSYN-PWY	6	0	0	8
ThomasAM_2018b	PWY-7187	6	0	0	7
ThomasAM_2018b	PWY0-166	8	0	0	14
ThomasAM_2018b	PWY-6895	1	0	0	11
ThomasAM_2018b	PWY-6353	5	0	0	11
ThomasAM_2018b	PWY-6125	31	0	3	8
ThomasAM_2018b	HEXITOLDEGSUPER-PWY	1	0	0	19
ThomasAM_2018b	PWY-7228	34	0	5	6
ThomasAM_2018b	PWY66-409	5	0	0	17
ThomasAM_2018b	PWY4FS-7	10	0	0	6
ThomasAM_2018b	PWY4FS-8	10	0	0	6
ThomasAM_2018b	PRPP-PWY	1	0	0	49
ThomasAM_2018b	RHAMCAT-PWY	21	0	0	5
ThomasAM_2018b	CITRULBIO-PWY	4	0	0	8
ThomasAM_2018b	PWY-5188	23	0	1	6
ThomasAM_2018b	GLCMANNANAUT-PWY	7	0	0	5
ThomasAM_2018b	SALVADEHYPOX-PWY	6	0	0	5
ThomasAM_2018b	PWY0-1261	1	0	0	12
ThomasAM_2018b	PWY-6901	1	0	0	17
ThomasAM_2018b	COLANSYN-PWY	2	0	0	12
ThomasAM_2018b	P441-PWY	1	0	0	21
ThomasAM_2018b	PWY-4984	3	0	0	5
ThomasAM_2018b	DAPLYSINESYN-PWY	6	0	0	9
ThomasAM_2018b	PWY-7282	8	0	0	10
ThomasAM_2018b	PWY-5104	13	0	0	6
ThomasAM_2018b	POLYAMSYN-PWY	1	0	0	8
ThomasAM_2018b	PWY-7184	9	0	0	9
ThomasAM_2018b	METH-ACETATE-PWY	4	0	0	6
ThomasAM_2018b	PWY-6545	3	0	0	9
ThomasAM_2018b	HOMOSER-METSYN-PWY	6	0	0	5
ThomasAM_2018b	PWY-4041	13	0	0	6
ThomasAM_2018b	PWY-5659	22	0	1	4
ThomasAM_2018b	PWY-7323	2	0	0	6
ThomasAM_2018b	PWY-7234	23	0	3	6
ThomasAM_2018b	PWY-6628	1	0	0	10
ThomasAM_2018b	GLUCUROCAT-PWY	3	0	0	7
ThomasAM_2018b	PWY-7456	4	0	0	7
ThomasAM_2018b	TCA	1	0	0	11
ThomasAM_2018b	P461-PWY	2	0	0	20
ThomasAM_2018b	PWY-2941	16	0	1	9
ThomasAM_2018b	PWY0-1061	8	0	0	6
ThomasAM_2018b	GALACT-GLUCUROCAT-PWY	1	0	0	11
ThomasAM_2018b	SULFATE-CYS-PWY	1	0	0	9
ThomasAM_2018b	PWY-6606	5	0	0	4
ThomasAM_2018b	PWY-6629	1	0	0	14
ThomasAM_2018b	PYRIDNUCSAL-PWY	2	0	0	7
ThomasAM_2018b	FERMENTATION-PWY	1	0	0	17
ThomasAM_2018b	PWY-6969	1	0	0	10
ThomasAM_2018b	PWY0-1297	10	0	0	7
ThomasAM_2018b	FAO-PWY	1	0	0	7
ThomasAM_2018b	PWY0-781	1	0	0	25
ThomasAM_2018b	GLYCOLYSIS-E-D	1	0	0	16
ThomasAM_2018b	PENTOSE-P-PWY	6	0	0	8
ThomasAM_2018b	PWY-5136	1	0	0	5
ThomasAM_2018b	P4-PWY	1	0	0	18
ThomasAM_2018b	PWY0-845	15	0	2	11
ThomasAM_2018b	PWY-6284	1	0	0	20
ThomasAM_2018b	PWY-6147	25	0	3	5
ThomasAM_2018b	PWY-6285	1	0	0	53
ThomasAM_2018b	PWY-5690	1	0	0	10
ThomasAM_2018b	PWY-1269	13	0	1	5
ThomasAM_2018b	FUC-RHAMCAT-PWY	1	0	0	12
ThomasAM_2018b	PWY-1861	3	0	0	9
ThomasAM_2018b	PYRIDOXSYN-PWY	17	0	2	7
ThomasAM_2018b	LACTOSECAT-PWY	13	0	0	4
ThomasAM_2018b	GLYCOLYSIS-TCA-GLYOX-BYPASS	1	0	0	26
ThomasAM_2018b	PWY-7117	1	0	0	14
ThomasAM_2018b	HISDEG-PWY	35	0	4	4
ThomasAM_2018b	PWY-6891	4	0	0	7
ThomasAM_2018b	PWY-5838	1	0	0	10
ThomasAM_2018b	PWY-5913	1	0	0	9
ThomasAM_2018b	GLYCOCAT-PWY	7	0	0	8
ThomasAM_2018b	ENTBACSYN-PWY	1	0	0	11
ThomasAM_2018b	PWY-5897	1	0	0	10
ThomasAM_2018b	PWY-5898	1	0	0	10
ThomasAM_2018b	PWY-5899	1	0	0	10
ThomasAM_2018b	PWY-5030	23	0	5	6
ThomasAM_2018b	FUCCAT-PWY	3	0	0	4
ThomasAM_2018b	FOLSYN-PWY	1	0	0	12
ThomasAM_2018b	PWY-5723	1	0	0	10
ThomasAM_2018b	PWY-6630	1	0	0	10
ThomasAM_2018b	SO4ASSIM-PWY	1	0	0	4
ThomasAM_2018b	TEICHOICACID-PWY	3	0	1	12
ThomasAM_2018b	POLYISOPRENSYN-PWY	1	0	0	6
ThomasAM_2018b	PWY0-1479	1	0	0	10
ThomasAM_2018b	HEMESYN2-PWY	1	0	0	4
ThomasAM_2018b	P105-PWY	1	0	0	10
ThomasAM_2018b	KETOGLUCONMET-PWY	1	0	0	8
ThomasAM_2018b	PWY-5861	1	0	0	9
ThomasAM_2018b	NAGLIPASYN-PWY	6	0	0	6
ThomasAM_2018b	TCA-GLYOX-BYPASS	1	0	0	13
ThomasAM_2018b	PWY-5845	1	0	0	10
ThomasAM_2018b	PWY-7254	1	0	0	10
ThomasAM_2018b	PWY-6731	1	0	1	4
ThomasAM_2018b	PWY-6612	1	0	0	10
ThomasAM_2018b	PWY-7328	1	0	0	6
ThomasAM_2018b	PWY-561	1	0	0	15
ThomasAM_2018b	GALACTARDEG-PWY	2	0	0	4
ThomasAM_2018b	GLUCARGALACTSUPER-PWY	2	0	0	4
ThomasAM_2018b	PWY-5918	1	0	0	10
ThomasAM_2018b	PWY-7013	5	0	0	5
ThomasAM_2018b	GOLPDLCAT-PWY	5	0	0	4
ThomasAM_2018b	PWY-5840	1	0	0	10
ThomasAM_2018b	PWY-5850	1	0	0	10
ThomasAM_2018b	PWY-5896	1	0	0	10
ThomasAM_2018b	PWY-6803	1	0	0	4
ThomasAM_2018b	PWY-5384	8	0	0	4
ThomasAM_2018b	GLUCOSE1PMETAB-PWY	7	0	0	5
ThomasAM_2018b	PWY-4702	1	0	0	14
ThomasAM_2018b	PWY0-1298	1	0	0	6
ThomasAM_2018b	PWY-5367	2	0	0	6
ThomasAM_2018b	HEME-BIOSYNTHESIS-II	3	0	0	4
ThomasAM_2018b	METHGLYUT-PWY	1	0	0	8
ThomasAM_2018b	PWY-7315	5	0	0	4
ThomasAM_2018b	GLUCARDEG-PWY	1	0	0	4
ThomasAM_2018b	PWY-6531	1	0	0	5
ThomasAM_2018b	PWY-5862	1	0	0	9
ThomasAM_2018b	NAD-BIOSYNTHESIS-II	2	0	0	5
ThomasAM_2018b	PWY-5863	1	0	0	16
ThomasAM_2018b	PWY-5189	1	0	0	4
ThomasAM_2018b	PWY-5837	1	0	0	7
ThomasAM_2018b	PWY-5675	1	0	0	4
ThomasAM_2018b	PWY-5860	1	0	0	9
ThomasAM_2018b	PWY-6588	3	0	0	5
ThomasAM_2018b	PWY-7204	1	0	0	9
ThomasAM_2018b	PWY0-1415	1	0	0	6
ThomasAM_2018b	PWY4LZ-257	1	0	0	9
ThomasAM_2018b	PWY0-1241	5	0	0	5
ThomasAM_2018b	PWY-5656	1	0	0	4
ThomasAM_2018b	PWY-5920	1	0	0	8
ThomasAM_2018b	P161-PWY	2	0	0	5
ThomasAM_2018b	PWY-7312	2	0	0	4
ThomasAM_2018b	PWY0-42	1	0	0	5
ThomasAM_2018b	PWY-5747	1	0	0	6
ThomasAM_2018b	PWY-7094	1	0	0	6
ThomasAM_2018b	AST-PWY	1	0	0	5
ThomasAM_2018b	P125-PWY	4	0	0	5
ThomasAM_2018b	PWY-5941	4	0	0	6
ThomasAM_2018b	P122-PWY	1	0	0	18
ThomasAM_2018b	PWY-5138	2	0	0	5
ThomasAM_2018b	PWY-7446	1	0	0	5
ThomasAM_2018b	GLYCOL-GLYOXDEG-PWY	1	0	0	4
ThomasAM_2018b	PWY-6823	1	0	0	6
ThomasAM_2018b	UBISYN-PWY	1	0	0	13
ThomasAM_2018b	PWY-5705	1	0	1	4
ThomasAM_2018b	KDO-NAGLIPASYN-PWY	1	0	0	17
ThomasAM_2018b	PWY-5855	1	0	0	8
ThomasAM_2018b	PWY-5856	1	0	0	8
ThomasAM_2018b	PWY-5857	1	0	0	8
ThomasAM_2018b	PWY-6708	1	0	0	8
ThomasAM_2018b	PWY0-41	1	0	0	8
ThomasAM_2018b	PWY-6837	1	0	1	5
ThomasAM_2018b	PWY-6471	2	0	0	16
ThomasAM_2018b	NONMEVIPP-PWY	5	0	0	9
ThomasAM_2018b	PWY-6167	2	0	2	10
ThomasAM_2018b	PWY-5101	2	0	2	8
ThomasAM_2018b	P124-PWY	2	0	0	15
ThomasAM_2018b	PWY-5005	1	0	0	8
ThomasAM_2018b	METHANOGENESIS-PWY	2	0	2	6
ThomasAM_2018b	PWY-7316	2	0	0	4
ThomasAM_2018b	PWY-6349	2	0	2	6
ThomasAM_2018b	PWY-5198	2	0	2	6
ThomasAM_2018b	PWY-6749	1	0	0	10
ThomasAM_2018b	AEROBACTINSYN-PWY	1	0	0	4
ThomasAM_2018b	PWY-6859	1	0	0	4
ThomasAM_2018b	PWY-6876	1	0	0	5
ThomasAM_2018b	PWY-6572	1	0	0	8
ThomasAM_2018b	ORNDEG-PWY	1	0	0	9
ThomasAM_2018b	ARGDEG-PWY	1	0	1	11
ThomasAM_2018b	ORNARGDEG-PWY	1	0	1	11
ThomasAM_2018b	PPGPPMET-PWY	1	0	0	6
ThomasAM_2018b	PWY0-1277	1	0	0	9
ThomasAM_2018b	PWY66-389	1	0	0	4
ThomasAM_2018b	ECASYN-PWY	1	0	0	10
ThomasAM_2018b	HCAMHPDEG-PWY	1	0	0	5
ThomasAM_2018b	PWY-6690	1	0	0	5
ThomasAM_2018b	PWY-7269	1	0	0	5
ThomasAM_2018b	LPSSYN-PWY	1	0	0	26
ThomasAM_2018b	PWY0-1338	1	0	0	6
ThomasAM_2018b	PWY-7371	3	0	0	5
ThomasAM_2018b	PWY-6953	1	0	0	5
ThomasAM_2018b	PWY-6478	1	0	0	4
ThomasAM_2018b	PWY-7198	2	0	0	7
ThomasAM_2018b	PWY-6143	1	0	0	6
ThomasAM_2019_c	ILEUSYN-PWY	85	0	3	7
ThomasAM_2019_c	PWY-7111	138	0	9	5
ThomasAM_2019_c	VALSYN-PWY	141	0	12	4
ThomasAM_2019_c	PWY-1042	81	0	7	10
ThomasAM_2019_c	TRNA-CHARGING-PWY	59	0	4	21
ThomasAM_2019_c	PWY-5686	123	0	5	6
ThomasAM_2019_c	PWY-7229	39	0	3	8
ThomasAM_2019_c	CALVIN-PWY	37	0	0	13
ThomasAM_2019_c	PWY-6387	127	0	6	8
ThomasAM_2019_c	PEPTIDOGLYCANSYN-PWY	120	0	7	10
ThomasAM_2019_c	PWY-6386	110	0	5	8
ThomasAM_2019_c	PWY-6385	102	0	7	14
ThomasAM_2019_c	PWY-6609	123	0	6	4
ThomasAM_2019_c	PWY0-1586	55	0	2	12
ThomasAM_2019_c	PWY-6126	39	0	3	8
ThomasAM_2019_c	PWY-5695	77	0	4	4
ThomasAM_2019_c	PWY-7221	129	0	7	4
ThomasAM_2019_c	PWY-6122	144	0	13	5
ThomasAM_2019_c	PWY-6277	144	0	13	5
ThomasAM_2019_c	DTDPRHAMSYN-PWY	101	0	7	4
ThomasAM_2019_c	BRANCHED-CHAIN-AA-SYN-PWY	84	0	3	19
ThomasAM_2019_c	COA-PWY-1	133	0	8	5
ThomasAM_2019_c	PWY0-1319	88	0	4	4
ThomasAM_2019_c	PWY-5667	86	0	4	4
ThomasAM_2019_c	ARO-PWY	61	0	2	7
ThomasAM_2019_c	PWY-3841	94	0	5	11
ThomasAM_2019_c	PWY-6163	89	0	5	5
ThomasAM_2019_c	PWY-6121	127	0	8	5
ThomasAM_2019_c	COMPLETE-ARO-PWY	51	0	2	17
ThomasAM_2019_c	PWY-5103	84	0	3	7
ThomasAM_2019_c	1CMET2-PWY	87	0	4	9
ThomasAM_2019_c	COA-PWY	117	0	7	4
ThomasAM_2019_c	ANAGLYCOLYSIS-PWY	26	0	1	11
ThomasAM_2019_c	PWY-5097	98	0	10	7
ThomasAM_2019_c	PWY-2942	99	0	7	8
ThomasAM_2019_c	PWY-7220	72	0	7	4
ThomasAM_2019_c	PWY-7222	72	0	7	4
ThomasAM_2019_c	NONOXIPENT-PWY	54	0	4	5
ThomasAM_2019_c	PWY-7400	62	0	4	14
ThomasAM_2019_c	ARGSYN-PWY	63	0	4	9
ThomasAM_2019_c	PWY-3001	39	0	0	13
ThomasAM_2019_c	ARGSYNBSUB-PWY	75	0	4	9
ThomasAM_2019_c	PWY-6151	94	0	6	4
ThomasAM_2019_c	PWY-6700	120	0	5	4
ThomasAM_2019_c	ANAEROFRUCAT-PWY	1	0	0	14
ThomasAM_2019_c	PWY-724	39	0	3	10
ThomasAM_2019_c	GLYCOLYSIS	7	0	0	12
ThomasAM_2019_c	HISTSYN-PWY	70	0	4	11
ThomasAM_2019_c	PWY-5973	29	0	4	5
ThomasAM_2019_c	PANTOSYN-PWY	61	0	2	9
ThomasAM_2019_c	GLUTORN-PWY	66	0	2	5
ThomasAM_2019_c	RIBOSYN2-PWY	77	0	4	9
ThomasAM_2019_c	THRESYN-PWY	51	0	1	6
ThomasAM_2019_c	PWY-5484	6	0	0	11
ThomasAM_2019_c	PYRIDNUCSYN-PWY	39	0	1	6
ThomasAM_2019_c	PANTO-PWY	72	0	2	4
ThomasAM_2019_c	PHOSLIPSYN-PWY	8	0	0	10
ThomasAM_2019_c	GLUCONEO-PWY	4	0	0	13
ThomasAM_2019_c	DENOVOPURINE2-PWY	6	0	0	27
ThomasAM_2019_c	PWY-841	2	0	0	21
ThomasAM_2019_c	HSERMETANA-PWY	49	0	6	4
ThomasAM_2019_c	SALVADEHYPOX-PWY	13	0	0	5
ThomasAM_2019_c	PWY-6123	74	0	5	6
ThomasAM_2019_c	SER-GLYSYN-PWY	71	0	4	4
ThomasAM_2019_c	OANTIGEN-PWY	12	0	0	10
ThomasAM_2019_c	PWY-6936	64	0	3	5
ThomasAM_2019_c	PWYG-321	4	0	0	205
ThomasAM_2019_c	PWY-6168	45	0	1	9
ThomasAM_2019_c	PWY-5971	1	0	0	31
ThomasAM_2019_c	PWY-7664	7	0	0	14
ThomasAM_2019_c	PWY-6124	74	0	4	5
ThomasAM_2019_c	TRPSYN-PWY	50	0	2	7
ThomasAM_2019_c	PWY-6527	35	0	1	7
ThomasAM_2019_c	THISYN-PWY	7	0	0	12
ThomasAM_2019_c	PWY-6125	38	0	2	8
ThomasAM_2019_c	PWY0-166	14	0	2	14
ThomasAM_2019_c	PWY0-862	10	0	0	6
ThomasAM_2019_c	PWY-6317	38	0	2	5
ThomasAM_2019_c	PWY-6282	7	0	0	9
ThomasAM_2019_c	PWY-7187	8	0	1	7
ThomasAM_2019_c	PWY-5154	10	0	0	9
ThomasAM_2019_c	FASYN-INITIAL-PWY	6	0	0	6
ThomasAM_2019_c	PWY-7228	40	0	3	6
ThomasAM_2019_c	PWY-6895	1	0	0	11
ThomasAM_2019_c	GLYCOGENSYNTH-PWY	51	0	2	4
ThomasAM_2019_c	HEXITOLDEGSUPER-PWY	1	0	0	19
ThomasAM_2019_c	PWY-6629	1	0	0	14
ThomasAM_2019_c	PWY4FS-7	13	0	0	6
ThomasAM_2019_c	PWY4FS-8	13	0	0	6
ThomasAM_2019_c	PWY-6897	22	0	0	5
ThomasAM_2019_c	UDPNAGSYN-PWY	53	0	4	5
ThomasAM_2019_c	PWY0-1261	5	0	0	12
ThomasAM_2019_c	PRPP-PWY	1	0	0	49
ThomasAM_2019_c	PWY-6901	1	0	0	17
ThomasAM_2019_c	ARG+POLYAMINE-SYN	1	0	0	17
ThomasAM_2019_c	MET-SAM-PWY	9	0	0	9
ThomasAM_2019_c	PWY-5989	6	0	0	6
ThomasAM_2019_c	PWY-6703	64	0	6	4
ThomasAM_2019_c	PWY-7357	52	0	3	6
ThomasAM_2019_c	PWY-5347	8	0	0	9
ThomasAM_2019_c	PWY0-162	6	0	0	9
ThomasAM_2019_c	METSYN-PWY	11	0	0	8
ThomasAM_2019_c	P461-PWY	4	0	0	20
ThomasAM_2019_c	PWY-6353	6	0	0	11
ThomasAM_2019_c	PWY-1269	14	0	1	5
ThomasAM_2019_c	GLYCOLYSIS-E-D	1	0	0	16
ThomasAM_2019_c	P441-PWY	1	0	0	21
ThomasAM_2019_c	PWY-7184	15	0	2	9
ThomasAM_2019_c	TCA	2	0	0	11
ThomasAM_2019_c	PENTOSE-P-PWY	13	0	0	8
ThomasAM_2019_c	PWY-7282	12	0	0	10
ThomasAM_2019_c	THISYNARA-PWY	30	0	0	7
ThomasAM_2019_c	PWY-6519	4	0	0	11
ThomasAM_2019_c	BIOTIN-BIOSYNTHESIS-PWY	3	0	0	16
ThomasAM_2019_c	SULFATE-CYS-PWY	3	0	0	9
ThomasAM_2019_c	GLYCOLYSIS-TCA-GLYOX-BYPASS	1	0	0	26
ThomasAM_2019_c	PWY-6628	1	0	0	10
ThomasAM_2019_c	PWY66-409	4	0	2	17
ThomasAM_2019_c	PWY-7234	22	0	0	6
ThomasAM_2019_c	COLANSYN-PWY	2	0	0	12
ThomasAM_2019_c	POLYAMSYN-PWY	2	0	0	8
ThomasAM_2019_c	PWY0-781	1	0	0	25
ThomasAM_2019_c	PWY-5104	15	0	0	6
ThomasAM_2019_c	DAPLYSINESYN-PWY	8	0	0	9
ThomasAM_2019_c	PWY-6892	28	0	3	8
ThomasAM_2019_c	PWY0-1297	13	0	0	7
ThomasAM_2019_c	PWY-5723	2	0	0	10
ThomasAM_2019_c	PWY-6305	11	0	2	4
ThomasAM_2019_c	P4-PWY	1	0	0	18
ThomasAM_2019_c	PWY-6630	1	0	0	10
ThomasAM_2019_c	PWY0-1479	4	0	1	10
ThomasAM_2019_c	PWY-7323	2	0	0	6
ThomasAM_2019_c	PWY-5913	6	0	1	9
ThomasAM_2019_c	PWY-5659	25	0	0	4
ThomasAM_2019_c	PWY-7117	4	0	0	14
ThomasAM_2019_c	CITRULBIO-PWY	4	0	0	8
ThomasAM_2019_c	FAO-PWY	4	0	0	7
ThomasAM_2019_c	PWY-6471	3	0	0	16
