cohort	pathway_id	size	hits	n_strata_cols
ThomasAM_2018a	KETOGLUCONMET-PWY	8	12	12
ThomasAM_2018a	POLYAMSYN-PWY	8	15	15
ThomasAM_2018a	PWY0-1415	6	9	9
ThomasAM_2018a	PWY-5675	4	11	11
ThomasAM_2018a	PWY0-1277	9	10	10
ThomasAM_2018a	PWY-6147	5	67	67
ThomasAM_2018a	GOLPDLCAT-PWY	4	17	17
ThomasAM_2018a	NAD-BIOSYNTHESIS-II	5	25	25
ThomasAM_2018a	PWY-7323	6	9	9
ThomasAM_2018a	PWY-5837	7	22	22
ThomasAM_2018a	PPGPPMET-PWY	6	21	21
ThomasAM_2018a	PWY-5367	6	17	17
ThomasAM_2018a	PWY-7385	9	1	1
ThomasAM_2018a	PWY-5920	8	5	5
ThomasAM_2018a	PWY-6531	5	5	5
ThomasAM_2018a	PWY-5863	16	12	12
ThomasAM_2018a	HCAMHPDEG-PWY	5	10	10
ThomasAM_2018a	PWY-6690	5	10	10
ThomasAM_2018a	PWY-6630	10	8	8
ThomasAM_2018a	PWY-5189	4	16	16
ThomasAM_2018a	CITRULBIO-PWY	8	14	14
ThomasAM_2018a	PWY-7204	9	8	8
ThomasAM_2018a	PWY-4702	14	7	7
ThomasAM_2018a	PWY-2941	9	37	37
ThomasAM_2018a	P185-PWY	12	11	11
ThomasAM_2018a	UBISYN-PWY	13	13	13
ThomasAM_2018a	PWY0-42	5	7	7
ThomasAM_2018a	ECASYN-PWY	10	14	14
ThomasAM_2018a	P164-PWY	15	10	10
ThomasAM_2018a	PWY-1861	9	9	9
ThomasAM_2018a	PWY-5855	8	21	21
ThomasAM_2018a	PWY-5856	8	21	21
ThomasAM_2018a	PWY-5857	8	21	21
ThomasAM_2018a	PWY-6708	8	21	21
ThomasAM_2018a	PWY-5747	6	7	7
ThomasAM_2018a	METHGLYUT-PWY	8	3	3
ThomasAM_2018a	AST-PWY	5	9	9
ThomasAM_2018a	HISDEG-PWY	4	84	84
ThomasAM_2018a	PWY-6859	4	14	14
ThomasAM_2018a	P122-PWY	18	6	6
ThomasAM_2018a	PWY-7446	5	6	6
ThomasAM_2018a	PWY-6837	5	15	15
ThomasAM_2018a	PWY-4984	5	14	14
ThomasAM_2018a	GLYCOL-GLYOXDEG-PWY	4	5	5
ThomasAM_2018a	ARGDEG-PWY	11	6	6
ThomasAM_2018a	ORNARGDEG-PWY	11	6	6
ThomasAM_2018a	PWY-3781	4	11	11
ThomasAM_2018a	ARGININE-SYN4-PWY	4	42	42
ThomasAM_2018a	LPSSYN-PWY	26	2	2
ThomasAM_2018a	PWY-5656	4	2	2
ThomasAM_2018a	PWY0-1338	6	18	18
ThomasAM_2018a	PWY-7279	4	9	9
ThomasAM_2018a	PWY-5677	7	1	1
ThomasAM_2018a	FOLSYN-PWY	12	4	4
ThomasAM_2018a	PWY-5030	6	31	31
ThomasAM_2018a	PWY-6876	5	1	1
ThomasAM_2018a	KDO-NAGLIPASYN-PWY	17	6	6
ThomasAM_2018a	AEROBACTINSYN-PWY	4	6	6
ThomasAM_2018a	PWY-6731	4	5	5
ThomasAM_2018a	PWY-6612	10	4	4
ThomasAM_2018a	NONMEVIPP-PWY	9	10	10
ThomasAM_2018a	PWY-6823	6	3	3
ThomasAM_2018a	PWY-5705	4	3	3
ThomasAM_2018a	PWY-6749	10	3	3
ThomasAM_2018a	LACTOSECAT-PWY	4	23	23
ThomasAM_2018a	PWY0-41	8	3	3
ThomasAM_2018a	PWY0-1533	4	2	2
ThomasAM_2018a	P162-PWY	10	1	1
ThomasAM_2018a	PWY-6595	6	6	6
ThomasAM_2018a	P163-PWY	10	3	3
ThomasAM_2018a	PWY-7316	4	3	3
ThomasAM_2018a	PWY-7198	7	17	17
ThomasAM_2018a	PWYG-321	205	7	7
ThomasAM_2018a	P124-PWY	15	4	4
ThomasAM_2018a	PWY-6953	5	2	2
ThomasAM_2018a	PWY-6545	9	14	14
ThomasAM_2018a	PWY-5941	6	5	5
ThomasAM_2018a	PWY-7456	7	4	4
ThomasAM_2018a	PWY-6143	6	1	1
ThomasAM_2018a	TEICHOICACID-PWY	12	6	6
ThomasAM_2018a	PWY-7371	5	7	7
ThomasAM_2018a	PWY-7312	4	2	2
ThomasAM_2018a	PWY-7328	6	3	3
ThomasAM_2018a	METH-ACETATE-PWY	6	5	5
ThomasAM_2018a	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	8	5	5
ThomasAM_2018a	PWY-7269	5	6	6
ThomasAM_2018a	PWY-5265	17	1	1
ThomasAM_2018a	PWY-7211	18	5	5
ThomasAM_2018a	PWY-7200	9	1	1
ThomasAM_2018a	PWY-622	10	3	3
ThomasAM_2018a	PWY-5022	7	2	2
ThomasAM_2018a	PWY66-389	4	12	12
ThomasAM_2018a	P125-PWY	5	9	9
ThomasAM_2018a	RUMP-PWY	6	2	2
ThomasAM_2018a	PWY-5005	8	5	5
ThomasAM_2018a	P221-PWY	5	6	6
ThomasAM_2018a	PWY3DJ-35471	10	5	5
ThomasAM_2018a	PWY-5910	10	2	2
ThomasAM_2018a	PWY-922	7	3	3
ThomasAM_2018a	PWY0-881	17	3	3
ThomasAM_2018a	PWY-7210	8	9	9
ThomasAM_2018a	PWY-7165	7	5	5
ThomasAM_2018a	GLUDEG-I-PWY	4	3	3
ThomasAM_2018a	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	4	5	5
ThomasAM_2018a	PWY-4321	5	2	2
ThomasAM_2018a	CATECHOL-ORTHO-CLEAVAGE-PWY	4	5	5
ThomasAM_2018a	PWY-1541	6	1	1
ThomasAM_2018a	PWY-7039	5	2	2
ThomasAM_2018a	PWY-5505	7	2	2
ThomasAM_2018a	REDCITCYC	10	3	3
ThomasAM_2018a	THREOCAT-PWY	19	6	6
ThomasAM_2018a	PWY-5417	6	5	5
ThomasAM_2018a	PWY-5431	6	5	5
ThomasAM_2018a	PWY-6318	9	6	6
ThomasAM_2018a	PWY-6182	7	3	3
ThomasAM_2018a	PWY-6185	7	6	6
ThomasAM_2018a	PWY-5181	12	3	3
ThomasAM_2018a	PWY-7209	5	1	1
ThomasAM_2018a	PWY-6071	12	2	2
ThomasAM_2018a	PWY0-321	10	2	2
ThomasAM_2018a	PWY-5692	4	3	3
ThomasAM_2018a	URDEGR-PWY	4	3	3
ThomasAM_2018a	PWY-6572	8	1	1
ThomasAM_2018a	PWY-6467	5	1	1
ThomasAM_2018a	PWY-6478	4	2	2
ThomasAM_2018a	PWY-7290	6	1	1
ThomasAM_2018a	PWY-3801	19	1	1
ThomasAM_2018a	PWY-7345	15	1	1
ThomasAM_2018a	PWY-7196	10	2	2
ThomasAM_2018a	PWY-5654	4	1	1
ThomasAM_2018a	PWY-6210	4	1	1
ThomasAM_2018a	URSIN-PWY	7	1	1
ThomasAM_2018a	PWY5F9-12	5	1	1
ThomasAM_2018a	P562-PWY	7	2	2
ThomasAM_2018a	PWY-6215	4	1	1
ThomasAM_2018a	PWY-5345	12	1	1
ThomasAM_2018a	PWY-7560	9	1	1
ThomasAM_2018a	PWY-821	11	1	1
ThomasAM_2018a	PWY-7391	8	1	1
ThomasAM_2018a	PWY-6396	9	2	2
ThomasAM_2018a	PWY-6470	17	2	2
ThomasAM_2018a	UDPNACETYLGALSYN-PWY	6	1	1
ThomasAM_2018a	PWY-7268	5	3	3
ThomasAM_2018a	PWY-6797	7	1	1
ThomasAM_2018a	PWY-7115	11	2	2
ThomasAM_2018a	P108-PWY	7	3	3
ThomasAM_2018a	PWY-5028	5	6	6
ThomasAM_2018a	PWY-7245	8	1	1
ThomasAM_2018a	ALLANTOINDEG-PWY	7	1	1
ThomasAM_2018a	PWY-5534	7	1	1
ThomasAM_2018a	PWY-7031	6	1	1
ThomasAM_2018a	PWY-241	7	1	1
ThomasAM_2018a	PWY-6113	268	1	1
ThomasAM_2018a	PWY-4361	8	1	1
ThomasAM_2018a	PWY1F-823	4	4	4
ThomasAM_2018b	PWY-1042	10	148	148
ThomasAM_2018b	ILEUSYN-PWY	7	155	155
ThomasAM_2018b	PWY-7111	5	268	268
ThomasAM_2018b	VALSYN-PWY	4	272	272
ThomasAM_2018b	PWY-5686	6	258	258
ThomasAM_2018b	PWY-6163	5	170	170
ThomasAM_2018b	PWY-6609	4	258	258
ThomasAM_2018b	PWY-6386	8	242	242
ThomasAM_2018b	PWY-7221	4	291	291
ThomasAM_2018b	PWY-6387	8	280	280
ThomasAM_2018b	ARO-PWY	7	122	122
ThomasAM_2018b	TRNA-CHARGING-PWY	21	139	139
ThomasAM_2018b	PEPTIDOGLYCANSYN-PWY	10	269	269
ThomasAM_2018b	DTDPRHAMSYN-PWY	4	237	237
ThomasAM_2018b	PWY-6700	4	247	247
ThomasAM_2018b	BRANCHED-CHAIN-AA-SYN-PWY	19	151	151
ThomasAM_2018b	CALVIN-PWY	13	78	78
ThomasAM_2018b	PWY-6385	14	216	216
ThomasAM_2018b	COA-PWY-1	5	299	299
ThomasAM_2018b	COMPLETE-ARO-PWY	17	99	99
ThomasAM_2018b	PWY-6151	4	218	218
ThomasAM_2018b	PWY-5103	7	154	154
ThomasAM_2018b	PWY-5667	4	180	180
ThomasAM_2018b	PWY0-1319	4	182	182
ThomasAM_2018b	PWY-5097	7	197	197
ThomasAM_2018b	PWY-6121	5	274	274
ThomasAM_2018b	PWY-3841	11	214	214
ThomasAM_2018b	ARGSYN-PWY	9	130	130
ThomasAM_2018b	PWY-7400	14	128	128
ThomasAM_2018b	RIBOSYN2-PWY	9	157	157
ThomasAM_2018b	ARGSYNBSUB-PWY	9	155	155
ThomasAM_2018b	PWY-6122	5	313	313
ThomasAM_2018b	PWY-6277	5	313	313
ThomasAM_2018b	1CMET2-PWY	9	165	165
ThomasAM_2018b	PWY-2942	8	200	200
ThomasAM_2018b	PANTOSYN-PWY	9	120	120
ThomasAM_2018b	PANTO-PWY	4	152	152
ThomasAM_2018b	COA-PWY	4	259	259
ThomasAM_2018b	PWY-5695	4	150	150
ThomasAM_2018b	PWY-7229	8	71	71
ThomasAM_2018b	PWY0-1586	12	106	106
ThomasAM_2018b	PWY-6168	9	82	82
ThomasAM_2018b	PWY-724	10	80	80
ThomasAM_2018b	ANAGLYCOLYSIS-PWY	11	61	61
ThomasAM_2018b	PWY-6123	6	168	168
ThomasAM_2018b	PWY-6126	8	71	71
ThomasAM_2018b	GLUTORN-PWY	5	137	137
ThomasAM_2018b	HISTSYN-PWY	11	164	164
ThomasAM_2018b	PWY-3001	13	76	76
ThomasAM_2018b	PWY-6124	5	169	169
ThomasAM_2018b	PWY-7220	4	170	170
ThomasAM_2018b	PWY-7222	4	170	170
ThomasAM_2018b	GLYCOGENSYNTH-PWY	4	96	96
ThomasAM_2018b	PWY-5973	5	73	73
ThomasAM_2018b	THRESYN-PWY	6	107	107
ThomasAM_2018b	PYRIDNUCSYN-PWY	6	75	75
ThomasAM_2018b	PWY-6317	5	72	72
ThomasAM_2018b	ANAEROFRUCAT-PWY	14	10	10
ThomasAM_2018b	NONOXIPENT-PWY	5	123	123
ThomasAM_2018b	PWY-6527	7	78	78
ThomasAM_2018b	PWY-6703	4	130	130
ThomasAM_2018b	SER-GLYSYN-PWY	4	127	127
ThomasAM_2018b	PWY-7357	6	94	94
ThomasAM_2018b	PWY-5154	9	24	24
ThomasAM_2018b	PWY-6936	5	123	123
ThomasAM_2018b	HSERMETANA-PWY	4	77	77
ThomasAM_2018b	OANTIGEN-PWY	10	52	52
ThomasAM_2018b	PWY-6897	5	36	36
ThomasAM_2018b	PWY-7237	10	89	89
ThomasAM_2018b	THISYN-PWY	12	12	12
ThomasAM_2018b	COBALSYN-PWY	9	30	30
ThomasAM_2018b	THISYNARA-PWY	7	56	56
ThomasAM_2018b	GLYCOLYSIS	12	22	22
ThomasAM_2018b	TRPSYN-PWY	7	110	110
ThomasAM_2018b	GLUCONEO-PWY	13	13	13
ThomasAM_2018b	PWY-5971	31	5	5
ThomasAM_2018b	PWYG-321	205	6	6
ThomasAM_2018b	PWY-7664	14	26	26
ThomasAM_2018b	PWY-6892	8	42	42
ThomasAM_2018b	ARGININE-SYN4-PWY	4	42	42
ThomasAM_2018b	DENOVOPURINE2-PWY	27	14	14
ThomasAM_2018b	PWY-5484	11	21	21
ThomasAM_2018b	PWY-841	21	16	16
ThomasAM_2018b	PWY0-862	6	28	28
ThomasAM_2018b	BIOTIN-BIOSYNTHESIS-PWY	16	11	11
ThomasAM_2018b	PWY-6282	9	26	26
ThomasAM_2018b	FASYN-INITIAL-PWY	6	24	24
ThomasAM_2018b	PWY-6519	11	12	12
ThomasAM_2018b	PHOSLIPSYN-PWY	10	18	18
ThomasAM_2018b	UDPNAGSYN-PWY	5	141	141
ThomasAM_2018b	PWY-5989	6	21	21
ThomasAM_2018b	PWY0-162	9	17	17
ThomasAM_2018b	MET-SAM-PWY	9	20	20
ThomasAM_2018b	PWY-6305	4	25	25
ThomasAM_2018b	PWY-5347	9	15	15
ThomasAM_2018b	ARG+POLYAMINE-SYN	17	5	5
ThomasAM_2018b	METSYN-PWY	8	20	20
ThomasAM_2018b	PWY-7187	7	17	17
ThomasAM_2018b	PWY0-166	14	33	33
ThomasAM_2018b	PWY-6895	11	5	5
ThomasAM_2018b	PWY-6353	11	12	12
ThomasAM_2018b	PWY-6125	8	73	73
ThomasAM_2018b	HEXITOLDEGSUPER-PWY	19	8	8
ThomasAM_2018b	PWY-7228	6	84	84
ThomasAM_2018b	PWY66-409	17	10	10
ThomasAM_2018b	PWY4FS-7	6	26	26
ThomasAM_2018b	PWY4FS-8	6	25	25
ThomasAM_2018b	PRPP-PWY	49	3	3
ThomasAM_2018b	RHAMCAT-PWY	5	44	44
ThomasAM_2018b	CITRULBIO-PWY	8	11	11
ThomasAM_2018b	PWY-5188	6	79	79
ThomasAM_2018b	GLCMANNANAUT-PWY	5	40	40
ThomasAM_2018b	SALVADEHYPOX-PWY	5	21	21
ThomasAM_2018b	PWY0-1261	12	15	15
ThomasAM_2018b	PWY-6901	17	5	5
ThomasAM_2018b	COLANSYN-PWY	12	4	4
ThomasAM_2018b	P441-PWY	21	7	7
ThomasAM_2018b	PWY-4984	5	8	8
ThomasAM_2018b	DAPLYSINESYN-PWY	9	21	21
ThomasAM_2018b	PWY-7282	10	20	20
ThomasAM_2018b	PWY-5104	6	31	31
ThomasAM_2018b	POLYAMSYN-PWY	8	10	10
ThomasAM_2018b	PWY-7184	9	34	34
ThomasAM_2018b	METH-ACETATE-PWY	6	7	7
ThomasAM_2018b	PWY-6545	9	10	10
ThomasAM_2018b	HOMOSER-METSYN-PWY	5	21	21
ThomasAM_2018b	PWY-4041	6	29	29
ThomasAM_2018b	PWY-5659	4	42	42
ThomasAM_2018b	PWY-7323	6	5	5
ThomasAM_2018b	PWY-7234	6	67	67
ThomasAM_2018b	PWY-6628	10	5	5
ThomasAM_2018b	GLUCUROCAT-PWY	7	8	8
ThomasAM_2018b	PWY-7456	7	5	5
ThomasAM_2018b	TCA	11	8	8
ThomasAM_2018b	P461-PWY	20	16	16
ThomasAM_2018b	PWY-2941	9	44	44
ThomasAM_2018b	PWY0-1061	6	24	24
ThomasAM_2018b	GALACT-GLUCUROCAT-PWY	11	4	4
ThomasAM_2018b	SULFATE-CYS-PWY	9	7	7
ThomasAM_2018b	PWY-6606	4	14	14
ThomasAM_2018b	PWY-6629	14	5	5
ThomasAM_2018b	PYRIDNUCSAL-PWY	7	3	3
ThomasAM_2018b	FERMENTATION-PWY	17	11	11
ThomasAM_2018b	PWY-6969	10	4	4
ThomasAM_2018b	PWY0-1297	7	42	42
ThomasAM_2018b	FAO-PWY	7	12	12
ThomasAM_2018b	PWY0-781	25	3	3
ThomasAM_2018b	GLYCOLYSIS-E-D	16	5	5
ThomasAM_2018b	PENTOSE-P-PWY	8	27	27
ThomasAM_2018b	PWY-5136	5	10	10
ThomasAM_2018b	P4-PWY	18	5	5
ThomasAM_2018b	PWY0-845	11	25	25
ThomasAM_2018b	PWY-6284	20	7	7
ThomasAM_2018b	PWY-6147	5	53	53
ThomasAM_2018b	PWY-6285	53	5	5
ThomasAM_2018b	PWY-5690	10	5	5
ThomasAM_2018b	PWY-1269	5	39	39
ThomasAM_2018b	FUC-RHAMCAT-PWY	12	6	6
ThomasAM_2018b	PWY-1861	9	8	8
ThomasAM_2018b	PYRIDOXSYN-PWY	7	33	33
ThomasAM_2018b	LACTOSECAT-PWY	4	34	34
ThomasAM_2018b	GLYCOLYSIS-TCA-GLYOX-BYPASS	26	6	6
ThomasAM_2018b	PWY-7117	14	12	12
ThomasAM_2018b	HISDEG-PWY	4	81	81
ThomasAM_2018b	PWY-6891	7	12	12
ThomasAM_2018b	PWY-5838	10	6	6
ThomasAM_2018b	PWY-5913	9	14	14
ThomasAM_2018b	GLYCOCAT-PWY	8	11	11
ThomasAM_2018b	ENTBACSYN-PWY	11	3	3
ThomasAM_2018b	PWY-5897	10	6	6
ThomasAM_2018b	PWY-5898	10	6	6
ThomasAM_2018b	PWY-5899	10	6	6
ThomasAM_2018b	PWY-5030	6	35	35
ThomasAM_2018b	FUCCAT-PWY	4	13	13
ThomasAM_2018b	FOLSYN-PWY	12	5	5
ThomasAM_2018b	PWY-5723	10	7	7
ThomasAM_2018b	PWY-6630	10	5	5
ThomasAM_2018b	SO4ASSIM-PWY	4	16	16
ThomasAM_2018b	TEICHOICACID-PWY	12	6	6
ThomasAM_2018b	POLYISOPRENSYN-PWY	6	7	7
ThomasAM_2018b	PWY0-1479	10	13	13
ThomasAM_2018b	HEMESYN2-PWY	4	11	11
ThomasAM_2018b	P105-PWY	10	4	4
ThomasAM_2018b	KETOGLUCONMET-PWY	8	5	5
ThomasAM_2018b	PWY-5861	9	6	6
ThomasAM_2018b	NAGLIPASYN-PWY	6	21	21
ThomasAM_2018b	TCA-GLYOX-BYPASS	13	7	7
ThomasAM_2018b	PWY-5845	10	5	5
ThomasAM_2018b	PWY-7254	10	4	4
ThomasAM_2018b	PWY-6731	4	2	2
ThomasAM_2018b	PWY-6612	10	5	5
ThomasAM_2018b	PWY-7328	6	3	3
ThomasAM_2018b	PWY-561	15	4	4
ThomasAM_2018b	GALACTARDEG-PWY	4	11	11
ThomasAM_2018b	GLUCARGALACTSUPER-PWY	4	11	11
ThomasAM_2018b	PWY-5918	10	8	8
ThomasAM_2018b	PWY-7013	5	20	20
ThomasAM_2018b	GOLPDLCAT-PWY	4	16	16
ThomasAM_2018b	PWY-5840	10	5	5
ThomasAM_2018b	PWY-5850	10	5	5
ThomasAM_2018b	PWY-5896	10	5	5
ThomasAM_2018b	PWY-6803	4	9	9
ThomasAM_2018b	PWY-5384	4	25	25
ThomasAM_2018b	GLUCOSE1PMETAB-PWY	5	15	15
ThomasAM_2018b	PWY-4702	14	3	3
ThomasAM_2018b	PWY0-1298	6	20	20
ThomasAM_2018b	PWY-5367	6	14	14
ThomasAM_2018b	HEME-BIOSYNTHESIS-II	4	16	16
ThomasAM_2018b	METHGLYUT-PWY	8	1	1
ThomasAM_2018b	PWY-7315	4	18	18
ThomasAM_2018b	GLUCARDEG-PWY	4	9	9
ThomasAM_2018b	PWY-6531	5	4	4
ThomasAM_2018b	PWY-5862	9	5	5
ThomasAM_2018b	NAD-BIOSYNTHESIS-II	5	13	13
ThomasAM_2018b	PWY-5863	16	7	7
ThomasAM_2018b	PWY-5189	4	14	14
ThomasAM_2018b	PWY-5837	7	13	13
ThomasAM_2018b	PWY-5675	4	5	5
ThomasAM_2018b	PWY-5860	9	5	5
ThomasAM_2018b	PWY-6588	5	6	6
ThomasAM_2018b	PWY-7204	9	6	6
ThomasAM_2018b	PWY0-1415	6	5	5
ThomasAM_2018b	PWY4LZ-257	9	4	4
ThomasAM_2018b	PWY0-1241	5	28	28
ThomasAM_2018b	PWY-5656	4	2	2
ThomasAM_2018b	PWY-5920	8	3	3
ThomasAM_2018b	P161-PWY	5	23	23
ThomasAM_2018b	PWY-7312	4	2	2
ThomasAM_2018b	PWY0-42	5	5	5
ThomasAM_2018b	PWY-5747	6	5	5
ThomasAM_2018b	PWY-7094	6	7	7
ThomasAM_2018b	AST-PWY	5	8	8
ThomasAM_2018b	P125-PWY	5	12	12
ThomasAM_2018b	PWY-5941	6	4	4
ThomasAM_2018b	P122-PWY	18	3	3
ThomasAM_2018b	PWY-5138	5	13	13
ThomasAM_2018b	PWY-7446	5	6	6
ThomasAM_2018b	GLYCOL-GLYOXDEG-PWY	4	5	5
ThomasAM_2018b	PWY-6823	6	2	2
ThomasAM_2018b	UBISYN-PWY	13	7	7
ThomasAM_2018b	PWY-5705	4	4	4
ThomasAM_2018b	KDO-NAGLIPASYN-PWY	17	4	4
ThomasAM_2018b	PWY-5855	8	8	8
ThomasAM_2018b	PWY-5856	8	8	8
ThomasAM_2018b	PWY-5857	8	8	8
ThomasAM_2018b	PWY-6708	8	8	8
ThomasAM_2018b	PWY0-41	8	2	2
ThomasAM_2018b	PWY-6837	5	9	9
ThomasAM_2018b	PWY1F-823	4	4	4
ThomasAM_2018b	PWY-6471	16	18	18
ThomasAM_2018b	NONMEVIPP-PWY	9	11	11
ThomasAM_2018b	PWY-7198	7	15	15
ThomasAM_2018b	PWY-5121	12	2	2
ThomasAM_2018b	PWY-6167	10	2	2
ThomasAM_2018b	PWY-5265	17	3	3
ThomasAM_2018b	PWY-922	7	3	3
ThomasAM_2018b	PWY-5101	8	4	4
ThomasAM_2018b	PWY-6859	4	11	11
ThomasAM_2018b	P124-PWY	15	5	5
ThomasAM_2018b	PWY-5005	8	8	8
ThomasAM_2018b	METHANOGENESIS-PWY	6	3	3
ThomasAM_2018b	PWY-7316	4	3	3
ThomasAM_2018b	PWY-6349	6	3	3
ThomasAM_2018b	PWY-5198	6	3	3
ThomasAM_2018b	PWY-7371	5	8	8
ThomasAM_2018b	PWY-6749	10	2	2
ThomasAM_2018b	AEROBACTINSYN-PWY	4	1	1
ThomasAM_2018b	P164-PWY	15	9	9
ThomasAM_2018b	PWY-6876	5	1	1
ThomasAM_2018b	PWY-6572	8	1	1
ThomasAM_2018b	PWY-7211	18	4	4
ThomasAM_2018b	PWY-7196	10	1	1
ThomasAM_2018b	ORNDEG-PWY	9	8	8
ThomasAM_2018b	ARGDEG-PWY	11	2	2
ThomasAM_2018b	ORNARGDEG-PWY	11	2	2
ThomasAM_2018b	PPGPPMET-PWY	6	12	12
ThomasAM_2018b	PWY-7003	16	3	3
ThomasAM_2018b	PWY0-881	17	2	2
ThomasAM_2018b	PWY-7385	9	1	1
ThomasAM_2018b	P185-PWY	12	10	10
ThomasAM_2018b	PWY-3801	19	1	1
ThomasAM_2018b	THREOCAT-PWY	19	2	2
ThomasAM_2018b	PWY-7209	5	1	1
ThomasAM_2018b	PWY-7345	15	1	1
ThomasAM_2018b	P108-PWY	7	2	2
ThomasAM_2018b	GLUDEG-I-PWY	4	1	1
ThomasAM_2018b	PWY0-1277	9	5	5
ThomasAM_2018b	PWY-5022	7	1	1
ThomasAM_2018b	PWY66-389	4	8	8
ThomasAM_2018b	ECASYN-PWY	10	8	8
ThomasAM_2018b	HCAMHPDEG-PWY	5	7	7
ThomasAM_2018b	PWY-6690	5	7	7
ThomasAM_2018b	PWY-7269	5	4	4
ThomasAM_2018b	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	4	4	4
ThomasAM_2018b	URSIN-PWY	7	1	1
ThomasAM_2018b	PWY3DJ-35471	10	2	2
ThomasAM_2018b	LPSSYN-PWY	26	1	1
ThomasAM_2018b	PWY-7165	7	2	2
ThomasAM_2018b	P221-PWY	5	3	3
ThomasAM_2018b	REDCITCYC	10	2	2
ThomasAM_2018b	PWY-5181	12	4	4
ThomasAM_2018b	PWY0-1338	6	9	9
ThomasAM_2018b	PWY-7210	8	6	6
ThomasAM_2018b	PWY-5417	6	2	2
ThomasAM_2018b	PWY-5431	6	2	2
ThomasAM_2018b	PWY-4321	5	1	1
ThomasAM_2018b	PWY-7039	5	2	2
ThomasAM_2018b	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	8	2	2
ThomasAM_2018b	PWY-6185	7	4	4
ThomasAM_2018b	PWY-6182	7	2	2
ThomasAM_2018b	CATECHOL-ORTHO-CLEAVAGE-PWY	4	2	2
ThomasAM_2018b	PWY-6071	12	2	2
ThomasAM_2018b	PWY-6318	9	5	5
ThomasAM_2018b	PWY0-321	10	2	2
ThomasAM_2018b	PWY-1541	6	1	1
ThomasAM_2018b	PWY-6595	6	4	4
ThomasAM_2018b	PWY-6215	4	1	1
ThomasAM_2018b	PWY-5692	4	2	2
ThomasAM_2018b	URDEGR-PWY	4	2	2
ThomasAM_2018b	P162-PWY	10	1	1
ThomasAM_2018b	RUMP-PWY	6	1	1
ThomasAM_2018b	PWY-6953	5	2	2
ThomasAM_2018b	P163-PWY	10	3	3
ThomasAM_2018b	PWY-6478	4	2	2
ThomasAM_2018b	PWY-241	7	1	1
ThomasAM_2018b	PWY-622	10	1	1
ThomasAM_2018b	PWY-7115	11	1	1
ThomasAM_2018b	PWY-3781	4	5	5
ThomasAM_2018b	PWY-7279	4	4	4
ThomasAM_2018b	PWY-5028	5	3	3
ThomasAM_2018b	PWY-4361	8	1	1
ThomasAM_2018b	PWY-5534	7	1	1
ThomasAM_2018b	PWY-6470	17	4	4
ThomasAM_2018b	PWY-6270	10	1	1
ThomasAM_2018b	PWY-7560	9	2	2
ThomasAM_2018b	PWY-7031	6	2	2
ThomasAM_2018b	PWY-6143	6	1	1
ThomasAM_2018b	PWY0-1533	4	1	1
ThomasAM_2018b	P261-PWY	7	1	1
ThomasAM_2018b	PWY-6396	9	3	3
ThomasAM_2018b	UDPNACETYLGALSYN-PWY	6	2	2
ThomasAM_2018b	PWY-6797	7	2	2
ThomasAM_2018b	PWY-5677	7	1	1
ThomasAM_2019_c	ILEUSYN-PWY	7	180	180
ThomasAM_2019_c	PWY-7111	5	282	282
ThomasAM_2019_c	VALSYN-PWY	4	283	283
ThomasAM_2019_c	PWY-1042	10	170	170
ThomasAM_2019_c	TRNA-CHARGING-PWY	21	158	158
ThomasAM_2019_c	PWY-5686	6	283	283
ThomasAM_2019_c	PWY-7229	8	86	86
ThomasAM_2019_c	CALVIN-PWY	13	92	92
ThomasAM_2019_c	PWY-6387	8	303	303
ThomasAM_2019_c	PEPTIDOGLYCANSYN-PWY	10	292	292
ThomasAM_2019_c	PWY-6386	8	267	267
ThomasAM_2019_c	PWY-6385	14	241	241
ThomasAM_2019_c	PWY-6609	4	285	285
ThomasAM_2019_c	PWY0-1586	12	130	130
ThomasAM_2019_c	PWY-6126	8	86	86
ThomasAM_2019_c	PWY-5695	4	177	177
ThomasAM_2019_c	PWY-7221	4	310	310
ThomasAM_2019_c	PWY-6122	5	317	317
ThomasAM_2019_c	PWY-6277	5	317	317
ThomasAM_2019_c	DTDPRHAMSYN-PWY	4	252	252
ThomasAM_2019_c	BRANCHED-CHAIN-AA-SYN-PWY	19	177	177
ThomasAM_2019_c	COA-PWY-1	5	323	323
ThomasAM_2019_c	PWY0-1319	4	202	202
ThomasAM_2019_c	PWY-5667	4	197	197
ThomasAM_2019_c	ARO-PWY	7	142	142
ThomasAM_2019_c	PWY-3841	11	234	234
ThomasAM_2019_c	PWY-6163	5	198	198
ThomasAM_2019_c	PWY-6121	5	290	290
ThomasAM_2019_c	COMPLETE-ARO-PWY	17	112	112
ThomasAM_2019_c	PWY-5103	7	179	179
ThomasAM_2019_c	1CMET2-PWY	9	176	176
ThomasAM_2019_c	COA-PWY	4	281	281
ThomasAM_2019_c	ANAGLYCOLYSIS-PWY	11	78	78
ThomasAM_2019_c	PWY-5097	7	211	211
ThomasAM_2019_c	PWY-2942	8	228	228
ThomasAM_2019_c	PWY-7220	4	197	197
