cohort	pathway_id	size	hits	n_samples
ThomasAM_2018a	PWY-5838	10	64	80
ThomasAM_2018a	PWY-6151	4	80	80
ThomasAM_2018a	PWY-7357	6	80	80
ThomasAM_2018a	PRPP-PWY	49	79	80
ThomasAM_2018a	PWY-5897	10	65	80
ThomasAM_2018a	PWY-5898	10	65	80
ThomasAM_2018a	PWY-5899	10	65	80
ThomasAM_2018a	PWY-6628	10	60	80
ThomasAM_2018a	PWY0-1479	10	78	80
ThomasAM_2018a	PWY-6969	10	78	80
ThomasAM_2018a	COBALSYN-PWY	9	80	80
ThomasAM_2018a	PWY0-845	11	80	80
ThomasAM_2018a	PWY-6892	8	80	80
ThomasAM_2018a	ARG+POLYAMINE-SYN	17	76	80
ThomasAM_2018a	PWY-6895	11	78	80
ThomasAM_2018a	PWY-7187	7	80	80
ThomasAM_2018a	PWY-5136	5	76	80
ThomasAM_2018a	RHAMCAT-PWY	5	80	80
ThomasAM_2018a	PWY-6897	5	80	80
ThomasAM_2018a	PWY0-1298	6	76	80
ThomasAM_2018a	COLANSYN-PWY	12	80	80
ThomasAM_2018a	PWY-5913	9	77	80
ThomasAM_2018a	PWY0-166	14	80	80
ThomasAM_2018a	PWY-6527	7	80	80
ThomasAM_2018a	PWY-5840	10	64	80
ThomasAM_2018a	PWY-5845	10	61	80
ThomasAM_2018a	PWY-5850	10	51	80
ThomasAM_2018a	PWY-5896	10	51	80
ThomasAM_2018a	P105-PWY	10	56	80
ThomasAM_2018a	SO4ASSIM-PWY	4	68	80
ThomasAM_2018a	PWY0-162	9	80	80
ThomasAM_2018a	ORNDEG-PWY	9	46	80
ThomasAM_2018a	PWY66-409	17	72	80
ThomasAM_2018a	FUC-RHAMCAT-PWY	12	78	80
ThomasAM_2018a	NAGLIPASYN-PWY	6	80	80
ThomasAM_2018a	PWY-561	15	56	80
ThomasAM_2018a	PWY-5690	10	80	80
ThomasAM_2018a	PWY-6125	8	80	80
ThomasAM_2018a	GLUCOSE1PMETAB-PWY	5	76	80
ThomasAM_2018a	GALACT-GLUCUROCAT-PWY	11	80	80
ThomasAM_2018a	PWY-6891	7	78	80
ThomasAM_2018a	PWY-6471	16	74	80
ThomasAM_2018a	PYRIDNUCSAL-PWY	7	67	80
ThomasAM_2018a	PWY-7234	6	79	80
ThomasAM_2018a	PWY-6168	9	80	80
ThomasAM_2018a	PENTOSE-P-PWY	8	80	80
ThomasAM_2018a	PYRIDOXSYN-PWY	7	80	80
ThomasAM_2018a	PWY-7117	14	77	80
ThomasAM_2018a	PWY-7282	10	80	80
ThomasAM_2018a	PWY-5138	5	70	80
ThomasAM_2018a	PWY-5861	9	64	80
ThomasAM_2018a	PWY-5659	4	80	80
ThomasAM_2018a	PWY66-391	7	61	80
ThomasAM_2018a	P42-PWY	7	76	80
ThomasAM_2018a	PWY-7228	6	80	80
ThomasAM_2018a	ENTBACSYN-PWY	11	51	80
ThomasAM_2018a	PWY-7003	16	47	80
ThomasAM_2018a	PWY-7254	10	59	80
ThomasAM_2018a	OANTIGEN-PWY	10	80	80
ThomasAM_2018a	PWY-241	7	76	80
ThomasAM_2018a	GLUCUROCAT-PWY	7	80	80
ThomasAM_2018a	PWY-7115	11	71	80
ThomasAM_2018a	PWY-7237	10	80	80
ThomasAM_2018a	PWY-821	11	56	80
ThomasAM_2018a	PWY-5860	9	51	80
ThomasAM_2018a	PWY-5862	9	61	80
ThomasAM_2018a	PWY-6317	5	80	80
ThomasAM_2018a	HEMESYN2-PWY	4	80	80
ThomasAM_2018a	PWY0-1241	5	79	80
ThomasAM_2018a	HEME-BIOSYNTHESIS-II	4	77	80
ThomasAM_2018a	GLUCARDEG-PWY	4	68	80
ThomasAM_2018a	PWY-5918	10	64	80
ThomasAM_2018a	PWY-6606	4	80	80
ThomasAM_2018a	PWY-7094	6	52	80
ThomasAM_2018a	PWY-7184	9	80	80
ThomasAM_2018a	THISYNARA-PWY	7	80	80
ThomasAM_2018a	PWY-7315	4	69	80
ThomasAM_2018a	POLYISOPRENSYN-PWY	6	79	80
ThomasAM_2018a	PWY-6803	4	60	80
ThomasAM_2018a	PWY-5384	4	76	80
ThomasAM_2018a	PWY-7211	18	78	80
ThomasAM_2018a	KETOGLUCONMET-PWY	8	48	80
ThomasAM_2018a	POLYAMSYN-PWY	8	76	80
ThomasAM_2018a	PWY0-1415	6	58	80
ThomasAM_2018a	PWY-5675	4	63	80
ThomasAM_2018a	PWY0-1277	9	43	80
ThomasAM_2018a	PWY-6549	10	75	80
ThomasAM_2018a	PWY-6147	5	80	80
ThomasAM_2018a	GOLPDLCAT-PWY	4	73	80
ThomasAM_2018a	NAD-BIOSYNTHESIS-II	5	74	80
ThomasAM_2018a	PWY-7323	6	80	80
ThomasAM_2018a	PWY-5837	7	65	80
ThomasAM_2018a	PWY-6590	9	74	80
ThomasAM_2018a	PPGPPMET-PWY	6	75	80
ThomasAM_2018a	PWY-5367	6	57	80
ThomasAM_2018a	PWY-5022	7	77	80
ThomasAM_2018a	PWY-7385	9	52	80
ThomasAM_2018a	PWY-7196	10	74	80
ThomasAM_2018a	PWY-5920	8	51	80
ThomasAM_2018a	PWY-6531	5	76	80
ThomasAM_2018a	PWY-5863	16	65	80
ThomasAM_2018a	HCAMHPDEG-PWY	5	44	80
ThomasAM_2018a	PWY-6690	5	44	80
ThomasAM_2018a	PWY-6630	10	54	80
ThomasAM_2018a	CENTFERM-PWY	7	74	80
ThomasAM_2018a	PWY-5189	4	64	80
ThomasAM_2018a	CITRULBIO-PWY	8	80	80
ThomasAM_2018a	P108-PWY	7	78	80
ThomasAM_2018a	PWY-7204	9	51	80
ThomasAM_2018a	PWY-4702	14	51	80
ThomasAM_2018a	PWY-7328	6	76	80
ThomasAM_2018a	PWY-2941	9	80	80
ThomasAM_2018a	P185-PWY	12	66	80
ThomasAM_2018a	UBISYN-PWY	13	51	80
ThomasAM_2018a	PWY0-42	5	52	80
ThomasAM_2018a	ECASYN-PWY	10	49	80
ThomasAM_2018a	P164-PWY	15	73	80
ThomasAM_2018a	PWY-1861	9	52	80
ThomasAM_2018a	PWY-5855	8	51	80
ThomasAM_2018a	PWY-5856	8	51	80
ThomasAM_2018a	PWY-5857	8	51	80
ThomasAM_2018a	PWY-6708	8	51	80
ThomasAM_2018a	PWY-6545	9	80	80
ThomasAM_2018a	PWY-5747	6	57	80
ThomasAM_2018a	METHGLYUT-PWY	8	71	80
ThomasAM_2018a	AST-PWY	5	51	80
ThomasAM_2018a	HISDEG-PWY	4	80	80
ThomasAM_2018a	PWY-6859	4	78	80
ThomasAM_2018a	P122-PWY	18	51	80
ThomasAM_2018a	PWY-7446	5	44	80
ThomasAM_2018a	PWY-6837	5	50	80
ThomasAM_2018a	PWY-4984	5	79	80
ThomasAM_2018a	REDCITCYC	10	58	80
ThomasAM_2018a	GLYCOL-GLYOXDEG-PWY	4	56	80
ThomasAM_2018a	ARGDEG-PWY	11	47	80
ThomasAM_2018a	ORNARGDEG-PWY	11	47	80
ThomasAM_2018a	PWY-3781	4	16	80
ThomasAM_2018a	ARGININE-SYN4-PWY	4	80	80
ThomasAM_2018a	LPSSYN-PWY	26	39	80
ThomasAM_2018a	PWY-5656	4	50	80
ThomasAM_2018a	PWY0-1338	6	50	80
ThomasAM_2018a	PWY-6318	9	62	80
ThomasAM_2018a	PWY-7279	4	16	80
ThomasAM_2018a	PWY-5677	7	49	80
ThomasAM_2018a	FOLSYN-PWY	12	59	80
ThomasAM_2018a	PWY-5030	6	75	80
ThomasAM_2018a	PWY-6876	5	37	80
ThomasAM_2018a	KDO-NAGLIPASYN-PWY	17	46	80
ThomasAM_2018a	PWY-7198	7	79	80
ThomasAM_2018a	AEROBACTINSYN-PWY	4	18	80
ThomasAM_2018a	PWY-6731	4	74	80
ThomasAM_2018a	PWY-6612	10	59	80
ThomasAM_2018a	PWY-5505	7	77	80
ThomasAM_2018a	NONMEVIPP-PWY	9	57	80
ThomasAM_2018a	PWY-6823	6	42	80
ThomasAM_2018a	PWY-7560	9	57	80
ThomasAM_2018a	PWY-5004	12	48	80
ThomasAM_2018a	GLUDEG-I-PWY	4	76	80
ThomasAM_2018a	PWY-5705	4	47	80
ThomasAM_2018a	PWY-6749	10	36	80
ThomasAM_2018a	LACTOSECAT-PWY	4	72	80
ThomasAM_2018a	PWY-7165	7	18	80
ThomasAM_2018a	P23-PWY	13	45	80
ThomasAM_2018a	PWY-5265	17	27	80
ThomasAM_2018a	PWY3DJ-35471	10	29	80
ThomasAM_2018a	TEICHOICACID-PWY	12	76	80
ThomasAM_2018a	PWY-7332	20	59	80
ThomasAM_2018a	PWY0-41	8	40	80
ThomasAM_2018a	PWY-5121	12	57	80
ThomasAM_2018a	PWY-7456	7	76	80
ThomasAM_2018a	PWY0-1533	4	40	80
ThomasAM_2018a	PWY-6270	10	57	80
ThomasAM_2018a	PWY-5392	13	34	80
ThomasAM_2018a	PWY-7392	13	55	80
ThomasAM_2018a	P162-PWY	10	53	80
ThomasAM_2018a	PWY-6595	6	72	80
ThomasAM_2018a	P163-PWY	10	34	80
ThomasAM_2018a	PWY-5088	11	26	80
ThomasAM_2018a	PWY-7210	8	61	80
ThomasAM_2018a	PWY-5941	6	71	80
ThomasAM_2018a	PWY-7269	5	44	80
ThomasAM_2018a	ALLANTOINDEG-PWY	7	48	80
ThomasAM_2018a	PWY-5692	4	37	80
ThomasAM_2018a	URDEGR-PWY	4	37	80
ThomasAM_2018a	P562-PWY	7	11	80
ThomasAM_2018a	PWY66-389	4	60	80
ThomasAM_2018a	P221-PWY	5	48	80
ThomasAM_2018a	PWY-5005	8	65	80
ThomasAM_2018a	PWY-6470	17	69	80
ThomasAM_2018a	PWY-7316	4	34	80
ThomasAM_2018a	PWY66-367	5	20	80
ThomasAM_2018a	PWY-622	10	49	80
ThomasAM_2018a	P124-PWY	15	58	80
ThomasAM_2018a	PWY-6953	5	10	80
ThomasAM_2018a	POLYAMINSYN3-PWY	8	62	80
ThomasAM_2018a	PWY0-881	17	33	80
ThomasAM_2018a	PWY-6143	6	25	80
ThomasAM_2018a	PWY-4722	5	8	80
ThomasAM_2018a	PWY-6478	4	24	80
ThomasAM_2018a	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	8	30	80
ThomasAM_2018a	P125-PWY	5	26	80
ThomasAM_2018a	PWY-5464	24	49	80
ThomasAM_2018a	PWY66-398	11	45	80
ThomasAM_2018a	PWY-6263	11	57	80
ThomasAM_2018a	PWY-7209	5	57	80
ThomasAM_2018a	PWY-7294	7	16	80
ThomasAM_2018a	PWY-7371	5	44	80
ThomasAM_2018a	METH-ACETATE-PWY	6	53	80
ThomasAM_2018a	PWY-6906	8	6	80
ThomasAM_2018a	PWY490-3	4	39	80
ThomasAM_2018a	UDPNACETYLGALSYN-PWY	6	9	80
ThomasAM_2018a	PWY-5180	7	8	80
ThomasAM_2018a	PWY-5182	10	8	80
ThomasAM_2018a	PWY66-388	7	19	80
ThomasAM_2018a	PWY-5415	5	8	80
ThomasAM_2018a	URSIN-PWY	7	14	80
ThomasAM_2018a	PWY-6572	8	58	80
ThomasAM_2018a	PWY-6415	10	27	80
ThomasAM_2018a	PWY-7312	4	40	80
ThomasAM_2018a	THREOCAT-PWY	19	28	80
ThomasAM_2018a	PWY-2221	9	7	80
ThomasAM_2018a	PWY-7031	6	6	80
ThomasAM_2018a	PWY-6071	12	20	80
ThomasAM_2018a	PWY0-321	10	20	80
ThomasAM_2018a	PWY-7345	15	10	80
ThomasAM_2018a	PWY-3801	19	10	80
ThomasAM_2018a	PWY-7200	9	12	80
ThomasAM_2018a	RUMP-PWY	6	16	80
ThomasAM_2018a	PWY-5910	10	11	80
ThomasAM_2018a	PWY-922	7	12	80
ThomasAM_2018a	PWY-7399	5	10	80
ThomasAM_2018a	PWY-6435	5	13	80
ThomasAM_2018a	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	4	28	80
ThomasAM_2018a	P621-PWY	7	14	80
ThomasAM_2018a	PWY-5178	10	2	80
ThomasAM_2018a	LIPASYN-PWY	5	5	80
ThomasAM_2018a	PWY-7391	8	3	80
ThomasAM_2018a	PWY-4321	5	12	80
ThomasAM_2018a	PWY-5417	6	18	80
ThomasAM_2018a	PWY-5431	6	18	80
ThomasAM_2018a	PWY-5181	12	14	80
ThomasAM_2018a	CATECHOL-ORTHO-CLEAVAGE-PWY	4	21	80
ThomasAM_2018a	PWY-1541	6	5	80
ThomasAM_2018a	PWY-6185	7	15	80
ThomasAM_2018a	PWY-6562	6	14	80
ThomasAM_2018a	PWY-6182	7	14	80
ThomasAM_2018a	PWY5F9-12	5	2	80
ThomasAM_2018a	PWY-6215	4	14	80
ThomasAM_2018a	PWY-7039	5	18	80
ThomasAM_2018a	PWY-5654	4	4	80
ThomasAM_2018a	PWY-6210	4	6	80
ThomasAM_2018a	PWY-6281	4	2	80
ThomasAM_2018a	PWY-5101	8	4	80
ThomasAM_2018a	PWY-6467	5	2	80
ThomasAM_2018a	PROPFERM-PWY	10	18	80
ThomasAM_2018a	PWY-7290	6	2	80
ThomasAM_2018a	PWY-7374	6	2	80
ThomasAM_2018a	DENITRIFICATION-PWY	5	13	80
ThomasAM_2018a	PWY1G-0	6	5	80
ThomasAM_2018a	PWY-7245	8	12	80
ThomasAM_2018a	PWY-7268	5	12	80
ThomasAM_2018a	DHGLUCONATE-PYR-CAT-PWY	5	2	80
ThomasAM_2018a	PWY-5055	9	3	80
ThomasAM_2018a	P165-PWY	18	5	80
ThomasAM_2018a	PWY-6748	5	6	80
ThomasAM_2018a	PWY-6662	11	5	80
ThomasAM_2018a	VALDEG-PWY	8	5	80
ThomasAM_2018a	TYRFUMCAT-PWY	5	5	80
ThomasAM_2018a	PWY-6396	9	6	80
ThomasAM_2018a	CODH-PWY	10	2	80
ThomasAM_2018a	PWY-1501	5	1	80
ThomasAM_2018a	CRNFORCAT-PWY	4	8	80
ThomasAM_2018a	PWY-6269	10	1	80
ThomasAM_2018a	PWY-6138	5	2	80
ThomasAM_2018a	PWY-6797	7	2	80
ThomasAM_2018a	PWY-7389	17	2	80
ThomasAM_2018a	PWY-7384	10	2	80
ThomasAM_2018a	PWY-5028	5	3	80
ThomasAM_2018a	PWY-5534	7	1	80
ThomasAM_2018a	PWY-6107	7	1	80
ThomasAM_2018a	PWY-5514	8	2	80
ThomasAM_2018a	PWY-101	4	4	80
ThomasAM_2018a	PWY-6565	8	1	80
ThomasAM_2018a	PWY-4361	8	2	80
ThomasAM_2018a	PWY-7527	12	1	80
ThomasAM_2018a	PWY1F-823	4	1	80
ThomasAM_2018a	PWY-5532	10	1	80
ThomasAM_2018b	PWY-1042	10	60	60
ThomasAM_2018b	ILEUSYN-PWY	7	60	60
ThomasAM_2018b	PWY-7111	5	60	60
ThomasAM_2018b	VALSYN-PWY	4	60	60
ThomasAM_2018b	PWY-5686	6	60	60
ThomasAM_2018b	PWY-6163	5	60	60
ThomasAM_2018b	PWY-6609	4	60	60
ThomasAM_2018b	PWY-6386	8	60	60
ThomasAM_2018b	PWY-7221	4	60	60
ThomasAM_2018b	PWY-6387	8	60	60
ThomasAM_2018b	ARO-PWY	7	60	60
ThomasAM_2018b	TRNA-CHARGING-PWY	21	60	60
ThomasAM_2018b	PEPTIDOGLYCANSYN-PWY	10	60	60
ThomasAM_2018b	DTDPRHAMSYN-PWY	4	60	60
ThomasAM_2018b	PWY-6700	4	60	60
ThomasAM_2018b	BRANCHED-CHAIN-AA-SYN-PWY	19	60	60
ThomasAM_2018b	CALVIN-PWY	13	60	60
ThomasAM_2018b	PWY-6385	14	60	60
ThomasAM_2018b	COA-PWY-1	5	60	60
ThomasAM_2018b	COMPLETE-ARO-PWY	17	60	60
ThomasAM_2018b	PWY-6151	4	60	60
ThomasAM_2018b	PWY-5103	7	60	60
ThomasAM_2018b	PWY-5667	4	60	60
ThomasAM_2018b	PWY0-1319	4	60	60
ThomasAM_2018b	PWY-5097	7	60	60
ThomasAM_2018b	PWY-6121	5	60	60
ThomasAM_2018b	PWY-3841	11	60	60
ThomasAM_2018b	ARGSYN-PWY	9	60	60
ThomasAM_2018b	PWY-7400	14	60	60
ThomasAM_2018b	RIBOSYN2-PWY	9	60	60
ThomasAM_2018b	ARGSYNBSUB-PWY	9	60	60
ThomasAM_2018b	PWY-6122	5	60	60
ThomasAM_2018b	PWY-6277	5	60	60
ThomasAM_2018b	1CMET2-PWY	9	60	60
ThomasAM_2018b	PWY-2942	8	60	60
ThomasAM_2018b	PANTOSYN-PWY	9	60	60
ThomasAM_2018b	PANTO-PWY	4	60	60
ThomasAM_2018b	COA-PWY	4	60	60
ThomasAM_2018b	PWY-5695	4	60	60
ThomasAM_2018b	PWY-7229	8	60	60
ThomasAM_2018b	PWY0-1586	12	60	60
ThomasAM_2018b	PWY-6168	9	60	60
ThomasAM_2018b	PWY-724	10	60	60
ThomasAM_2018b	ANAGLYCOLYSIS-PWY	11	60	60
ThomasAM_2018b	PWY-6123	6	60	60
ThomasAM_2018b	PWY-6126	8	60	60
ThomasAM_2018b	GLUTORN-PWY	5	60	60
ThomasAM_2018b	HISTSYN-PWY	11	60	60
ThomasAM_2018b	PWY-3001	13	60	60
ThomasAM_2018b	PWY-6124	5	60	60
ThomasAM_2018b	PWY-7220	4	60	60
ThomasAM_2018b	PWY-7222	4	60	60
ThomasAM_2018b	GLYCOGENSYNTH-PWY	4	60	60
ThomasAM_2018b	PWY-5973	5	60	60
ThomasAM_2018b	THRESYN-PWY	6	60	60
ThomasAM_2018b	PYRIDNUCSYN-PWY	6	60	60
ThomasAM_2018b	PWY-6317	5	60	60
ThomasAM_2018b	ANAEROFRUCAT-PWY	14	60	60
ThomasAM_2018b	NONOXIPENT-PWY	5	60	60
ThomasAM_2018b	PWY-6527	7	60	60
ThomasAM_2018b	PWY-6703	4	60	60
ThomasAM_2018b	SER-GLYSYN-PWY	4	60	60
ThomasAM_2018b	PWY-7357	6	60	60
ThomasAM_2018b	PWY-5154	9	60	60
ThomasAM_2018b	PWY-6936	5	60	60
ThomasAM_2018b	HSERMETANA-PWY	4	60	60
ThomasAM_2018b	OANTIGEN-PWY	10	60	60
ThomasAM_2018b	PWY-6897	5	60	60
ThomasAM_2018b	PWY-7237	10	60	60
ThomasAM_2018b	THISYN-PWY	12	60	60
ThomasAM_2018b	COBALSYN-PWY	9	60	60
ThomasAM_2018b	THISYNARA-PWY	7	60	60
ThomasAM_2018b	GLYCOLYSIS	12	60	60
ThomasAM_2018b	TRPSYN-PWY	7	60	60
ThomasAM_2018b	GLUCONEO-PWY	13	60	60
ThomasAM_2018b	PWY-5971	31	57	60
ThomasAM_2018b	PWYG-321	205	60	60
ThomasAM_2018b	PWY-7664	14	60	60
ThomasAM_2018b	PWY-6892	8	60	60
ThomasAM_2018b	ARGININE-SYN4-PWY	4	60	60
ThomasAM_2018b	DENOVOPURINE2-PWY	27	60	60
ThomasAM_2018b	PWY-5484	11	60	60
ThomasAM_2018b	PWY-841	21	60	60
ThomasAM_2018b	PWY0-862	6	60	60
ThomasAM_2018b	BIOTIN-BIOSYNTHESIS-PWY	16	60	60
ThomasAM_2018b	PWY-6282	9	60	60
ThomasAM_2018b	FASYN-INITIAL-PWY	6	60	60
ThomasAM_2018b	PWY-6519	11	60	60
ThomasAM_2018b	PHOSLIPSYN-PWY	10	60	60
ThomasAM_2018b	UDPNAGSYN-PWY	5	60	60
ThomasAM_2018b	PWY-5989	6	60	60
ThomasAM_2018b	PWY0-162	9	60	60
ThomasAM_2018b	MET-SAM-PWY	9	60	60
ThomasAM_2018b	PWY-6305	4	60	60
ThomasAM_2018b	PWY-5347	9	60	60
ThomasAM_2018b	ARG+POLYAMINE-SYN	17	60	60
ThomasAM_2018b	METSYN-PWY	8	60	60
ThomasAM_2018b	PWY-7187	7	60	60
ThomasAM_2018b	PWY0-166	14	60	60
ThomasAM_2018b	PWY-6113	268	57	60
ThomasAM_2018b	PWY-6895	11	60	60
ThomasAM_2018b	PWY-6353	11	60	60
ThomasAM_2018b	PWY-6125	8	60	60
ThomasAM_2018b	HEXITOLDEGSUPER-PWY	19	60	60
ThomasAM_2018b	PWY-7228	6	60	60
ThomasAM_2018b	PWY66-409	17	60	60
ThomasAM_2018b	PWY4FS-7	6	60	60
ThomasAM_2018b	PWY4FS-8	6	60	60
ThomasAM_2018b	PRPP-PWY	49	60	60
ThomasAM_2018b	RHAMCAT-PWY	5	60	60
ThomasAM_2018b	PWY-6471	16	60	60
ThomasAM_2018b	CITRULBIO-PWY	8	60	60
ThomasAM_2018b	PWY-5188	6	60	60
ThomasAM_2018b	GLCMANNANAUT-PWY	5	60	60
ThomasAM_2018b	SALVADEHYPOX-PWY	5	60	60
ThomasAM_2018b	PWY0-1261	12	60	60
ThomasAM_2018b	PWY-6901	17	60	60
ThomasAM_2018b	COLANSYN-PWY	12	60	60
ThomasAM_2018b	P441-PWY	21	60	60
ThomasAM_2018b	PWY-4984	5	60	60
ThomasAM_2018b	DAPLYSINESYN-PWY	9	60	60
ThomasAM_2018b	PWY-7282	10	60	60
ThomasAM_2018b	PWY-5104	6	60	60
ThomasAM_2018b	PWY-5505	7	60	60
ThomasAM_2018b	POLYAMSYN-PWY	8	60	60
ThomasAM_2018b	PWY-7184	9	60	60
ThomasAM_2018b	PWY-5345	12	52	60
ThomasAM_2018b	PWY66-399	12	60	60
ThomasAM_2018b	METH-ACETATE-PWY	6	60	60
ThomasAM_2018b	PWY-6545	9	60	60
ThomasAM_2018b	HOMOSER-METSYN-PWY	5	60	60
ThomasAM_2018b	PWY-4041	6	60	60
ThomasAM_2018b	PWY-5659	4	60	60
ThomasAM_2018b	PWY-7323	6	60	60
ThomasAM_2018b	PWY-7234	6	60	60
ThomasAM_2018b	PWY-6628	10	43	60
ThomasAM_2018b	GLUCUROCAT-PWY	7	60	60
ThomasAM_2018b	PWY-7456	7	60	60
ThomasAM_2018b	TCA	11	60	60
ThomasAM_2018b	P461-PWY	20	60	60
ThomasAM_2018b	PWY-2941	9	60	60
ThomasAM_2018b	PWY0-1061	6	60	60
ThomasAM_2018b	P164-PWY	15	60	60
ThomasAM_2018b	GALACT-GLUCUROCAT-PWY	11	60	60
ThomasAM_2018b	SULFATE-CYS-PWY	9	52	60
ThomasAM_2018b	PWY-7211	18	60	60
ThomasAM_2018b	PWY-6606	4	60	60
ThomasAM_2018b	PWY-6629	14	35	60
ThomasAM_2018b	PYRIDNUCSAL-PWY	7	60	60
ThomasAM_2018b	FERMENTATION-PWY	17	60	60
ThomasAM_2018b	PWY-6969	10	58	60
ThomasAM_2018b	PWY0-1297	7	60	60
ThomasAM_2018b	FAO-PWY	7	60	60
ThomasAM_2018b	PWY0-781	25	60	60
ThomasAM_2018b	GLYCOLYSIS-E-D	16	60	60
ThomasAM_2018b	PENTOSE-P-PWY	8	60	60
ThomasAM_2018b	PWY-7383	7	60	60
ThomasAM_2018b	PWY-5136	5	60	60
ThomasAM_2018b	PWY-6470	17	60	60
ThomasAM_2018b	P4-PWY	18	60	60
ThomasAM_2018b	PWY-6549	10	60	60
ThomasAM_2018b	PWY0-845	11	60	60
ThomasAM_2018b	PWY-6284	20	57	60
ThomasAM_2018b	PWY-6147	5	60	60
ThomasAM_2018b	PWY-6285	53	28	60
ThomasAM_2018b	POLYAMINSYN3-PWY	8	52	60
ThomasAM_2018b	PWY-5690	10	60	60
ThomasAM_2018b	PWY-7196	10	60	60
ThomasAM_2018b	PWY-1269	5	60	60
ThomasAM_2018b	FUC-RHAMCAT-PWY	12	60	60
ThomasAM_2018b	PWY-1861	9	59	60
ThomasAM_2018b	PYRIDOXSYN-PWY	7	60	60
ThomasAM_2018b	LACTOSECAT-PWY	4	60	60
ThomasAM_2018b	GLYCOLYSIS-TCA-GLYOX-BYPASS	26	39	60
ThomasAM_2018b	PWY-7117	14	60	60
ThomasAM_2018b	HISDEG-PWY	4	60	60
ThomasAM_2018b	PWY-6891	7	60	60
ThomasAM_2018b	PWY-5838	10	50	60
ThomasAM_2018b	PWY-5913	9	60	60
ThomasAM_2018b	GLYCOCAT-PWY	8	58	60
ThomasAM_2018b	PWY-241	7	60	60
ThomasAM_2018b	PWY-7115	11	60	60
ThomasAM_2018b	ENTBACSYN-PWY	11	28	60
ThomasAM_2018b	PWY-5897	10	50	60
ThomasAM_2018b	PWY-5898	10	50	60
ThomasAM_2018b	PWY-5899	10	50	60
ThomasAM_2018b	PWY-5030	6	60	60
ThomasAM_2018b	PWY-6590	9	60	60
ThomasAM_2018b	FUCCAT-PWY	4	60	60
ThomasAM_2018b	FOLSYN-PWY	12	58	60
ThomasAM_2018b	P42-PWY	7	58	60
ThomasAM_2018b	PPGPPMET-PWY	6	60	60
ThomasAM_2018b	PWY-5723	10	41	60
ThomasAM_2018b	PWY-6630	10	37	60
ThomasAM_2018b	SO4ASSIM-PWY	4	52	60
ThomasAM_2018b	TEICHOICACID-PWY	12	60	60
ThomasAM_2018b	POLYISOPRENSYN-PWY	6	60	60
ThomasAM_2018b	PWY0-1479	10	59	60
ThomasAM_2018b	HEMESYN2-PWY	4	60	60
ThomasAM_2018b	CENTFERM-PWY	7	60	60
ThomasAM_2018b	P105-PWY	10	36	60
ThomasAM_2018b	KETOGLUCONMET-PWY	8	35	60
ThomasAM_2018b	PWY-5861	9	50	60
ThomasAM_2018b	PWY-7003	16	60	60
ThomasAM_2018b	NAGLIPASYN-PWY	6	60	60
ThomasAM_2018b	TCA-GLYOX-BYPASS	13	39	60
ThomasAM_2018b	PWY-5845	10	43	60
ThomasAM_2018b	PWY-7254	10	40	60
ThomasAM_2018b	PWY-6731	4	58	60
ThomasAM_2018b	PWY-6612	10	58	60
ThomasAM_2018b	PWY-7328	6	60	60
ThomasAM_2018b	PWY-561	15	35	60
ThomasAM_2018b	GALACTARDEG-PWY	4	50	60
ThomasAM_2018b	GLUCARGALACTSUPER-PWY	4	50	60
ThomasAM_2018b	PWY-5918	10	45	60
ThomasAM_2018b	PWY-7013	5	60	60
ThomasAM_2018b	P108-PWY	7	60	60
ThomasAM_2018b	GOLPDLCAT-PWY	4	60	60
ThomasAM_2018b	PWY-5840	10	47	60
ThomasAM_2018b	PWY-5850	10	32	60
ThomasAM_2018b	PWY-5896	10	32	60
ThomasAM_2018b	PWY-6803	4	37	60
ThomasAM_2018b	PWY-5384	4	60	60
ThomasAM_2018b	GLUCOSE1PMETAB-PWY	5	59	60
ThomasAM_2018b	PWY-4702	14	42	60
ThomasAM_2018b	P185-PWY	12	60	60
ThomasAM_2018b	PWY0-1298	6	60	60
ThomasAM_2018b	PWY-5367	6	57	60
ThomasAM_2018b	HEME-BIOSYNTHESIS-II	4	51	60
ThomasAM_2018b	PWY-5464	24	51	60
ThomasAM_2018b	METHGLYUT-PWY	8	56	60
ThomasAM_2018b	PWY-7315	4	59	60
ThomasAM_2018b	GLUCARDEG-PWY	4	50	60
ThomasAM_2018b	PWY-6531	5	55	60
ThomasAM_2018b	PWY-5862	9	43	60
ThomasAM_2018b	NAD-BIOSYNTHESIS-II	5	58	60
ThomasAM_2018b	PWY-6859	4	59	60
ThomasAM_2018b	PWY-5005	8	58	60
ThomasAM_2018b	PWY-5022	7	60	60
ThomasAM_2018b	PWY-7332	20	44	60
ThomasAM_2018b	PWY-5863	16	50	60
ThomasAM_2018b	PWY-5189	4	53	60
ThomasAM_2018b	GLUDEG-I-PWY	4	60	60
ThomasAM_2018b	PWY-5837	7	50	60
ThomasAM_2018b	P621-PWY	7	39	60
ThomasAM_2018b	PWY-5675	4	41	60
ThomasAM_2018b	PWY-5860	9	32	60
ThomasAM_2018b	PWY-821	11	46	60
ThomasAM_2018b	PWY66-398	11	43	60
ThomasAM_2018b	PWY-6588	5	60	60
ThomasAM_2018b	PWY-7204	9	34	60
