cohort	pathway_id	size	hits	n_samples
FengQ_2015	GALACT-GLUCUROCAT-PWY	11	153	154
FengQ_2015	FASYN-INITIAL-PWY	6	151	154
FengQ_2015	PWY0-862	6	152	154
FengQ_2015	PWY-5505	7	150	154
FengQ_2015	PWY-5913	9	154	154
FengQ_2015	PWY-6606	4	154	154
FengQ_2015	PWY-6519	11	147	154
FengQ_2015	PWY-6282	9	151	154
FengQ_2015	PENTOSE-P-PWY	8	154	154
FengQ_2015	PWY-5989	6	154	154
FengQ_2015	PWY-6113	268	143	154
FengQ_2015	PPGPPMET-PWY	6	154	154
FengQ_2015	PWY-7323	6	154	154
FengQ_2015	P441-PWY	21	154	154
FengQ_2015	PWY-6590	9	151	154
FengQ_2015	PWY-6549	10	154	154
FengQ_2015	PWY-7456	7	151	154
FengQ_2015	TEICHOICACID-PWY	12	154	154
FengQ_2015	PWY66-399	12	154	154
FengQ_2015	PWY0-1261	12	154	154
FengQ_2015	PYRIDOXSYN-PWY	7	151	154
FengQ_2015	PWY0-781	25	154	154
FengQ_2015	PWY-6895	11	151	154
FengQ_2015	P185-PWY	12	154	154
FengQ_2015	P4-PWY	18	154	154
FengQ_2015	RHAMCAT-PWY	5	154	154
FengQ_2015	CENTFERM-PWY	7	151	154
FengQ_2015	PWY-7210	8	127	154
FengQ_2015	PWY-7198	7	154	154
FengQ_2015	HISDEG-PWY	4	154	154
FengQ_2015	PWY-5030	6	152	154
FengQ_2015	GOLPDLCAT-PWY	4	154	154
FengQ_2015	GLYCOLYSIS-E-D	16	152	154
FengQ_2015	FAO-PWY	7	152	154
FengQ_2015	PWY-6147	5	154	154
FengQ_2015	RUMP-PWY	6	145	154
FengQ_2015	PWY-5265	17	99	154
FengQ_2015	PWY-5136	5	152	154
FengQ_2015	TCA	11	153	154
FengQ_2015	PWY-1269	5	154	154
FengQ_2015	PWY0-1479	10	153	154
FengQ_2015	CITRULBIO-PWY	8	154	154
FengQ_2015	PWY-7332	20	82	154
FengQ_2015	PWY-7383	7	154	154
FengQ_2015	PWY-6270	10	139	154
FengQ_2015	PWY-6284	20	143	154
FengQ_2015	PWY-5121	12	139	154
FengQ_2015	GLYCOCAT-PWY	8	150	154
FengQ_2015	PWY-4984	5	151	154
FengQ_2015	PWY-5690	10	154	154
FengQ_2015	PWY-7560	9	139	154
FengQ_2015	PWY-622	10	131	154
FengQ_2015	PWY-5384	4	154	154
FengQ_2015	PWY-7003	16	149	154
FengQ_2015	P621-PWY	7	95	154
FengQ_2015	PWY-7013	5	152	154
FengQ_2015	PWY-7392	13	136	154
FengQ_2015	FUC-RHAMCAT-PWY	12	152	154
FengQ_2015	NAD-BIOSYNTHESIS-II	5	145	154
FengQ_2015	POLYISOPRENSYN-PWY	6	149	154
FengQ_2015	PWY-6285	53	91	154
FengQ_2015	PWY-5941	6	132	154
FengQ_2015	PWY-6859	4	148	154
FengQ_2015	PWY-7312	4	45	154
FengQ_2015	ARG+POLYAMINE-SYN	17	154	154
FengQ_2015	PWY-6891	7	151	154
FengQ_2015	NAGLIPASYN-PWY	6	142	154
FengQ_2015	PWY-6969	10	152	154
FengQ_2015	FUCCAT-PWY	4	154	154
FengQ_2015	PWY-7328	6	150	154
FengQ_2015	PWY-6731	4	149	154
FengQ_2015	PWY-6595	6	151	154
FengQ_2015	PWY-7315	4	150	154
FengQ_2015	GLUCOSE1PMETAB-PWY	5	152	154
FengQ_2015	PWY-5910	10	91	154
FengQ_2015	P124-PWY	15	140	154
FengQ_2015	PWY-922	7	92	154
FengQ_2015	HEMESYN2-PWY	4	153	154
FengQ_2015	PWY-5367	6	146	154
FengQ_2015	P108-PWY	7	149	154
FengQ_2015	PWY-5345	12	146	154
FengQ_2015	PWY0-1298	6	154	154
FengQ_2015	PWY0-1061	6	153	154
FengQ_2015	PWY-5838	10	130	154
FengQ_2015	PWY-5845	10	115	154
FengQ_2015	PWY-7115	11	153	154
FengQ_2015	PWY-5840	10	133	154
FengQ_2015	PWY-5897	10	133	154
FengQ_2015	PWY-5898	10	133	154
