set,size,hits
GO:0071051~poly(A)-dependent snoRNA 3'-end processing,9,7
"GO:0000467~exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",9,7
GO:0006401~RNA catabolic process,35,13
GO:0071035~nuclear polyadenylation-dependent rRNA catabolic process,7,6
GO:0071038~TRAMP-dependent tRNA surveillance pathway,7,6
GO:0140658~ATP-dependent chromatin remodeler activity,34,14
"GO:0008094~ATP-dependent activity, acting on DNA",32,12
GO:0140750~nucleosome array spacer activity,5,5
GO:0032454~histone H3K9 demethylase activity,14,11
GO:0140685~FAD-dependent histone H3K9me/H3K9me2 demethylase activity,4,4
GO:0140683~histone H3K9me/H3K9me2 demethylase activity,5,4
GO:0000387~spliceosomal snRNP assembly,30,14
GO:0034719~SMN-Sm protein complex,18,10
GO:0030532~small nuclear ribonucleoprotein complex,15,8
GO:0032797~SMN complex,11,7
GO:0097504~Gemini of coiled bodies,12,7
GO:0005683~U7 snRNP,7,5
GO:0005685~U1 snRNP,34,10
GO:0001188~RNA polymerase I preinitiation complex assembly,11,8
GO:0001164~RNA polymerase I core promoter sequence-specific DNA binding,10,7
GO:0000109~nucleotide-excision repair complex,6,5
GO:0006283~transcription-coupled nucleotide-excision repair,10,6
GO:0042659~regulation of cell fate specification,14,7
GO:2000736~regulation of stem cell differentiation,24,9
